label,pair,tf_hours,entry_mode,sl_buffer_pips,max_sl_pips,rr,bos_lookback,trades,wins,losses,win_rate_%,profit_factor,total_pips,exp_pips/trade,wt_trades,wt_wins,wt_wr_%,wt_pf,ct_trades,ct_wins,ct_wr_%,ct_pf,final_equity_$,net_return_%,max_dd_$,max_dd_%
GBPUSD_2H_origination_top_lb3_sl5_rr15,GBPUSD,2,top,5,30,1.5,3,7,4,3,57.1,1.67,53.3,7.6,6,3,50.0,1.25,1,1,100.0,999.0,10298.4,3.0,206.01,2.0
GBPUSD_2H_origination_mid_lb3_sl5_rr15,GBPUSD,2,mid,5,30,1.5,3,37,26,11,70.3,3.39,604.8,16.3,22,16,72.7,3.61,15,10,66.7,3.12,13187.36,31.9,516.66,3.9
GBPUSD_2H_origination_bottom_lb3_sl5_rr15,GBPUSD,2,bottom,5,30,1.5,3,32,13,19,40.6,1.03,2.5,0.1,25,11,44.0,1.18,7,2,28.6,0.6,10025.99,0.3,779.45,7.8
GBPUSD_2H_origination_top_lb3_sl5_rr20,GBPUSD,2,top,5,30,2.0,3,7,1,6,14.3,0.34,-94.3,-13.5,6,1,16.7,0.41,1,0,0.0,0.0,9603.1,-4.0,585.2,5.9
GBPUSD_2H_origination_mid_lb3_sl5_rr20,GBPUSD,2,mid,5,30,2.0,3,37,22,15,59.5,2.92,643.4,17.4,22,13,59.1,2.7,15,9,60.0,3.23,13299.1,33.0,521.19,4.0
GBPUSD_2H_origination_bottom_lb3_sl5_rr20,GBPUSD,2,bottom,5,30,2.0,3,32,13,19,40.6,1.37,35.0,1.1,25,11,44.0,1.57,7,2,28.6,0.8,10687.37,6.9,596.42,6.0
GBPUSD_2H_origination_top_lb3_sl5_rr25,GBPUSD,2,top,5,30,2.5,3,7,1,6,14.3,0.43,-81.9,-11.7,6,1,16.7,0.51,1,0,0.0,0.0,9650.17,-3.5,585.2,5.9
GBPUSD_2H_origination_mid_lb3_sl5_rr25,GBPUSD,2,mid,5,30,2.5,3,37,21,16,56.8,3.38,836.4,22.6,22,12,54.5,2.96,15,9,60.0,4.03,14306.33,43.1,544.26,3.9
GBPUSD_2H_origination_bottom_lb3_sl5_rr25,GBPUSD,2,bottom,5,30,2.5,3,32,13,19,40.6,1.71,67.5,2.1,25,11,44.0,1.96,7,2,28.6,1.0,11388.83,13.9,448.0,4.5
GBPUSD_2H_origination_top_lb3_sl5_rr30,GBPUSD,2,top,5,30,3.0,3,7,0,7,0.0,0.0,-168.7,-24.1,6,0,0.0,0.0,1,0,0.0,0.0,9320.65,-6.8,679.35,6.8
