label,pair,tf_hours,entry_mode,sl_buffer_pips,max_sl_pips,rr,bos_lookback,trades,wins,losses,win_rate_%,profit_factor,total_pips,exp_pips/trade,wt_trades,wt_wins,wt_wr_%,wt_pf,ct_trades,ct_wins,ct_wr_%,ct_pf,final_equity_$,net_return_%,max_dd_$,max_dd_%
GBPUSD_1H_lb5_sl7_rr15_bottom,GBPUSD,1,bottom,7,20,1.5,5,37,27,10,73.0,4.05,213.5,5.8,20,12,60.0,2.25,17,15,88.2,11.25,13518.7,35.2,315.24,3.0
GBPUSD_2H_lb5_sl10_rr15_bottom,GBPUSD,2,bottom,10,30,1.5,5,32,24,8,75.0,4.5,280.0,8.8,24,19,79.2,5.7,8,5,62.5,2.5,13190.66,31.9,248.61,2.0
GBPUSD_4H_lb5_sl15_rr15_bottom,GBPUSD,4,bottom,15,45,1.5,5,25,19,6,76.0,4.75,337.5,13.5,13,9,69.2,3.38,12,10,83.3,7.5,12492.98,24.9,246.22,2.0
EURUSD_1H_lb5_sl7_rr15_bottom,EURUSD,1,bottom,7,20,1.5,5,33,23,10,69.7,3.45,171.5,5.2,16,11,68.8,3.3,17,12,70.6,3.6,12737.11,27.4,230.78,2.0
EURUSD_2H_lb5_sl10_rr15_bottom,EURUSD,2,bottom,10,30,1.5,5,34,24,10,70.6,3.6,260.0,7.6,14,11,78.6,5.5,20,13,65.0,2.79,12928.17,29.3,497.25,3.9
EURUSD_4H_lb5_sl15_rr15_bottom,EURUSD,4,bottom,15,45,1.5,5,19,16,3,84.2,8.0,315.0,16.6,11,8,72.7,4.0,8,8,100.0,999.0,12312.95,23.1,122.54,1.0
AUDUSD_1H_lb5_sl7_rr15_bottom,AUDUSD,1,bottom,7,20,1.5,5,32,23,9,71.9,3.83,178.5,5.6,15,12,80.0,6.0,17,11,64.7,2.75,12865.77,28.7,249.95,2.5
AUDUSD_2H_lb5_sl10_rr15_bottom,AUDUSD,2,bottom,10,30,1.5,5,40,29,11,72.5,3.95,325.0,8.1,21,15,71.4,3.75,19,14,73.7,4.2,13788.03,37.9,248.33,2.0
AUDUSD_4H_lb5_sl15_rr15_bottom,AUDUSD,4,bottom,15,45,1.5,5,24,17,7,70.8,3.64,277.5,11.6,10,8,80.0,6.0,14,9,64.3,2.7,12005.19,20.1,235.46,2.0
NZDUSD_1H_lb5_sl7_rr15_bottom,NZDUSD,1,bottom,7,20,1.5,5,19,14,5,73.7,4.2,112.0,5.9,5,3,60.0,2.25,14,11,78.6,5.5,11713.87,17.1,205.01,2.0
NZDUSD_2H_lb5_sl10_rr15_bottom,NZDUSD,2,bottom,10,30,1.5,5,35,26,9,74.3,4.33,300.0,8.6,15,9,60.0,2.25,20,17,85.0,8.5,13453.46,34.5,405.73,3.0
NZDUSD_4H_lb5_sl15_rr15_bottom,NZDUSD,4,bottom,15,45,1.5,5,22,17,5,77.3,5.1,307.5,14.0,13,11,84.6,8.25,9,6,66.7,3.0,12248.95,22.5,121.9,1.0
USDCAD_1H_lb5_sl7_rr15_bottom,USDCAD,1,bottom,7,20,1.5,5,36,26,10,72.2,3.9,203.0,5.6,19,14,73.7,4.2,17,12,70.6,3.6,13318.92,33.2,265.15,2.0
USDCAD_2H_lb5_sl10_rr15_bottom,USDCAD,2,bottom,10,30,1.5,5,38,27,11,71.1,3.68,295.0,7.8,19,14,73.7,4.2,19,13,68.4,3.25,13383.52,33.8,480.33,3.9
USDCAD_4H_lb5_sl15_rr15_bottom,USDCAD,4,bottom,15,45,1.5,5,20,14,6,70.0,3.5,225.0,11.2,11,7,63.6,2.62,9,7,77.8,5.25,11596.74,16.0,344.56,3.0
USDCHF_1H_lb5_sl7_rr15_bottom,USDCHF,1,bottom,7,20,1.5,5,42,33,9,78.6,5.5,283.5,6.8,21,18,85.7,9.0,21,15,71.4,3.75,14931.25,49.3,367.62,3.0
USDCHF_2H_lb5_sl10_rr15_bottom,USDCHF,2,bottom,10,30,1.5,5,35,25,10,71.4,3.75,275.0,7.9,19,14,73.7,4.2,16,11,68.8,3.3,13122.09,31.2,266.43,2.0
USDCHF_4H_lb5_sl15_rr15_bottom,USDCHF,4,bottom,15,45,1.5,5,20,18,2,90.0,13.5,375.0,18.8,11,11,100.0,999.0,9,7,77.8,5.25,12813.25,28.1,120.14,1.0
XAUUSD_1H_lb5_sl50_rr15_bottom,XAUUSD,1,bottom,50,150,1.5,5,101,69,32,68.3,3.23,3575.0,35.4,60,43,71.7,3.79,41,26,63.4,2.6,20252.71,102.5,1589.69,7.3
XAUUSD_2H_lb5_sl80_rr15_bottom,XAUUSD,2,bottom,80,250,1.5,5,76,41,35,53.9,1.76,2120.0,27.9,49,27,55.1,1.84,27,14,51.9,1.62,12952.08,29.5,786.12,5.9
XAUUSD_4H_lb5_sl120_rr15_bottom,XAUUSD,4,bottom,120,400,1.5,5,46,26,20,56.5,1.95,2280.0,49.6,26,14,53.8,1.75,20,12,60.0,2.25,12045.39,20.5,480.04,4.0
USDJPY_1H_lb5_sl7_rr15_bottom,USDJPY,1,bottom,7,20,1.5,5,48,28,20,58.3,2.1,154.0,3.2,26,15,57.7,2.05,22,13,59.1,2.17,12409.47,24.1,356.43,3.0
USDJPY_2H_lb5_sl10_rr15_bottom,USDJPY,2,bottom,10,30,1.5,5,53,36,17,67.9,3.18,370.0,7.0,32,20,62.5,2.5,21,16,76.2,4.8,14407.08,44.1,519.76,3.9
USDJPY_4H_lb5_sl15_rr15_bottom,USDJPY,4,bottom,15,45,1.5,5,29,17,12,58.6,2.12,202.5,7.0,16,7,43.8,1.17,13,10,76.9,5.0,11416.82,14.2,450.2,3.9
AUDCAD_1H_lb5_sl7_rr15_bottom,AUDCAD,1,bottom,7,20,1.5,5,34,23,11,67.6,3.14,164.5,4.8,25,16,64.0,2.67,9,7,77.8,5.25,12609.74,26.1,125.49,1.0
AUDCAD_2H_lb5_sl10_rr15_bottom,AUDCAD,2,bottom,10,30,1.5,5,35,24,11,68.6,3.27,250.0,7.1,19,14,73.7,4.2,16,10,62.5,2.5,12798.89,28.0,351.43,3.0
AUDCAD_4H_lb5_sl15_rr15_bottom,AUDCAD,4,bottom,15,45,1.5,5,20,16,4,80.0,6.0,300.0,15.0,9,6,66.7,3.0,11,10,90.9,15.0,12189.82,21.9,121.31,1.0
AUDNZD_1H_lb5_sl7_rr15_bottom,AUDNZD,1,bottom,7,20,1.5,5,41,29,12,70.7,3.62,220.5,5.4,25,16,64.0,2.67,16,13,81.2,6.5,13650.15,36.5,248.52,2.0
AUDNZD_2H_lb5_sl10_rr15_bottom,AUDNZD,2,bottom,10,30,1.5,5,36,27,9,75.0,4.5,315.0,8.8,22,15,68.2,3.21,14,12,85.7,9.0,13655.26,36.6,310.58,3.0
AUDNZD_4H_lb5_sl15_rr15_bottom,AUDNZD,4,bottom,15,45,1.5,5,24,17,7,70.8,3.64,277.5,11.6,13,10,76.9,5.0,11,7,63.6,2.62,12005.19,20.1,243.75,2.0
