entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,origin_time,result,exit_price,exit_time,pnl_pips
2020-06-23 01:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.93675,0.93228,0.93675,0.93775,0.93525,1.5,10.0,13,2020-06-19 21:00:00+10:00,WIN,0.93525,2020-06-23 01:00:00+10:00,15.0
2020-08-11 17:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.95721,0.95372,0.95372,0.95272,0.95522,1.5,10.0,33,2020-08-06 05:00:00+10:00,WIN,0.95522,2020-08-11 17:00:00+10:00,15.0
2020-08-11 21:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.9562,0.95365,0.95365,0.95265,0.95515,1.5,10.0,35,2020-08-06 11:00:00+10:00,WIN,0.95515,2020-08-11 21:00:00+10:00,15.0
2020-11-04 08:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,0.94368,0.94108,0.94368,0.94468,0.94218,1.5,10.0,168,2020-10-14 21:00:00+10:00,WIN,0.94218,2020-11-04 08:00:00+10:00,15.0
2020-11-13 00:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.95336,0.95106,0.95336,0.95436,0.95186,1.5,10.0,328,2020-10-06 07:00:00+10:00,WIN,0.95186,2020-11-13 00:00:00+10:00,15.0
2021-03-05 06:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,0.97999,0.9778,0.9778,0.9768,0.9793,1.5,10.0,218,2021-02-08 20:00:00+10:00,LOSS,0.9768,2021-03-05 08:00:00+10:00,-10.0
2021-07-30 07:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,0.92266,0.91929,0.91929,0.91829,0.92079,1.5,10.0,3606,2020-06-02 11:00:00+10:00,WIN,0.92079,2021-07-30 07:00:00+10:00,15.0
2022-03-17 05:00:00+10:00,SELL,Bear_BoS,bottom,with,with,0.92508,0.92118,0.92508,0.92608,0.92358,1.5,10.0,14,2022-03-15 17:00:00+10:00,LOSS,0.92608,2022-03-17 05:00:00+10:00,-10.0
2022-06-20 07:00:00+10:00,BUY,Bull_BoS,bottom,with,with,0.9033,0.90019,0.90019,0.89919,0.90169,1.5,10.0,15,2022-06-16 19:00:00+10:00,WIN,0.90169,2022-06-20 07:00:00+10:00,15.0
2022-10-26 23:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,0.88127,0.87864,0.88127,0.88227,0.87977,1.5,10.0,157,2022-10-07 17:00:00+10:00,LOSS,0.88227,2022-10-26 23:00:00+10:00,-10.0
2022-11-12 02:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.88867,0.88047,0.88867,0.88967,0.88717,1.5,10.0,336,2022-10-04 15:00:00+10:00,LOSS,0.88967,2022-11-12 04:00:00+10:00,-10.0
2022-12-09 22:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.92552,0.91523,0.92552,0.92652,0.92402,1.5,10.0,1870,2022-05-05 05:00:00+10:00,WIN,0.92402,2022-12-09 22:00:00+10:00,15.0
2023-01-13 00:00:00+10:00,BUY,Bull_BoS,bottom,with,with,0.92914,0.92619,0.92619,0.92519,0.92769,1.5,10.0,1,2023-01-12 16:00:00+10:00,WIN,0.92769,2023-01-13 00:00:00+10:00,15.0
2023-01-13 00:00:00+10:00,BUY,Bull_BoS,bottom,with,with,0.92802,0.92618,0.92618,0.92518,0.92768,1.5,10.0,1,2023-01-12 20:00:00+10:00,WIN,0.92768,2023-01-13 00:00:00+10:00,15.0
2023-01-19 16:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,0.93212,0.92952,0.92952,0.92852,0.93102,1.5,10.0,44,2023-01-13 20:00:00+10:00,WIN,0.93102,2023-01-19 16:00:00+10:00,15.0
2023-01-28 00:00:00+10:00,BUY,Bull_BoS,bottom,with,with,0.94869,0.94422,0.94422,0.94322,0.94572,1.5,10.0,24,2023-01-25 22:00:00+10:00,WIN,0.94572,2023-01-28 00:00:00+10:00,15.0
2023-02-01 06:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,0.94092,0.93795,0.93795,0.93695,0.93945,1.5,10.0,63,2023-01-24 18:00:00+10:00,WIN,0.93945,2023-02-01 14:00:00+10:00,15.0
2023-02-16 18:00:00+10:00,SELL,Bear_BoS,bottom,with,with,0.92636,0.92322,0.92636,0.92736,0.92486,1.5,10.0,11,2023-02-15 18:00:00+10:00,WIN,0.92486,2023-02-16 22:00:00+10:00,15.0
2023-11-20 14:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.89775,0.89214,0.89775,0.89875,0.89625,1.5,10.0,979,2023-07-27 11:00:00+10:00,LOSS,0.89875,2023-11-20 18:00:00+10:00,-10.0
2023-11-20 14:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.89807,0.8928,0.89807,0.89907,0.89657,1.5,10.0,979,2023-07-27 13:00:00+10:00,LOSS,0.89907,2023-11-20 18:00:00+10:00,-10.0
2023-11-20 14:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.8978,0.89526,0.8978,0.8988,0.8963,1.5,10.0,979,2023-07-27 17:00:00+10:00,LOSS,0.8988,2023-11-20 18:00:00+10:00,-10.0
2024-01-05 22:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.89571,0.89062,0.89062,0.88962,0.89212,1.5,10.0,177,2023-12-12 22:00:00+10:00,WIN,0.89212,2024-01-05 22:00:00+10:00,15.0
