entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,origin_time,result,exit_price,exit_time,pnl_pips
2020-09-26 01:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.07508,1.07175,1.07175,1.07075,1.07325,1.5,10.0,469,2020-08-03 19:00:00+10:00,WIN,1.07325,2020-09-26 01:00:00+10:00,15.0
2020-12-17 10:00:00+10:00,BUY,Bull_BoS,bottom,with,with,1.06633,1.06275,1.06275,1.06175,1.06425,1.5,10.0,5,2020-12-16 12:00:00+10:00,WIN,1.06425,2020-12-17 10:00:00+10:00,15.0
2021-08-23 07:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.04479,1.04277,1.04277,1.04177,1.04427,1.5,10.0,46,2021-08-17 09:00:00+10:00,WIN,1.04427,2021-08-23 07:00:00+10:00,15.0
2021-09-01 21:00:00+10:00,SELL,Bear_BoS,bottom,with,with,1.04242,1.04156,1.04242,1.04342,1.04092,1.5,10.0,18,2021-08-31 05:00:00+10:00,LOSS,1.04342,2021-09-02 01:00:00+10:00,-10.0
2021-09-16 23:00:00+10:00,SELL,Bear_BoS,bottom,with,with,1.03077,1.02895,1.03077,1.03177,1.02927,1.5,10.0,3,2021-09-16 09:00:00+10:00,LOSS,1.03177,2021-09-17 11:00:00+10:00,-10.0
2021-09-30 13:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,1.04704,1.04471,1.04704,1.04804,1.04554,1.5,10.0,323,2021-08-24 07:00:00+10:00,LOSS,1.04804,2021-09-30 15:00:00+10:00,-10.0
2021-10-28 07:00:00+10:00,BUY,Bull_BoS,bottom,with,with,1.04844,1.04713,1.04713,1.04613,1.04863,1.5,10.0,11,2021-10-27 05:00:00+10:00,WIN,1.04863,2021-10-28 07:00:00+10:00,15.0
2022-01-31 22:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,1.07397,1.07059,1.07397,1.07497,1.07247,1.5,10.0,1721,2021-07-13 21:00:00+10:00,WIN,1.07247,2022-01-31 22:00:00+10:00,15.0
2022-08-10 07:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.10847,1.107,1.107,1.106,1.1085,1.5,10.0,21,2022-08-08 11:00:00+10:00,LOSS,1.106,2022-08-10 07:00:00+10:00,-10.0
2022-12-08 20:00:00+10:00,SELL,Bear_BoS,bottom,with,with,1.06081,1.05751,1.06081,1.06181,1.05931,1.5,10.0,16,2022-12-07 10:00:00+10:00,WIN,1.05931,2022-12-08 20:00:00+10:00,15.0
