entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,origin_time,result,exit_price,exit_time,pnl_pips
2023-01-13 00:00:00+10:00,BUY,Bull_BoS,bottom,with,with,0.69129,0.69004,0.69004,0.68934,0.69109,1.5,7.0,1,2023-01-12 20:00:00+10:00,LOSS,0.68934,2023-01-13 00:00:00+10:00,-7.0
2023-02-15 00:00:00+10:00,BUY,Bull_BoS,bottom,counter,with,0.69488,0.69308,0.69308,0.69238,0.69413,1.5,7.0,24,2023-02-13 23:00:00+10:00,LOSS,0.69238,2023-02-15 00:00:00+10:00,-7.0
2023-03-24 04:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.669,0.66736,0.66736,0.66666,0.66841,1.5,7.0,24,2023-03-23 02:00:00+10:00,WIN,0.66841,2023-03-24 04:00:00+10:00,10.5
2023-04-21 15:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.6723,0.67073,0.67073,0.67003,0.67178,1.5,7.0,19,2023-04-20 17:00:00+10:00,LOSS,0.67003,2023-04-21 16:00:00+10:00,-7.0
2023-08-25 09:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.6432,0.64117,0.64117,0.64047,0.64222,1.5,7.0,34,2023-08-23 20:00:00+10:00,LOSS,0.64047,2023-08-25 14:00:00+10:00,-7.0
2023-09-01 16:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,0.64789,0.64495,0.64495,0.64425,0.646,1.5,7.0,42,2023-08-30 11:00:00+10:00,WIN,0.646,2023-09-01 16:00:00+10:00,10.5
2023-10-16 16:00:00+10:00,SELL,Bear_BoS,bottom,with,with,0.63291,0.63083,0.63291,0.63361,0.63186,1.5,7.0,16,2023-10-13 22:00:00+10:00,WIN,0.63186,2023-10-16 21:00:00+10:00,10.5
2023-12-08 23:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.6585,0.65696,0.65696,0.65626,0.65801,1.5,7.0,22,2023-12-08 00:00:00+10:00,WIN,0.65801,2023-12-08 23:00:00+10:00,10.5
2023-12-29 08:00:00+10:00,BUY,Bull_BoS,bottom,with,with,0.68535,0.68243,0.68243,0.68173,0.68348,1.5,7.0,7,2023-12-28 19:00:00+10:00,WIN,0.68348,2023-12-29 10:00:00+10:00,10.5
2024-01-13 00:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.67234,0.67141,0.67234,0.67304,0.67129,1.5,7.0,25,2024-01-11 13:00:00+10:00,WIN,0.67129,2024-01-13 00:00:00+10:00,10.5
2024-02-17 02:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.65304,0.65185,0.65304,0.65374,0.65199,1.5,7.0,75,2024-02-13 22:00:00+10:00,LOSS,0.65374,2024-02-17 03:00:00+10:00,-7.0
2024-04-19 12:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.63804,0.63658,0.63658,0.63588,0.63763,1.5,7.0,2653,2023-11-14 21:00:00+10:00,WIN,0.63763,2024-04-19 12:00:00+10:00,10.5
2024-06-14 17:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.6622,0.66098,0.66098,0.66028,0.66203,1.5,7.0,43,2024-06-12 16:00:00+10:00,WIN,0.66203,2024-06-14 17:00:00+10:00,10.5
2024-08-05 23:00:00+10:00,SELL,Bear_BoS,bottom,with,with,0.65032,0.64827,0.65032,0.65102,0.64927,1.5,7.0,8,2024-08-05 11:00:00+10:00,WIN,0.64927,2024-08-05 23:00:00+10:00,10.5
2024-09-17 19:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.67675,0.67195,0.67675,0.67745,0.6757,1.5,7.0,164,2024-09-06 22:00:00+10:00,WIN,0.6757,2024-09-17 20:00:00+10:00,10.5
2025-01-07 02:00:00+10:00,BUY,Bull_BoS,bottom,with,with,0.62528,0.62395,0.62395,0.62325,0.625,1.5,7.0,5,2025-01-06 20:00:00+10:00,WIN,0.625,2025-01-07 02:00:00+10:00,10.5
2025-01-14 18:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,0.62061,0.61876,0.62061,0.62131,0.61956,1.5,7.0,50,2025-01-10 11:00:00+10:00,WIN,0.61956,2025-01-14 19:00:00+10:00,10.5
2025-04-04 21:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.61363,0.60874,0.60874,0.60804,0.60979,1.5,7.0,1047,2025-02-03 12:00:00+10:00,LOSS,0.60804,2025-04-04 21:00:00+10:00,-7.0
2025-04-11 12:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,0.62503,0.62314,0.62503,0.62573,0.62398,1.5,7.0,115,2025-04-04 15:00:00+10:00,LOSS,0.62573,2025-04-11 12:00:00+10:00,-7.0
2025-04-14 23:00:00+10:00,BUY,Bull_BoS,bottom,with,with,0.6306,0.62807,0.62807,0.62737,0.62912,1.5,7.0,14,2025-04-14 08:00:00+10:00,WIN,0.62912,2025-04-14 23:00:00+10:00,10.5
2025-04-29 00:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.64252,0.63907,0.64252,0.64322,0.64147,1.5,7.0,71,2025-04-23 16:00:00+10:00,WIN,0.64147,2025-04-29 00:00:00+10:00,10.5
2025-07-04 00:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.65787,0.65627,0.65787,0.65857,0.65682,1.5,7.0,2,2025-07-03 16:00:00+10:00,WIN,0.65682,2025-07-04 00:00:00+10:00,10.5
2025-10-09 22:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.66089,0.65956,0.66089,0.66159,0.65984,1.5,7.0,6,2025-10-09 14:00:00+10:00,WIN,0.65984,2025-10-09 22:00:00+10:00,10.5
2025-11-25 23:00:00+10:00,SELL,Bear_BoS,bottom,with,with,0.64662,0.64564,0.64662,0.64732,0.64557,1.5,7.0,10,2025-11-25 08:00:00+10:00,WIN,0.64557,2025-11-25 23:00:00+10:00,10.5
2026-03-27 06:00:00+10:00,SELL,Bear_BoS,bottom,with,with,0.68948,0.6885,0.68948,0.69018,0.68843,1.5,7.0,1,2026-03-27 04:00:00+10:00,LOSS,0.69018,2026-03-27 06:00:00+10:00,-7.0
2026-04-06 18:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.69349,0.69193,0.69349,0.69419,0.69244,1.5,7.0,55,2026-04-02 10:00:00+10:00,WIN,0.69244,2026-04-06 20:00:00+10:00,10.5
2026-04-08 10:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.70838,0.70526,0.70838,0.70908,0.70733,1.5,7.0,299,2026-03-20 21:00:00+10:00,WIN,0.70733,2026-04-08 10:00:00+10:00,10.5
2026-04-18 04:00:00+10:00,BUY,Bull_BoS,bottom,with,with,0.71823,0.71706,0.71706,0.71636,0.71811,1.5,7.0,6,2026-04-17 19:00:00+10:00,WIN,0.71811,2026-04-18 04:00:00+10:00,10.5
