entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,origin_time,result,exit_price,exit_time,pnl_pips
2023-01-13 04:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,1.22424,1.2081,1.22424,1.22494,1.22319,1.5,7.0,4,2023-01-12 23:00:00+10:00,WIN,1.22319,2023-01-13 04:00:00+10:00,10.5
2023-02-24 03:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.20318,1.19965,1.19965,1.19895,1.2007,1.5,7.0,56,2023-02-21 17:00:00+10:00,WIN,1.2007,2023-02-24 03:00:00+10:00,10.5
2023-03-03 16:00:00+10:00,SELL,Bear_BoS,bottom,with,with,1.19844,1.1959,1.19844,1.19914,1.19739,1.5,7.0,18,2023-03-02 21:00:00+10:00,WIN,1.19739,2023-03-03 16:00:00+10:00,10.5
2023-06-14 01:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,1.26154,1.25723,1.26154,1.26224,1.26049,1.5,7.0,554,2023-05-11 21:00:00+10:00,WIN,1.26049,2023-06-14 01:00:00+10:00,10.5
2023-07-27 22:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,1.29294,1.28925,1.28925,1.28855,1.2903,1.5,7.0,18,2023-07-27 03:00:00+10:00,LOSS,1.28855,2023-07-27 22:00:00+10:00,-7.0
2023-11-17 17:00:00+10:00,BUY,Bull_BoS,bottom,with,with,1.2411,1.23819,1.23819,1.23749,1.23924,1.5,7.0,18,2023-11-16 22:00:00+10:00,LOSS,1.23749,2023-11-17 17:00:00+10:00,-7.0
2024-01-31 01:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.2692,1.26532,1.26532,1.26462,1.26637,1.5,7.0,102,2024-01-24 02:00:00+10:00,LOSS,1.26462,2024-01-31 01:00:00+10:00,-7.0
2024-03-22 17:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.26368,1.25997,1.25997,1.25927,1.26102,1.5,7.0,353,2024-03-02 00:00:00+10:00,WIN,1.26102,2024-03-22 17:00:00+10:00,10.5
2024-03-22 18:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.26121,1.2587,1.2587,1.258,1.25975,1.5,7.0,548,2024-02-20 21:00:00+10:00,WIN,1.25975,2024-03-22 18:00:00+10:00,10.5
2024-04-12 17:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.25347,1.25066,1.25066,1.24996,1.25171,1.5,7.0,2028,2023-12-14 03:00:00+10:00,WIN,1.25171,2024-04-12 17:00:00+10:00,10.5
2024-05-03 00:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.24933,1.24783,1.24783,1.24713,1.24888,1.5,7.0,20,2024-05-02 02:00:00+10:00,WIN,1.24888,2024-05-03 00:00:00+10:00,10.5
2024-05-22 21:00:00+10:00,BUY,Bull_BoS,bottom,with,with,1.27232,1.27066,1.27066,1.26996,1.27171,1.5,7.0,5,2024-05-22 01:00:00+10:00,WIN,1.27171,2024-05-22 21:00:00+10:00,10.5
2024-08-15 03:00:00+10:00,BUY,Bull_BoS,bottom,with,with,1.28593,1.28261,1.28261,1.28191,1.28366,1.5,7.0,4,2024-08-14 22:00:00+10:00,WIN,1.28366,2024-08-15 03:00:00+10:00,10.5
2024-09-06 23:00:00+10:00,BUY,Bull_BoS,bottom,with,with,1.31766,1.31672,1.31672,1.31602,1.31777,1.5,7.0,1,2024-09-06 20:00:00+10:00,LOSS,1.31602,2024-09-06 23:00:00+10:00,-7.0
2024-11-26 01:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.26005,1.25483,1.25483,1.25413,1.25588,1.5,7.0,2,2024-11-25 18:00:00+10:00,WIN,1.25588,2024-11-26 01:00:00+10:00,10.5
2025-01-16 02:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.22395,1.22032,1.22032,1.21962,1.22137,1.5,7.0,3,2025-01-15 18:00:00+10:00,LOSS,1.21962,2025-01-16 02:00:00+10:00,-7.0
2025-01-21 00:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,1.232,1.22863,1.232,1.2327,1.23095,1.5,7.0,145,2025-01-10 22:00:00+10:00,WIN,1.23095,2025-01-21 00:00:00+10:00,10.5
2025-01-28 17:00:00+10:00,BUY,Bull_BoS,bottom,with,with,1.24558,1.24294,1.24294,1.24224,1.24399,1.5,7.0,23,2025-01-27 17:00:00+10:00,WIN,1.24399,2025-01-28 17:00:00+10:00,10.5
2025-03-04 04:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,1.27218,1.26832,1.27218,1.27288,1.27113,1.5,7.0,1219,2024-12-18 20:00:00+10:00,WIN,1.27113,2025-03-04 04:00:00+10:00,10.5
2025-04-03 09:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,1.3048,1.30179,1.3048,1.3055,1.30375,1.5,7.0,2492,2024-11-06 09:00:00+10:00,WIN,1.30375,2025-04-03 09:00:00+10:00,10.5
2025-04-03 13:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,1.30755,1.30632,1.30755,1.30825,1.3065,1.5,7.0,2849,2024-10-16 06:00:00+10:00,WIN,1.3065,2025-04-03 13:00:00+10:00,10.5
