entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,origin_time,result,exit_price,exit_time,pnl_pips
2021-06-10 05:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.41472,1.41114,1.41114,1.41014,1.41264,1.5,10.0,28,2021-06-07 15:00:00+10:00,LOSS,1.41014,2021-06-10 15:00:00+10:00,-10.0
2021-06-14 17:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.41116,1.40735,1.40735,1.40635,1.40885,1.5,10.0,22,2021-06-10 17:00:00+10:00,WIN,1.40885,2021-06-14 17:00:00+10:00,15.0
2021-06-14 23:00:00+10:00,SELL,Bear_BoS,bottom,with,with,1.41189,1.40903,1.41189,1.41289,1.41039,1.5,10.0,3,2021-06-14 07:00:00+10:00,WIN,1.41039,2021-06-15 05:00:00+10:00,15.0
2021-06-21 23:00:00+10:00,SELL,Bear_BoS,bottom,with,with,1.39102,1.38548,1.39102,1.39202,1.38952,1.5,10.0,13,2021-06-18 19:00:00+10:00,WIN,1.38952,2021-06-21 23:00:00+10:00,15.0
2021-06-22 05:00:00+10:00,SELL,Bear_BoS,bottom,with,with,1.39352,1.38958,1.39352,1.39452,1.39202,1.5,10.0,19,2021-06-18 03:00:00+10:00,WIN,1.39202,2021-06-22 09:00:00+10:00,15.0
2021-06-23 05:00:00+10:00,SELL,Bear_BoS,bottom,with,with,1.39626,1.39201,1.39626,1.39726,1.39476,1.5,10.0,38,2021-06-17 23:00:00+10:00,WIN,1.39476,2021-06-23 05:00:00+10:00,15.0
2021-06-28 17:00:00+10:00,SELL,Bear_BoS,bottom,with,with,1.39349,1.39161,1.39349,1.39449,1.39199,1.5,10.0,7,2021-06-25 11:00:00+10:00,WIN,1.39199,2021-06-28 17:00:00+10:00,15.0
2021-07-03 03:00:00+10:00,SELL,Bear_BoS,bottom,with,with,1.38382,1.37985,1.38382,1.38482,1.38232,1.5,10.0,17,2021-07-01 05:00:00+10:00,WIN,1.38232,2021-07-03 03:00:00+10:00,15.0
2021-07-06 19:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.3857,1.38389,1.38389,1.38289,1.38539,1.5,10.0,4,2021-07-06 05:00:00+10:00,WIN,1.38539,2021-07-06 19:00:00+10:00,15.0
2021-07-07 23:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.38128,1.37771,1.37771,1.37671,1.37921,1.5,10.0,2,2021-07-07 17:00:00+10:00,LOSS,1.37671,2021-07-07 23:00:00+10:00,-10.0
