entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,origin_time,result,exit_price,exit_time,pnl_pips
2021-06-08 17:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.41472,1.41114,1.41293,1.41014,1.41712,1.5,27.9,10,2021-06-07 15:00:00+10:00,WIN,1.41712,2021-06-09 15:00:00+10:00,41.8
2021-06-09 13:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.41639,1.41485,1.41562,1.41385,1.41828,1.5,17.7,1,2021-06-09 05:00:00+10:00,WIN,1.41828,2021-06-09 17:00:00+10:00,26.6
2021-06-09 21:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.41651,1.41284,1.41468,1.41184,1.41893,1.5,28.3,2,2021-06-08 17:00:00+10:00,LOSS,1.41184,2021-06-09 23:00:00+10:00,-28.4
2021-06-10 23:00:00+10:00,SELL,Bear_BoS,mid,counter,with,1.4189,1.41511,1.417,1.4199,1.41266,1.5,28.9,13,2021-06-09 17:00:00+10:00,WIN,1.41266,2021-06-10 23:00:00+10:00,43.4
2021-06-14 07:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.41116,1.40735,1.40926,1.40635,1.41361,1.5,29.0,17,2021-06-10 17:00:00+10:00,LOSS,1.40635,2021-06-15 21:00:00+10:00,-29.1
2021-06-14 19:00:00+10:00,SELL,Bear_BoS,mid,with,with,1.41189,1.40903,1.41046,1.41289,1.40682,1.5,24.3,1,2021-06-14 07:00:00+10:00,WIN,1.40682,2021-06-15 21:00:00+10:00,36.4
2021-06-21 23:00:00+10:00,SELL,Bear_BoS,mid,with,with,1.39352,1.38958,1.39155,1.39452,1.3871,1.5,29.7,16,2021-06-18 03:00:00+10:00,WIN,1.3871,2021-06-22 17:00:00+10:00,44.5
2021-06-23 21:00:00+10:00,SELL,Bear_BoS,mid,with,counter,1.40029,1.39752,1.3989,1.40129,1.39533,1.5,23.8,49,2021-06-17 11:00:00+10:00,WIN,1.39533,2021-06-24 05:00:00+10:00,35.7
2021-06-28 17:00:00+10:00,SELL,Bear_BoS,mid,with,with,1.39349,1.39161,1.39255,1.39449,1.38964,1.5,19.4,7,2021-06-25 11:00:00+10:00,WIN,1.38964,2021-06-28 21:00:00+10:00,29.1
2021-07-01 01:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.38225,1.37917,1.38071,1.37817,1.38452,1.5,25.4,84,2021-06-19 05:00:00+10:00,LOSS,1.37817,2021-07-01 17:00:00+10:00,-25.4
2021-07-01 23:00:00+10:00,SELL,Bear_BoS,mid,with,with,1.38382,1.37985,1.38184,1.38482,1.37736,1.5,29.8,3,2021-07-01 05:00:00+10:00,WIN,1.37736,2021-07-02 01:00:00+10:00,44.8
2021-07-06 19:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.3857,1.38389,1.3848,1.38289,1.38765,1.5,19.0,4,2021-07-06 05:00:00+10:00,LOSS,1.38289,2021-07-06 23:00:00+10:00,-19.1
2021-07-07 23:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.38128,1.37771,1.3795,1.37671,1.38367,1.5,27.8,2,2021-07-07 17:00:00+10:00,LOSS,1.37671,2021-07-07 23:00:00+10:00,-27.9
2021-07-08 21:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.37616,1.37372,1.37494,1.37272,1.37827,1.5,22.2,48,2021-07-02 19:00:00+10:00,WIN,1.37827,2021-07-08 23:00:00+10:00,33.3
2021-07-09 23:00:00+10:00,SELL,Bear_BoS,mid,counter,counter,1.38748,1.38473,1.3861,1.38848,1.38254,1.5,23.7,36,2021-07-06 21:00:00+10:00,WIN,1.38254,2021-07-10 01:00:00+10:00,35.6
2021-07-10 03:00:00+10:00,SELL,Bear_BoS,mid,counter,counter,1.38983,1.38763,1.38873,1.39083,1.38558,1.5,21.0,38,2021-07-06 15:00:00+10:00,LOSS,1.39083,2021-07-12 11:00:00+10:00,-21.0
2021-07-15 19:00:00+10:00,SELL,Bear_BoS,mid,counter,counter,1.39046,1.38828,1.38937,1.39146,1.38624,1.5,20.9,25,2021-07-13 11:00:00+10:00,WIN,1.38624,2021-07-15 19:00:00+10:00,31.3
2021-07-16 17:00:00+10:00,SELL,Bear_BoS,mid,counter,counter,1.38668,1.38385,1.38526,1.38768,1.38164,1.5,24.1,7,2021-07-15 23:00:00+10:00,WIN,1.38164,2021-07-16 17:00:00+10:00,36.2
2021-07-16 19:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.38381,1.38045,1.38213,1.37945,1.38615,1.5,26.8,1,2021-07-16 15:00:00+10:00,LOSS,1.37945,2021-07-16 23:00:00+10:00,-26.8
2021-07-17 03:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.37847,1.37598,1.37722,1.37498,1.38059,1.5,22.5,64,2021-07-09 15:00:00+10:00,LOSS,1.37498,2021-07-19 09:00:00+10:00,-22.4
2021-07-28 19:00:00+10:00,BUY,Bull_BoS,mid,with,with,1.38846,1.38708,1.38777,1.38608,1.3903,1.5,16.9,1,2021-07-28 13:00:00+10:00,LOSS,1.38608,2021-07-28 23:00:00+10:00,-16.9
2021-07-29 23:00:00+10:00,SELL,Bear_BoS,mid,counter,counter,1.39932,1.39541,1.39736,1.40032,1.39293,1.5,29.5,300,2021-06-23 21:00:00+10:00,WIN,1.39293,2021-07-30 23:00:00+10:00,44.3
2021-08-03 01:00:00+10:00,BUY,Bull_BoS,mid,with,with,1.38946,1.38678,1.38812,1.38578,1.39163,1.5,23.4,35,2021-07-28 19:00:00+10:00,WIN,1.39163,2021-08-03 17:00:00+10:00,35.1
2021-08-03 01:00:00+10:00,BUY,Bull_BoS,mid,with,with,1.38946,1.38641,1.38794,1.38541,1.39172,1.5,25.2,35,2021-07-28 21:00:00+10:00,WIN,1.39172,2021-08-03 17:00:00+10:00,37.8
2021-08-04 23:00:00+10:00,BUY,Bull_BoS,mid,with,with,1.39178,1.39006,1.39092,1.38906,1.39371,1.5,18.6,6,2021-08-04 09:00:00+10:00,WIN,1.39371,2021-08-04 23:00:00+10:00,27.9
2021-08-05 21:00:00+10:00,SELL,Bear_BoS,mid,counter,counter,1.39443,1.39213,1.39328,1.39543,1.39006,1.5,21.5,10,2021-08-04 15:00:00+10:00,WIN,1.39006,2021-08-05 23:00:00+10:00,32.2
2021-08-05 21:00:00+10:00,SELL,Bear_BoS,mid,counter,counter,1.39421,1.39184,1.39302,1.39521,1.38975,1.5,21.8,10,2021-08-04 21:00:00+10:00,WIN,1.38975,2021-08-06 21:00:00+10:00,32.7
2021-08-11 21:00:00+10:00,SELL,Bear_BoS,mid,with,with,1.38942,1.38559,1.3875,1.39042,1.38313,1.5,29.2,23,2021-08-09 19:00:00+10:00,WIN,1.38313,2021-08-11 21:00:00+10:00,43.7
2021-08-11 21:00:00+10:00,SELL,Bear_BoS,mid,with,with,1.38725,1.38401,1.38563,1.38825,1.3817,1.5,26.2,10,2021-08-10 17:00:00+10:00,WIN,1.3817,2021-08-11 21:00:00+10:00,39.3
2021-08-12 01:00:00+10:00,SELL,Bear_BoS,mid,with,counter,1.38897,1.3865,1.38774,1.38997,1.38438,1.5,22.3,25,2021-08-09 15:00:00+10:00,WIN,1.38438,2021-08-12 21:00:00+10:00,33.6
2021-08-13 01:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.38331,1.38072,1.38202,1.37972,1.38546,1.5,22.9,14,2021-08-11 17:00:00+10:00,LOSS,1.37972,2021-08-13 03:00:00+10:00,-23.0
2021-08-14 01:00:00+10:00,SELL,Bear_BoS,mid,counter,counter,1.38796,1.3847,1.38633,1.38896,1.38239,1.5,26.3,11,2021-08-12 01:00:00+10:00,WIN,1.38239,2021-08-17 11:00:00+10:00,39.4
2021-08-17 15:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.38148,1.37975,1.38062,1.37875,1.38341,1.5,18.7,21,2021-08-13 15:00:00+10:00,LOSS,1.37875,2021-08-17 19:00:00+10:00,-18.7
2021-08-18 19:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.3759,1.37418,1.37504,1.37318,1.37783,1.5,18.6,1,2021-08-18 13:00:00+10:00,WIN,1.37783,2021-08-19 03:00:00+10:00,27.9
2021-08-19 15:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.3716,1.36982,1.37071,1.36882,1.37354,1.5,18.9,240,2021-07-22 09:00:00+10:00,LOSS,1.36882,2021-08-19 17:00:00+10:00,-18.9
2021-08-20 11:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.36386,1.36017,1.36202,1.35917,1.36628,1.5,28.4,258,2021-07-21 19:00:00+10:00,WIN,1.36628,2021-08-23 19:00:00+10:00,42.6
2021-08-20 23:00:00+10:00,SELL,Bear_BoS,mid,with,with,1.36348,1.36208,1.36278,1.36448,1.36023,1.5,17.0,1,2021-08-20 13:00:00+10:00,WIN,1.36023,2021-08-20 23:00:00+10:00,25.5
2021-08-24 23:00:00+10:00,SELL,Bear_BoS,mid,with,with,1.37478,1.37165,1.37322,1.37578,1.36937,1.5,25.6,3,2021-08-24 15:00:00+10:00,LOSS,1.37578,2021-08-26 03:00:00+10:00,-25.6
2021-08-25 23:00:00+10:00,SELL,Bear_BoS,mid,with,with,1.37429,1.37065,1.37247,1.37529,1.36824,1.5,28.2,1,2021-08-25 17:00:00+10:00,LOSS,1.37529,2021-08-26 03:00:00+10:00,-28.2
2021-08-26 03:00:00+10:00,SELL,Bear_BoS,mid,with,counter,1.37859,1.37468,1.37663,1.37959,1.3722,1.5,29.6,57,2021-08-19 03:00:00+10:00,WIN,1.3722,2021-08-26 21:00:00+10:00,44.3
2021-08-26 03:00:00+10:00,SELL,Bear_BoS,mid,with,counter,1.37692,1.37478,1.37585,1.37792,1.37274,1.5,20.7,56,2021-08-18 21:00:00+10:00,WIN,1.37274,2021-08-26 21:00:00+10:00,31.1
