entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,origin_time,result,exit_price,exit_time,pnl_pips
2021-06-09 13:00:00+10:00,BUY,Bull_BoS,top,counter,counter,1.41639,1.41485,1.41639,1.41385,1.4202,1.5,25.4,1,2021-06-09 05:00:00+10:00,LOSS,1.41385,2021-06-09 21:00:00+10:00,-25.4
2021-06-09 17:00:00+10:00,BUY,Bull_BoS,top,counter,with,1.41682,1.41519,1.41682,1.41419,1.42076,1.5,26.3,1,2021-06-09 13:00:00+10:00,LOSS,1.41419,2021-06-09 21:00:00+10:00,-26.3
2021-06-28 15:00:00+10:00,SELL,Bear_BoS,top,with,with,1.39349,1.39161,1.39161,1.39449,1.38729,1.5,28.8,6,2021-06-25 11:00:00+10:00,WIN,1.38729,2021-06-29 05:00:00+10:00,43.2
2021-07-06 17:00:00+10:00,BUY,Bull_BoS,top,counter,counter,1.3857,1.38389,1.3857,1.38289,1.38991,1.5,28.1,3,2021-07-06 05:00:00+10:00,LOSS,1.38289,2021-07-06 23:00:00+10:00,-28.1
2021-07-22 17:00:00+10:00,BUY,Bull_BoS,top,counter,counter,1.3716,1.36982,1.3716,1.36882,1.37577,1.5,27.8,1,2021-07-22 09:00:00+10:00,WIN,1.37577,2021-07-22 17:00:00+10:00,41.7
2021-07-28 19:00:00+10:00,BUY,Bull_BoS,top,with,with,1.38846,1.38708,1.38846,1.38608,1.39203,1.5,23.8,1,2021-07-28 13:00:00+10:00,LOSS,1.38608,2021-07-28 23:00:00+10:00,-23.8
2021-08-04 23:00:00+10:00,BUY,Bull_BoS,top,with,with,1.39178,1.39006,1.39178,1.38906,1.39586,1.5,27.2,6,2021-08-04 09:00:00+10:00,LOSS,1.38906,2021-08-05 03:00:00+10:00,-27.2
2021-08-17 13:00:00+10:00,BUY,Bull_BoS,top,counter,counter,1.38148,1.37975,1.38148,1.37875,1.38557,1.5,27.3,20,2021-08-13 15:00:00+10:00,LOSS,1.37875,2021-08-17 19:00:00+10:00,-27.3
2021-08-18 19:00:00+10:00,BUY,Bull_BoS,top,counter,counter,1.3759,1.37418,1.3759,1.37318,1.37998,1.5,27.2,1,2021-08-18 13:00:00+10:00,LOSS,1.37318,2021-08-19 11:00:00+10:00,-27.2
2021-08-20 23:00:00+10:00,SELL,Bear_BoS,top,with,with,1.36348,1.36208,1.36208,1.36448,1.35848,1.5,24.0,1,2021-08-20 13:00:00+10:00,LOSS,1.36448,2021-08-23 11:00:00+10:00,-24.0
2021-08-31 19:00:00+10:00,BUY,Bull_BoS,top,with,with,1.37669,1.37542,1.37669,1.37442,1.38009,1.5,22.7,3,2021-08-31 05:00:00+10:00,WIN,1.38009,2021-08-31 23:00:00+10:00,34.0
2021-09-07 21:00:00+10:00,BUY,Bull_BoS,top,with,counter,1.37844,1.3767,1.37844,1.3757,1.38255,1.5,27.4,35,2021-09-02 05:00:00+10:00,LOSS,1.3757,2021-09-08 15:00:00+10:00,-27.4
2021-09-14 23:00:00+10:00,BUY,Bull_BoS,top,with,with,1.38495,1.38387,1.38495,1.38287,1.38807,1.5,20.8,4,2021-09-14 13:00:00+10:00,WIN,1.38807,2021-09-14 23:00:00+10:00,31.2
2021-09-16 23:00:00+10:00,BUY,Bull_BoS,top,counter,counter,1.37706,1.37532,1.37706,1.37432,1.38117,1.5,27.4,63,2021-09-09 13:00:00+10:00,WIN,1.38117,2021-09-17 17:00:00+10:00,41.1
2021-09-22 21:00:00+10:00,BUY,Bull_BoS,top,counter,counter,1.36226,1.36051,1.36226,1.35951,1.36638,1.5,27.5,270,2021-08-20 21:00:00+10:00,WIN,1.36638,2021-09-23 01:00:00+10:00,41.2
2021-10-05 23:00:00+10:00,BUY,Bull_BoS,top,with,with,1.36032,1.35862,1.36032,1.35762,1.36437,1.5,27.0,3,2021-10-05 13:00:00+10:00,WIN,1.36437,2021-10-06 01:00:00+10:00,40.5
2021-10-07 17:00:00+10:00,BUY,Bull_BoS,top,counter,counter,1.35953,1.35808,1.35953,1.35708,1.3632,1.5,24.5,1,2021-10-07 11:00:00+10:00,LOSS,1.35708,2021-10-07 17:00:00+10:00,-24.5
2021-10-30 01:00:00+10:00,BUY,Bull_BoS,top,with,counter,1.36873,1.36673,1.36873,1.36573,1.37323,1.5,30.0,123,2021-10-15 05:00:00+10:00,LOSS,1.36573,2021-11-01 17:00:00+10:00,-30.0
2021-11-16 20:00:00+10:00,BUY,Bull_BoS,top,counter,counter,1.34338,1.34167,1.34338,1.34067,1.34744,1.5,27.1,2,2021-11-16 14:00:00+10:00,LOSS,1.34067,2021-11-17 12:00:00+10:00,-27.1
2021-11-24 20:00:00+10:00,SELL,Bear_BoS,top,with,with,1.33799,1.33696,1.33696,1.33899,1.33392,1.5,20.3,1,2021-11-24 14:00:00+10:00,WIN,1.33392,2021-11-25 00:00:00+10:00,30.4
2021-11-30 10:00:00+10:00,SELL,Bear_BoS,top,with,with,1.33433,1.33237,1.33237,1.33533,1.32793,1.5,29.6,5,2021-11-29 08:00:00+10:00,LOSS,1.33533,2021-11-30 18:00:00+10:00,-29.6
2021-12-09 02:00:00+10:00,SELL,Bear_BoS,top,with,with,1.32612,1.32434,1.32434,1.32712,1.32017,1.5,27.8,3,2021-12-08 12:00:00+10:00,WIN,1.32017,2021-12-09 06:00:00+10:00,41.7
2021-12-22 20:00:00+10:00,SELL,Bear_BoS,top,counter,counter,1.33367,1.33194,1.33194,1.33467,1.32784,1.5,27.3,36,2021-12-17 14:00:00+10:00,LOSS,1.33467,2021-12-23 02:00:00+10:00,-27.3
2021-12-28 00:00:00+10:00,BUY,Bull_BoS,top,with,with,1.34143,1.33998,1.34143,1.33898,1.3451,1.5,24.5,1,2021-12-27 14:00:00+10:00,WIN,1.3451,2021-12-28 20:00:00+10:00,36.7
2021-12-29 20:00:00+10:00,SELL,Bear_BoS,top,counter,counter,1.34421,1.3424,1.3424,1.34521,1.33819,1.5,28.1,1,2021-12-29 02:00:00+10:00,LOSS,1.34521,2021-12-29 22:00:00+10:00,-28.1
2021-12-30 00:00:00+10:00,SELL,Bear_BoS,top,counter,counter,1.35038,1.34862,1.34862,1.35138,1.34448,1.5,27.6,339,2021-11-19 08:00:00+10:00,LOSS,1.35138,2021-12-30 22:00:00+10:00,-27.6
2022-01-13 22:00:00+10:00,BUY,Bull_BoS,top,with,with,1.37142,1.36998,1.37142,1.36898,1.37508,1.5,24.4,3,2022-01-13 06:00:00+10:00,LOSS,1.36898,2022-01-15 00:00:00+10:00,-24.4
2022-01-17 22:00:00+10:00,BUY,Bull_BoS,top,with,with,1.36449,1.36256,1.36449,1.36156,1.36888,1.5,29.3,36,2022-01-12 16:00:00+10:00,LOSS,1.36156,2022-01-18 20:00:00+10:00,-29.3
2022-02-04 18:00:00+10:00,BUY,Bull_BoS,top,with,with,1.35675,1.35507,1.35675,1.35407,1.36077,1.5,26.8,9,2022-02-03 14:00:00+10:00,LOSS,1.35407,2022-02-04 22:00:00+10:00,-26.8
2022-02-22 18:00:00+10:00,SELL,Bear_BoS,top,counter,counter,1.35985,1.35799,1.35799,1.36085,1.3537,1.5,28.6,1,2022-02-22 14:00:00+10:00,LOSS,1.36085,2022-02-23 16:00:00+10:00,-28.6
2022-04-18 11:00:00+10:00,SELL,Bear_BoS,top,with,with,1.30646,1.30448,1.30448,1.30746,1.30001,1.5,29.8,1,2022-04-18 07:00:00+10:00,WIN,1.30001,2022-04-19 11:00:00+10:00,44.7
2023-04-25 09:00:00+10:00,SELL,Bear_BoS,top,counter,counter,1.2519,1.25016,1.25016,1.2529,1.24605,1.5,27.4,78,2023-04-14 19:00:00+10:00,WIN,1.24605,2023-04-25 17:00:00+10:00,41.1
2023-06-02 23:00:00+10:00,SELL,Bear_BoS,top,counter,counter,1.25404,1.25229,1.25229,1.25504,1.24816,1.5,27.5,1,2023-06-02 11:00:00+10:00,WIN,1.24816,2023-06-02 23:00:00+10:00,41.3
2023-06-22 21:00:00+10:00,SELL,Bear_BoS,top,counter,counter,1.28326,1.28145,1.28145,1.28426,1.27724,1.5,28.1,34,2023-06-19 07:00:00+10:00,WIN,1.27724,2023-06-22 21:00:00+10:00,42.1
2023-08-10 21:00:00+10:00,SELL,Bear_BoS,top,with,counter,1.28362,1.28179,1.28179,1.28462,1.27755,1.5,28.3,85,2023-08-01 13:00:00+10:00,WIN,1.27755,2023-08-10 21:00:00+10:00,42.4
2023-09-13 19:00:00+10:00,SELL,Bear_BoS,top,with,with,1.2496,1.24821,1.24821,1.2506,1.24463,1.5,23.9,2,2023-09-13 13:00:00+10:00,WIN,1.24463,2023-09-13 21:00:00+10:00,35.8
2023-09-26 19:00:00+10:00,SELL,Bear_BoS,top,with,with,1.22055,1.21937,1.21937,1.22155,1.2161,1.5,21.8,2,2023-09-26 13:00:00+10:00,WIN,1.2161,2023-09-27 01:00:00+10:00,32.7
2023-09-28 19:00:00+10:00,SELL,Bear_BoS,top,with,with,1.22149,1.21999,1.21999,1.22249,1.21624,1.5,25.0,26,2023-09-26 07:00:00+10:00,LOSS,1.22249,2023-09-29 11:00:00+10:00,-25.0
2023-10-30 19:00:00+10:00,SELL,Bear_BoS,top,with,with,1.21315,1.21121,1.21121,1.21415,1.2068,1.5,29.4,1,2023-10-30 15:00:00+10:00,LOSS,1.21415,2023-10-30 21:00:00+10:00,-29.4
2023-12-07 08:00:00+10:00,BUY,Bull_BoS,top,with,counter,1.25456,1.25262,1.25456,1.25162,1.25897,1.5,29.4,103,2023-11-24 16:00:00+10:00,WIN,1.25897,2023-12-07 20:00:00+10:00,44.1
2023-12-14 04:00:00+10:00,SELL,Bear_BoS,top,counter,counter,1.26374,1.26174,1.26174,1.26474,1.25724,1.5,30.0,73,2023-12-05 22:00:00+10:00,WIN,1.25724,2023-12-14 04:00:00+10:00,45.0
2024-01-11 00:00:00+10:00,SELL,Bear_BoS,top,counter,counter,1.27605,1.27406,1.27406,1.27705,1.26958,1.5,29.9,12,2024-01-09 10:00:00+10:00,LOSS,1.27705,2024-01-11 14:00:00+10:00,-29.9
2024-02-17 00:00:00+10:00,SELL,Bear_BoS,top,with,with,1.2601,1.25827,1.25827,1.2611,1.25403,1.5,28.3,1,2024-02-16 20:00:00+10:00,LOSS,1.2611,2024-02-17 04:00:00+10:00,-28.3
2024-02-21 20:00:00+10:00,SELL,Bear_BoS,top,counter,counter,1.26373,1.26192,1.26192,1.26473,1.25771,1.5,28.1,1,2024-02-21 12:00:00+10:00,LOSS,1.26473,2024-02-22 14:00:00+10:00,-28.1
2024-03-01 00:00:00+10:00,SELL,Bear_BoS,top,counter,with,1.26954,1.26777,1.26777,1.27054,1.26362,1.5,27.7,17,2024-02-27 16:00:00+10:00,WIN,1.26362,2024-03-01 02:00:00+10:00,41.5
2024-03-13 01:00:00+10:00,SELL,Bear_BoS,top,counter,counter,1.27984,1.27799,1.27799,1.28084,1.27372,1.5,28.5,2,2024-03-12 19:00:00+10:00,LOSS,1.28084,2024-03-13 21:00:00+10:00,-28.5
2024-03-19 15:00:00+10:00,BUY,Bull_BoS,top,with,counter,1.27044,1.269,1.27044,1.268,1.2741,1.5,24.4,104,2024-03-06 10:00:00+10:00,LOSS,1.268,2024-03-19 19:00:00+10:00,-24.4
2024-03-19 17:00:00+10:00,BUY,Bull_BoS,top,with,counter,1.26895,1.26771,1.26895,1.26671,1.27231,1.5,22.4,117,2024-03-05 20:00:00+10:00,WIN,1.27231,2024-03-20 01:00:00+10:00,33.6
