entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,origin_time,result,exit_price,exit_time,pnl_pips
2021-06-21 23:00:00+10:00,SELL,Bear_BoS,bottom,with,with,1.39102,1.38548,1.39102,1.39202,1.38852,2.5,10.0,13,2021-06-18 19:00:00+10:00,WIN,1.38852,2021-06-21 23:00:00+10:00,25.0
2021-08-06 21:00:00+10:00,BUY,Bull_BoS,bottom,with,with,1.3946,1.39019,1.39019,1.38919,1.39269,2.5,10.0,11,2021-08-05 21:00:00+10:00,WIN,1.39269,2021-08-06 21:00:00+10:00,25.0
2021-09-20 07:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.37675,1.37263,1.37263,1.37163,1.37513,2.5,10.0,79,2021-09-08 23:00:00+10:00,LOSS,1.37163,2021-09-20 11:00:00+10:00,-10.0
2021-12-16 22:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,1.33689,1.33071,1.33689,1.33789,1.33439,2.5,10.0,143,2021-11-30 18:00:00+10:00,WIN,1.33439,2021-12-16 22:00:00+10:00,25.0
2022-01-13 00:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,1.36919,1.36427,1.36919,1.37019,1.36669,2.5,10.0,589,2021-11-04 03:00:00+10:00,LOSS,1.37019,2022-01-13 02:00:00+10:00,-10.0
2022-01-18 12:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,1.36449,1.36256,1.36256,1.36156,1.36506,2.5,10.0,43,2022-01-12 16:00:00+10:00,WIN,1.36506,2022-01-18 12:00:00+10:00,25.0
2022-01-21 00:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,1.36613,1.36396,1.36613,1.36713,1.36363,2.5,10.0,30,2022-01-18 10:00:00+10:00,WIN,1.36363,2022-01-21 00:00:00+10:00,25.0
2022-02-11 14:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,1.35805,1.35237,1.35237,1.35137,1.35487,2.5,10.0,7,2022-02-10 22:00:00+10:00,WIN,1.35487,2022-02-11 18:00:00+10:00,25.0
2022-04-19 23:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.30265,1.29817,1.29817,1.29717,1.30067,2.5,10.0,47,2022-04-13 15:00:00+10:00,WIN,1.30067,2022-04-19 23:00:00+10:00,25.0
2022-08-05 23:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,1.20541,1.2016,1.2016,1.2006,1.2041,2.5,10.0,82,2022-07-27 01:00:00+10:00,LOSS,1.2006,2022-08-05 23:00:00+10:00,-10.0
2022-09-08 01:00:00+10:00,SELL,Bear_BoS,bottom,with,with,1.14965,1.14513,1.14965,1.15065,1.14715,2.5,10.0,3,2022-09-07 15:00:00+10:00,WIN,1.14715,2022-09-08 01:00:00+10:00,25.0
2022-09-22 19:00:00+10:00,SELL,Bear_BoS,bottom,with,with,1.13573,1.12354,1.13573,1.13673,1.13323,2.5,10.0,7,2022-09-22 03:00:00+10:00,WIN,1.13323,2022-09-22 19:00:00+10:00,25.0
2022-09-28 19:00:00+10:00,SELL,Bear_BoS,bottom,with,with,1.07361,1.06588,1.07361,1.07461,1.07111,2.5,10.0,4,2022-09-28 03:00:00+10:00,LOSS,1.07461,2022-09-28 19:00:00+10:00,-10.0
2022-09-30 01:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,1.10841,1.10248,1.10841,1.10941,1.10591,2.5,10.0,49,2022-09-23 21:00:00+10:00,LOSS,1.10941,2022-09-30 01:00:00+10:00,-10.0
2022-11-12 04:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,1.18543,1.18008,1.18543,1.18643,1.18293,2.5,10.0,661,2022-08-26 21:00:00+10:00,WIN,1.18293,2022-11-12 04:00:00+10:00,25.0
2022-12-05 14:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,1.2343,1.22524,1.2343,1.2353,1.2318,2.5,10.0,1447,2022-06-17 17:00:00+10:00,WIN,1.2318,2022-12-05 16:00:00+10:00,25.0
2023-02-02 22:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.23301,1.2284,1.2284,1.2274,1.2309,2.5,10.0,9,2023-02-01 00:00:00+10:00,LOSS,1.2274,2023-02-02 22:00:00+10:00,-10.0
2023-06-22 21:00:00+10:00,BUY,Bull_BoS,bottom,with,with,1.277,1.27432,1.27432,1.27332,1.27682,2.5,10.0,2,2023-06-22 15:00:00+10:00,WIN,1.27682,2023-06-22 21:00:00+10:00,25.0
2023-08-10 21:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,1.27989,1.27648,1.27989,1.28089,1.27739,2.5,10.0,72,2023-08-02 17:00:00+10:00,LOSS,1.28089,2023-08-10 21:00:00+10:00,-10.0
2023-12-28 02:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,1.27944,1.27658,1.27944,1.28044,1.27694,2.5,10.0,1072,2023-08-22 15:00:00+10:00,LOSS,1.28044,2023-12-28 10:00:00+10:00,-10.0
2024-05-09 21:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.24825,1.24662,1.24662,1.24562,1.24912,2.5,10.0,69,2024-05-01 15:00:00+10:00,LOSS,1.24562,2024-05-09 21:00:00+10:00,-10.0
2024-07-09 07:00:00+10:00,BUY,Bull_BoS,bottom,with,with,1.28163,1.28019,1.28019,1.27919,1.28269,2.5,10.0,7,2024-07-08 15:00:00+10:00,LOSS,1.27919,2024-07-09 23:00:00+10:00,-10.0
2024-08-16 17:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,1.28881,1.28563,1.28881,1.28981,1.28631,2.5,10.0,168,2024-07-29 09:00:00+10:00,LOSS,1.28981,2024-08-16 19:00:00+10:00,-10.0
2024-10-03 15:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,1.32162,1.31682,1.31682,1.31582,1.31932,2.5,10.0,120,2024-09-19 09:00:00+10:00,WIN,1.31932,2024-10-03 15:00:00+10:00,25.0
2025-03-04 04:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,1.27224,1.26862,1.27224,1.27324,1.26974,2.5,10.0,610,2024-12-18 20:00:00+10:00,WIN,1.26974,2025-03-04 04:00:00+10:00,25.0
2025-04-11 23:00:00+10:00,BUY,Bull_BoS,bottom,with,with,1.31447,1.30559,1.30559,1.30459,1.30809,2.5,10.0,1,2025-04-11 19:00:00+10:00,WIN,1.30809,2025-04-11 23:00:00+10:00,25.0
2025-04-14 15:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,1.31685,1.30579,1.31685,1.31785,1.31435,2.5,10.0,68,2025-04-03 17:00:00+10:00,WIN,1.31435,2025-04-14 15:00:00+10:00,25.0
2025-09-02 17:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.34237,1.33925,1.33925,1.33825,1.34175,2.5,10.0,81,2025-08-22 13:00:00+10:00,LOSS,1.33825,2025-09-02 17:00:00+10:00,-10.0
2025-09-05 23:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,1.35499,1.35222,1.35499,1.35599,1.35249,2.5,10.0,39,2025-09-01 23:00:00+10:00,WIN,1.35249,2025-09-05 23:00:00+10:00,25.0
2026-01-28 00:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,1.37834,1.37315,1.37834,1.37934,1.37584,2.5,10.0,1763,2025-07-01 17:00:00+10:00,WIN,1.37584,2026-01-28 00:00:00+10:00,25.0
2026-02-07 00:00:00+10:00,SELL,Bear_BoS,bottom,with,with,1.36154,1.35616,1.36154,1.36254,1.35904,2.5,10.0,12,2026-02-05 20:00:00+10:00,WIN,1.35904,2026-02-07 00:00:00+10:00,25.0
2026-03-20 05:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,1.34468,1.34023,1.34468,1.34568,1.34218,2.5,10.0,76,2026-03-11 19:00:00+10:00,LOSS,1.34568,2026-03-20 05:00:00+10:00,-10.0
2026-05-13 19:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,1.35354,1.34987,1.34987,1.34887,1.35237,2.5,10.0,106,2026-04-30 21:00:00+10:00,WIN,1.35237,2026-05-13 19:00:00+10:00,25.0
