entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,origin_time,result,exit_price,exit_time,pnl_pips
2021-06-10 23:00:00+10:00,SELL,Bear_BoS,mid,counter,with,1.4189,1.41511,1.417,1.4194,1.40982,3.0,23.9,13,2021-06-09 17:00:00+10:00,WIN,1.40982,2021-06-12 03:00:00+10:00,71.8
2021-07-29 23:00:00+10:00,SELL,Bear_BoS,mid,counter,counter,1.39932,1.39541,1.39736,1.39982,1.39,3.0,24.5,301,2021-06-23 21:00:00+10:00,WIN,1.39,2021-07-30 23:00:00+10:00,73.6
2021-08-06 01:00:00+10:00,BUY,Bull_BoS,mid,with,with,1.3946,1.39019,1.3924,1.38969,1.40051,3.0,27.0,1,2021-08-05 21:00:00+10:00,LOSS,1.38969,2021-08-06 21:00:00+10:00,-27.1
2021-09-17 23:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.37675,1.37263,1.37469,1.37213,1.38237,3.0,25.6,75,2021-09-08 23:00:00+10:00,LOSS,1.37213,2021-09-20 07:00:00+10:00,-25.6
2021-12-10 10:00:00+10:00,SELL,Bear_BoS,mid,with,with,1.32442,1.32151,1.32296,1.32492,1.3171,3.0,19.5,14,2021-12-09 02:00:00+10:00,LOSS,1.32492,2021-12-11 02:00:00+10:00,-19.6
2022-01-12 22:00:00+10:00,SELL,Bear_BoS,mid,with,counter,1.36919,1.36427,1.36673,1.36969,1.35785,3.0,29.6,588,2021-11-04 03:00:00+10:00,LOSS,1.36969,2022-01-13 02:00:00+10:00,-29.6
2022-01-18 12:00:00+10:00,BUY,Bull_BoS,mid,with,counter,1.36449,1.36256,1.36352,1.36206,1.36792,3.0,14.7,43,2022-01-12 16:00:00+10:00,LOSS,1.36206,2022-01-18 20:00:00+10:00,-14.6
2022-01-18 18:00:00+10:00,SELL,Bear_BoS,mid,counter,with,1.36613,1.36396,1.36504,1.36663,1.36029,3.0,15.8,3,2022-01-18 10:00:00+10:00,WIN,1.36029,2022-01-18 20:00:00+10:00,47.5
2022-01-21 04:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.36278,1.36045,1.36162,1.35995,1.36661,3.0,16.7,3,2022-01-20 20:00:00+10:00,LOSS,1.35995,2022-01-21 06:00:00+10:00,-16.7
2022-03-29 19:00:00+10:00,SELL,Bear_BoS,mid,with,with,1.31098,1.30871,1.30985,1.31148,1.30494,3.0,16.3,1,2022-03-29 15:00:00+10:00,LOSS,1.31148,2022-03-29 21:00:00+10:00,-16.3
2022-04-19 09:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.30265,1.29817,1.30041,1.29767,1.30863,3.0,27.4,40,2022-04-13 15:00:00+10:00,WIN,1.30863,2022-04-21 19:00:00+10:00,82.2
