entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,origin_time,result,exit_price,exit_time,pnl_pips
2021-07-28 19:00:00+10:00,BUY,Bull_BoS,top,with,with,1.38846,1.38708,1.38846,1.38558,1.39566,2.5,28.8,1,2021-07-28 13:00:00+10:00,LOSS,1.38558,2021-07-28 23:00:00+10:00,-28.8
2021-08-20 17:00:00+10:00,SELL,Bear_BoS,top,with,with,1.36348,1.36208,1.36208,1.36498,1.35483,2.5,29.0,1,2021-08-20 13:00:00+10:00,LOSS,1.36498,2021-08-23 11:00:00+10:00,-29.0
2021-08-31 19:00:00+10:00,BUY,Bull_BoS,top,with,with,1.37669,1.37542,1.37669,1.37392,1.38361,2.5,27.7,3,2021-08-31 05:00:00+10:00,LOSS,1.37392,2021-09-01 09:00:00+10:00,-27.7
2021-09-09 15:00:00+10:00,SELL,Bear_BoS,top,with,with,1.37733,1.37592,1.37592,1.37883,1.36864,2.5,29.1,1,2021-09-09 11:00:00+10:00,LOSS,1.37883,2021-09-09 17:00:00+10:00,-29.1
2021-09-14 23:00:00+10:00,BUY,Bull_BoS,top,with,with,1.38495,1.38387,1.38495,1.38237,1.3914,2.5,25.8,4,2021-09-14 13:00:00+10:00,LOSS,1.38237,2021-09-15 03:00:00+10:00,-25.8
2021-10-07 17:00:00+10:00,BUY,Bull_BoS,top,counter,counter,1.35953,1.35808,1.35953,1.35658,1.3669,2.5,29.5,1,2021-10-07 11:00:00+10:00,WIN,1.3669,2021-10-11 15:00:00+10:00,73.8
2021-11-24 20:00:00+10:00,SELL,Bear_BoS,top,with,with,1.33799,1.33696,1.33696,1.33949,1.33063,2.5,25.3,1,2021-11-24 14:00:00+10:00,WIN,1.33063,2021-11-25 22:00:00+10:00,63.3
2021-12-28 00:00:00+10:00,BUY,Bull_BoS,top,with,with,1.34143,1.33998,1.34143,1.33848,1.3488,2.5,29.5,1,2021-12-27 14:00:00+10:00,WIN,1.3488,2021-12-30 00:00:00+10:00,73.8
2022-01-13 22:00:00+10:00,BUY,Bull_BoS,top,with,with,1.37142,1.36998,1.37142,1.36848,1.37877,2.5,29.4,3,2022-01-13 06:00:00+10:00,LOSS,1.36848,2022-01-15 00:00:00+10:00,-29.4
2022-03-22 15:00:00+10:00,SELL,Bear_BoS,top,counter,with,1.31522,1.31375,1.31375,1.31672,1.30632,2.5,29.7,1,2022-03-22 11:00:00+10:00,LOSS,1.31672,2022-03-22 17:00:00+10:00,-29.7
2023-09-13 19:00:00+10:00,SELL,Bear_BoS,top,with,with,1.2496,1.24821,1.24821,1.2511,1.24098,2.5,28.9,2,2023-09-13 13:00:00+10:00,LOSS,1.2511,2023-09-13 23:00:00+10:00,-28.9
2023-09-20 13:00:00+10:00,SELL,Bear_BoS,top,with,with,1.23969,1.23838,1.23838,1.24119,1.23136,2.5,28.1,1,2023-09-20 07:00:00+10:00,LOSS,1.24119,2023-09-21 01:00:00+10:00,-28.1
2023-09-26 19:00:00+10:00,SELL,Bear_BoS,top,with,with,1.22055,1.21937,1.21937,1.22205,1.21267,2.5,26.8,2,2023-09-26 13:00:00+10:00,WIN,1.21267,2023-09-28 01:00:00+10:00,67.0
2024-03-06 00:00:00+10:00,BUY,Bull_BoS,top,with,with,1.26895,1.26771,1.26895,1.26621,1.2758,2.5,27.4,1,2024-03-05 20:00:00+10:00,WIN,1.2758,2024-03-07 02:00:00+10:00,68.5
2024-03-19 15:00:00+10:00,BUY,Bull_BoS,top,with,counter,1.27044,1.269,1.27044,1.2675,1.27779,2.5,29.4,104,2024-03-06 10:00:00+10:00,LOSS,1.2675,2024-03-19 19:00:00+10:00,-29.4
2024-04-16 11:00:00+10:00,SELL,Bear_BoS,top,with,with,1.24492,1.24353,1.24353,1.24642,1.2363,2.5,28.9,1,2024-04-16 07:00:00+10:00,LOSS,1.24642,2024-04-16 21:00:00+10:00,-28.9
2024-05-22 21:00:00+10:00,BUY,Bull_BoS,top,with,with,1.27169,1.27088,1.27169,1.26938,1.27746,2.5,23.1,3,2024-05-22 13:00:00+10:00,LOSS,1.26938,2024-05-24 03:00:00+10:00,-23.1
2024-06-26 19:00:00+10:00,SELL,Bear_BoS,top,with,with,1.26882,1.26735,1.26735,1.27032,1.25992,2.5,29.7,1,2024-06-26 07:00:00+10:00,LOSS,1.27032,2024-07-01 23:00:00+10:00,-29.7
2024-07-08 19:00:00+10:00,BUY,Bull_BoS,top,with,with,1.28163,1.28019,1.28163,1.27869,1.28898,2.5,29.4,1,2024-07-08 15:00:00+10:00,LOSS,1.27869,2024-07-10 01:00:00+10:00,-29.4
2025-07-29 17:00:00+10:00,SELL,Bear_BoS,top,with,with,1.33585,1.33452,1.33452,1.33735,1.32744,2.5,28.3,1,2025-07-29 11:00:00+10:00,LOSS,1.33735,2025-07-30 19:00:00+10:00,-28.3
2025-09-02 07:00:00+10:00,BUY,Bull_BoS,top,with,with,1.35376,1.35231,1.35376,1.35081,1.36114,2.5,29.5,4,2025-09-01 19:00:00+10:00,LOSS,1.35081,2025-09-02 17:00:00+10:00,-29.5
2026-01-09 22:00:00+10:00,SELL,Bear_BoS,top,with,with,1.3438,1.34242,1.34242,1.3453,1.33522,2.5,28.8,2,2026-01-09 12:00:00+10:00,LOSS,1.3453,2026-01-12 18:00:00+10:00,-28.8
2026-04-29 05:00:00+10:00,SELL,Bear_BoS,top,counter,counter,1.3536,1.35211,1.35211,1.3551,1.34463,2.5,29.9,7,2026-04-28 13:00:00+10:00,LOSS,1.3551,2026-04-30 23:00:00+10:00,-29.9
