entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,origin_time,result,exit_price,exit_time,pnl_pips
2020-04-01 03:00:00+10:00,BUY,Bull_BoS,bottom,with,with,0.59691,0.59095,0.59095,0.58995,0.59245,1.5,10.0,25,2020-03-27 21:00:00+10:00,WIN,0.59245,2020-04-01 03:00:00+10:00,15.0
2020-05-13 11:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.6062,0.60304,0.60304,0.60204,0.60454,1.5,10.0,41,2020-05-07 23:00:00+10:00,WIN,0.60454,2020-05-13 11:00:00+10:00,15.0
2020-11-02 08:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.66345,0.65968,0.65968,0.65868,0.66118,1.5,10.0,5,2020-10-30 01:00:00+10:00,WIN,0.66118,2020-11-02 18:00:00+10:00,15.0
2020-11-04 10:00:00+10:00,BUY,Bull_BoS,bottom,with,with,0.67176,0.66798,0.66798,0.66698,0.66948,1.5,10.0,1,2020-11-04 04:00:00+10:00,WIN,0.66948,2020-11-04 10:00:00+10:00,15.0
2021-02-19 18:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.72643,0.72314,0.72643,0.72743,0.72493,1.5,10.0,33,2021-02-16 12:00:00+10:00,WIN,0.72493,2021-02-19 18:00:00+10:00,15.0
2021-02-26 06:00:00+10:00,BUY,Bull_BoS,bottom,with,with,0.73943,0.73642,0.73642,0.73542,0.73792,1.5,10.0,15,2021-02-24 22:00:00+10:00,WIN,0.73792,2021-02-26 06:00:00+10:00,15.0
2021-03-05 10:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.71957,0.71609,0.71609,0.71509,0.71759,1.5,10.0,128,2021-02-17 22:00:00+10:00,WIN,0.71759,2021-03-05 10:00:00+10:00,15.0
2021-03-19 09:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.71836,0.71578,0.71578,0.71478,0.71728,1.5,10.0,15,2021-03-17 21:00:00+10:00,WIN,0.71728,2021-03-19 13:00:00+10:00,15.0
2021-03-23 19:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.70722,0.7032,0.7032,0.7022,0.7047,1.5,10.0,745,2020-12-23 00:00:00+10:00,WIN,0.7047,2021-03-23 19:00:00+10:00,15.0
2021-05-12 21:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,0.72278,0.72116,0.72116,0.72016,0.72266,1.5,10.0,36,2021-05-07 19:00:00+10:00,LOSS,0.72016,2021-05-12 21:00:00+10:00,-10.0
2021-07-20 05:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.6989,0.69174,0.69174,0.69074,0.69324,1.5,10.0,45,2021-07-13 21:00:00+10:00,WIN,0.69324,2021-07-20 05:00:00+10:00,15.0
2021-10-13 23:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.69569,0.69315,0.69569,0.69669,0.69419,1.5,10.0,1,2021-10-13 17:00:00+10:00,WIN,0.69419,2021-10-13 23:00:00+10:00,15.0
2021-12-08 06:00:00+10:00,SELL,Bear_BoS,bottom,with,with,0.67925,0.67734,0.67925,0.68025,0.67775,1.5,10.0,27,2021-12-03 20:00:00+10:00,WIN,0.67775,2021-12-08 08:00:00+10:00,15.0
2022-02-02 22:00:00+10:00,SELL,Bear_BoS,bottom,with,with,0.66607,0.6646,0.66607,0.66707,0.66457,1.5,10.0,54,2022-01-27 08:00:00+10:00,WIN,0.66457,2022-02-02 22:00:00+10:00,15.0
2022-02-11 10:00:00+10:00,BUY,Bull_BoS,bottom,with,with,0.67035,0.66531,0.66531,0.66431,0.66681,1.5,10.0,5,2022-02-10 22:00:00+10:00,LOSS,0.66431,2022-02-11 14:00:00+10:00,-10.0
2022-03-29 11:00:00+10:00,SELL,Bear_BoS,bottom,with,with,0.69041,0.6888,0.69041,0.69141,0.68891,1.5,10.0,1,2022-03-29 07:00:00+10:00,WIN,0.68891,2022-03-29 11:00:00+10:00,15.0
2022-05-30 11:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.65565,0.64287,0.65565,0.65665,0.65415,1.5,10.0,197,2022-05-05 05:00:00+10:00,WIN,0.65415,2022-05-30 11:00:00+10:00,15.0
2022-08-10 19:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.63151,0.6291,0.63151,0.63251,0.63001,1.5,10.0,35,2022-08-04 19:00:00+10:00,LOSS,0.63251,2022-08-10 21:00:00+10:00,-10.0
2022-11-03 03:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,0.59109,0.58417,0.59109,0.59209,0.58959,1.5,10.0,359,2022-09-22 03:00:00+10:00,LOSS,0.59209,2022-11-03 03:00:00+10:00,-10.0
2022-11-15 16:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.61609,0.61287,0.61609,0.61709,0.61459,1.5,10.0,537,2022-09-13 19:00:00+10:00,WIN,0.61459,2022-11-15 16:00:00+10:00,15.0
2022-12-15 18:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,0.64031,0.63748,0.63748,0.63648,0.63898,1.5,10.0,22,2022-12-13 00:00:00+10:00,WIN,0.63898,2022-12-15 18:00:00+10:00,15.0
2022-12-20 12:00:00+10:00,SELL,Bear_BoS,bottom,counter,with,0.63953,0.63681,0.63953,0.64053,0.63803,1.5,10.0,6,2022-12-19 10:00:00+10:00,WIN,0.63803,2022-12-20 12:00:00+10:00,15.0
2023-01-03 16:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.63299,0.62963,0.62963,0.62863,0.63113,1.5,10.0,2,2023-01-03 10:00:00+10:00,WIN,0.63113,2023-01-03 16:00:00+10:00,15.0
2023-04-26 19:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.61729,0.61224,0.61224,0.61124,0.61374,1.5,10.0,388,2023-03-11 04:00:00+10:00,WIN,0.61374,2023-04-26 19:00:00+10:00,15.0
2023-07-21 21:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,0.62154,0.61845,0.61845,0.61745,0.61995,1.5,10.0,83,2023-07-12 19:00:00+10:00,LOSS,0.61745,2023-07-21 23:00:00+10:00,-10.0
2024-07-12 07:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.60927,0.60843,0.60843,0.60743,0.60993,1.5,10.0,5,2024-07-11 19:00:00+10:00,WIN,0.60993,2024-07-12 13:00:00+10:00,15.0
2024-07-22 13:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,0.60067,0.59926,0.59926,0.59826,0.60076,1.5,10.0,620,2024-05-09 09:00:00+10:00,LOSS,0.59826,2024-07-22 23:00:00+10:00,-10.0
2024-11-04 10:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,0.60017,0.5954,0.60017,0.60117,0.59867,1.5,10.0,17,2024-10-30 17:00:00+10:00,WIN,0.59867,2024-11-04 10:00:00+10:00,15.0
2025-04-08 17:00:00+10:00,SELL,Bear_BoS,bottom,with,with,0.56172,0.55531,0.56172,0.56272,0.56022,1.5,10.0,9,2025-04-07 21:00:00+10:00,WIN,0.56022,2025-04-08 17:00:00+10:00,15.0
2025-05-23 23:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.59733,0.59373,0.59733,0.59833,0.59583,1.5,10.0,136,2025-05-08 11:00:00+10:00,WIN,0.59583,2025-05-23 23:00:00+10:00,15.0
2025-10-02 07:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.58178,0.58033,0.58033,0.57933,0.58183,1.5,10.0,5,2025-10-01 19:00:00+10:00,WIN,0.58183,2025-10-02 07:00:00+10:00,15.0
2025-12-16 18:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.57892,0.57747,0.57892,0.57992,0.57742,1.5,10.0,4,2025-12-16 08:00:00+10:00,LOSS,0.57992,2025-12-16 22:00:00+10:00,-10.0
2025-12-23 10:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.58085,0.57855,0.58085,0.58185,0.57935,1.5,10.0,71,2025-12-15 10:00:00+10:00,LOSS,0.58185,2025-12-23 16:00:00+10:00,-10.0
2026-01-12 16:00:00+10:00,SELL,Bear_BoS,bottom,with,with,0.57539,0.57404,0.57539,0.57639,0.57389,1.5,10.0,15,2026-01-09 08:00:00+10:00,LOSS,0.57639,2026-01-12 22:00:00+10:00,-10.0
2026-03-28 03:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.57651,0.57418,0.57418,0.57318,0.57568,1.5,10.0,598,2026-01-17 00:00:00+10:00,WIN,0.57568,2026-03-28 03:00:00+10:00,15.0
