entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,origin_time,result,exit_price,exit_time,pnl_pips
2020-06-17 17:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.35494,1.35123,1.35123,1.35023,1.35273,1.5,10.0,9,2020-06-16 11:00:00+10:00,WIN,1.35273,2020-06-17 17:00:00+10:00,15.0
2021-05-26 01:00:00+10:00,SELL,Bear_BoS,bottom,with,with,1.20734,1.20496,1.20734,1.20834,1.20584,1.5,10.0,11,2021-05-24 23:00:00+10:00,WIN,1.20584,2021-05-26 01:00:00+10:00,15.0
2021-06-22 03:00:00+10:00,BUY,Bull_BoS,bottom,with,with,1.23854,1.23585,1.23585,1.23485,1.23735,1.5,10.0,14,2021-06-18 17:00:00+10:00,WIN,1.23735,2021-06-22 09:00:00+10:00,15.0
2021-07-29 11:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,1.25467,1.25013,1.25013,1.24913,1.25163,1.5,10.0,115,2021-07-15 17:00:00+10:00,WIN,1.25163,2021-07-29 11:00:00+10:00,15.0
2021-08-16 09:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,1.25333,1.25134,1.25333,1.25433,1.25183,1.5,10.0,5,2021-08-13 03:00:00+10:00,WIN,1.25183,2021-08-16 09:00:00+10:00,15.0
2021-09-23 23:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1.26672,1.2638,1.2638,1.2628,1.2653,1.5,10.0,48,2021-09-17 17:00:00+10:00,WIN,1.2653,2021-09-23 23:00:00+10:00,15.0
2021-11-03 23:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,1.24313,1.24022,1.24313,1.24413,1.24163,1.5,10.0,60,2021-10-27 21:00:00+10:00,LOSS,1.24413,2021-11-03 23:00:00+10:00,-10.0
2021-11-10 02:00:00+10:00,BUY,Bull_BoS,bottom,with,with,1.24544,1.24336,1.24336,1.24236,1.24486,1.5,10.0,1,2021-11-09 14:00:00+10:00,WIN,1.24486,2021-11-10 02:00:00+10:00,15.0
2021-12-02 00:00:00+10:00,BUY,Bull_BoS,bottom,with,with,1.27636,1.2725,1.2725,1.2715,1.274,1.5,10.0,24,2021-11-29 08:00:00+10:00,LOSS,1.2715,2021-12-02 00:00:00+10:00,-10.0
2022-03-21 23:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,1.26289,1.25835,1.25835,1.25735,1.25985,1.5,10.0,454,2022-01-27 02:00:00+10:00,WIN,1.25985,2022-03-21 23:00:00+10:00,15.0
