entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,origin_time,result,exit_price,exit_time,pnl_pips
2021-09-16 19:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.92676,0.92228,0.92676,0.92826,0.92451,1.5,15.0,301,2021-07-07 23:00:00+10:00,WIN,0.92451,2021-09-16 19:00:00+10:00,22.5
2022-05-05 07:00:00+10:00,BUY,Bull_BoS,bottom,with,with,0.9794,0.97205,0.97205,0.97055,0.9743,1.5,15.0,8,2022-05-03 19:00:00+10:00,WIN,0.9743,2022-05-05 07:00:00+10:00,22.5
2022-08-31 19:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.97899,0.9732,0.97899,0.98049,0.97674,1.5,15.0,187,2022-07-18 19:00:00+10:00,LOSS,0.98049,2022-08-31 19:00:00+10:00,-15.0
2023-01-18 00:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.92576,0.91883,0.91883,0.91733,0.92108,1.5,15.0,25,2023-01-09 20:00:00+10:00,WIN,0.92108,2023-01-18 00:00:00+10:00,22.5
2023-02-25 00:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.9405,0.93525,0.9405,0.942,0.93825,1.5,15.0,210,2023-01-06 16:00:00+10:00,WIN,0.93825,2023-02-25 00:00:00+10:00,22.5
2023-03-01 20:00:00+10:00,BUY,Bull_BoS,bottom,with,with,0.93893,0.9355,0.9355,0.934,0.93775,1.5,15.0,4,2023-02-28 20:00:00+10:00,WIN,0.93775,2023-03-01 20:00:00+10:00,22.5
2023-04-12 19:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.90036,0.89785,0.89785,0.89635,0.9001,1.5,15.0,2842,2021-06-15 23:00:00+10:00,WIN,0.9001,2023-04-12 19:00:00+10:00,22.5
2023-10-20 07:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,0.89341,0.89075,0.89075,0.88925,0.893,1.5,15.0,160,2023-09-12 23:00:00+10:00,WIN,0.893,2023-10-20 15:00:00+10:00,22.5
2023-11-27 20:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,0.88438,0.87963,0.87963,0.87813,0.88188,1.5,15.0,365,2023-09-01 19:00:00+10:00,WIN,0.88188,2023-11-28 20:00:00+10:00,22.5
2023-12-07 20:00:00+10:00,SELL,Bear_BoS,bottom,with,with,0.87675,0.87345,0.87675,0.87825,0.8745,1.5,15.0,23,2023-12-01 20:00:00+10:00,WIN,0.8745,2023-12-07 20:00:00+10:00,22.5
2024-02-06 20:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,0.87319,0.86764,0.87319,0.87469,0.87094,1.5,15.0,215,2023-12-14 16:00:00+10:00,WIN,0.87094,2024-02-07 00:00:00+10:00,22.5
2024-02-22 16:00:00+10:00,BUY,Bull_BoS,bottom,with,with,0.87729,0.87519,0.87519,0.87369,0.87744,1.5,15.0,42,2024-02-13 00:00:00+10:00,WIN,0.87744,2024-02-22 16:00:00+10:00,22.5
2024-08-19 15:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.86588,0.86221,0.86221,0.86071,0.86446,1.5,15.0,11,2024-08-14 15:00:00+10:00,WIN,0.86446,2024-08-19 15:00:00+10:00,22.5
2024-09-24 23:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,0.8515,0.84489,0.84489,0.84339,0.84714,1.5,15.0,19,2024-09-19 15:00:00+10:00,WIN,0.84714,2024-09-24 23:00:00+10:00,22.5
2024-10-03 15:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,0.8517,0.84715,0.8517,0.8532,0.84945,1.5,15.0,40,2024-09-20 23:00:00+10:00,LOSS,0.8532,2024-10-03 15:00:00+10:00,-15.0
2025-04-03 23:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,0.85782,0.85608,0.85608,0.85458,0.85833,1.5,15.0,727,2024-10-11 03:00:00+10:00,WIN,0.85833,2025-04-03 23:00:00+10:00,22.5
2025-05-01 23:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,0.83187,0.82675,0.83187,0.83337,0.82962,1.5,15.0,18,2025-04-28 15:00:00+10:00,WIN,0.82962,2025-05-01 23:00:00+10:00,22.5
2025-07-16 23:00:00+10:00,BUY,Bull_BoS,bottom,counter,with,0.79792,0.79533,0.79533,0.79383,0.79758,1.5,15.0,6,2025-07-15 15:00:00+10:00,WIN,0.79758,2025-07-16 23:00:00+10:00,22.5
2025-08-01 23:00:00+10:00,BUY,Bull_BoS,bottom,with,with,0.80593,0.804,0.804,0.8025,0.80625,1.5,15.0,13,2025-07-30 15:00:00+10:00,WIN,0.80625,2025-08-01 23:00:00+10:00,22.5
2026-05-07 19:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,0.77885,0.77693,0.77693,0.77543,0.77918,1.5,15.0,246,2026-03-11 11:00:00+10:00,WIN,0.77918,2026-05-08 03:00:00+10:00,22.5
