entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,origin_time,result,exit_price,exit_time,pnl_pips
2023-01-16 17:00:00+10:00,SELL,Bear_BoS,bottom,with,with,128.152,127.719,128.152,128.222,128.047,1.5,7.0,6,2023-01-16 09:00:00+10:00,WIN,128.047,2023-01-16 17:00:00+10:00,10.5
2023-01-18 12:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,130.784,129.581,130.784,130.854,130.679,1.5,7.0,81,2023-01-13 00:00:00+10:00,WIN,130.679,2023-01-18 12:00:00+10:00,10.5
2023-01-27 10:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,130.0,129.627,129.627,129.557,129.732,1.5,7.0,10,2023-01-26 20:00:00+10:00,LOSS,129.557,2023-01-27 10:00:00+10:00,-7.0
2023-03-03 00:00:00+10:00,BUY,Bull_BoS,bottom,with,with,136.782,136.596,136.596,136.526,136.701,1.5,7.0,2,2023-03-02 21:00:00+10:00,WIN,136.701,2023-03-03 00:00:00+10:00,10.5
2023-03-10 12:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,136.849,136.58,136.849,136.919,136.744,1.5,7.0,18,2023-03-09 17:00:00+10:00,LOSS,136.919,2023-03-10 12:00:00+10:00,-7.0
2023-03-29 12:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,131.748,131.355,131.748,131.818,131.643,1.5,7.0,26,2023-03-27 22:00:00+10:00,WIN,131.643,2023-03-29 12:00:00+10:00,10.5
2023-03-30 23:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,132.926,132.342,132.926,132.996,132.821,1.5,7.0,139,2023-03-22 20:00:00+10:00,WIN,132.821,2023-03-30 23:00:00+10:00,10.5
2023-04-13 23:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,132.667,132.046,132.046,131.976,132.151,1.5,7.0,74,2023-04-10 17:00:00+10:00,WIN,132.151,2023-04-13 23:00:00+10:00,10.5
2023-04-28 13:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,133.844,133.412,133.412,133.342,133.517,1.5,7.0,15,2023-04-27 21:00:00+10:00,LOSS,133.342,2023-04-28 13:00:00+10:00,-7.0
2023-05-12 16:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,134.843,134.326,134.843,134.913,134.738,1.5,7.0,19,2023-05-11 18:00:00+10:00,WIN,134.738,2023-05-12 16:00:00+10:00,10.5
2023-07-13 22:00:00+10:00,SELL,Bear_BoS,bottom,with,with,138.822,138.387,138.822,138.892,138.717,1.5,7.0,6,2023-07-13 15:00:00+10:00,LOSS,138.892,2023-07-13 22:00:00+10:00,-7.0
2023-07-14 11:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,137.718,137.287,137.287,137.217,137.392,1.5,7.0,978,2023-05-18 11:00:00+10:00,WIN,137.392,2023-07-14 11:00:00+10:00,10.5
2024-03-20 22:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,151.783,151.613,151.783,151.853,151.678,1.5,7.0,2136,2023-11-14 10:00:00+10:00,WIN,151.678,2024-03-20 22:00:00+10:00,10.5
2024-04-05 17:00:00+10:00,SELL,Bear_BoS,bottom,with,with,151.351,151.12,151.351,151.421,151.246,1.5,7.0,7,2024-04-05 06:00:00+10:00,WIN,151.246,2024-04-05 17:00:00+10:00,10.5
2024-07-10 01:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,161.398,161.154,161.398,161.468,161.293,1.5,7.0,63,2024-07-05 09:00:00+10:00,LOSS,161.468,2024-07-10 01:00:00+10:00,-7.0
2024-07-25 23:00:00+10:00,SELL,Bear_BoS,bottom,with,with,153.951,153.589,153.951,154.021,153.846,1.5,7.0,13,2024-07-25 09:00:00+10:00,LOSS,154.021,2024-07-25 23:00:00+10:00,-7.0
2024-08-06 01:00:00+10:00,SELL,Bear_BoS,bottom,with,with,143.992,141.671,143.992,144.062,143.887,1.5,7.0,7,2024-08-05 17:00:00+10:00,WIN,143.887,2024-08-06 01:00:00+10:00,10.5
2024-08-24 04:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,145.076,144.165,144.165,144.095,144.27,1.5,7.0,305,2024-08-07 06:00:00+10:00,WIN,144.27,2024-08-24 04:00:00+10:00,10.5
2024-09-02 09:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,146.481,145.975,146.481,146.551,146.376,1.5,7.0,129,2024-08-23 23:00:00+10:00,LOSS,146.551,2024-09-02 09:00:00+10:00,-7.0
2024-09-19 11:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,143.896,142.792,143.896,143.966,143.791,1.5,7.0,203,2024-09-06 23:00:00+10:00,WIN,143.791,2024-09-19 11:00:00+10:00,10.5
2024-09-20 13:00:00+10:00,BUY,Bull_BoS,bottom,with,with,143.2,142.107,142.107,142.037,142.212,1.5,7.0,15,2024-09-19 16:00:00+10:00,LOSS,142.037,2024-09-20 13:00:00+10:00,-7.0
2024-10-03 06:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,146.489,145.253,146.489,146.559,146.384,1.5,7.0,86,2024-09-27 15:00:00+10:00,WIN,146.384,2024-10-03 06:00:00+10:00,10.5
2024-11-25 08:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,154.568,154.19,154.19,154.12,154.295,1.5,7.0,8,2024-11-22 23:00:00+10:00,LOSS,154.12,2024-11-25 08:00:00+10:00,-7.0
2024-11-27 19:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,151.962,151.371,151.371,151.301,151.476,1.5,7.0,369,2024-11-06 04:00:00+10:00,WIN,151.476,2024-11-27 19:00:00+10:00,10.5
2024-11-27 19:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,151.908,151.401,151.401,151.331,151.506,1.5,7.0,369,2024-11-06 09:00:00+10:00,WIN,151.506,2024-11-27 19:00:00+10:00,10.5
2025-01-06 22:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,157.214,156.659,156.659,156.589,156.764,1.5,7.0,44,2025-01-02 16:00:00+10:00,WIN,156.764,2025-01-06 22:00:00+10:00,10.5
2025-01-18 00:00:00+10:00,SELL,Bear_BoS,bottom,with,with,156.175,155.898,156.175,156.245,156.07,1.5,7.0,23,2025-01-17 00:00:00+10:00,WIN,156.07,2025-01-18 00:00:00+10:00,10.5
