entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,origin_time,result,exit_price,exit_time,pnl_pips
2020-06-15 16:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1727.17,1712.71,1712.71,1700.71,1730.71,1.5,120.0,15,2020-06-11 00:00:00+10:00,WIN,1730.71,2020-06-16 12:00:00+10:00,180.0
2020-11-04 21:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,1910.54,1896.97,1910.54,1922.54,1892.54,1.5,120.0,1,2020-11-04 01:00:00+10:00,WIN,1892.54,2020-11-04 21:00:00+10:00,180.0
2021-03-11 17:00:00+10:00,SELL,Bear_BoS,bottom,with,with,1738.48,1720.37,1738.48,1750.48,1720.48,1.5,120.0,35,2021-03-03 01:00:00+10:00,WIN,1720.48,2021-03-11 21:00:00+10:00,180.0
2021-06-03 20:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,1876.38,1866.13,1866.13,1854.13,1884.13,1.5,120.0,40,2021-05-20 16:00:00+10:00,WIN,1884.13,2021-06-03 20:00:00+10:00,180.0
2021-06-04 08:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,1873.97,1857.86,1857.86,1845.86,1875.86,1.5,120.0,68,2021-05-19 16:00:00+10:00,WIN,1875.86,2021-06-04 20:00:00+10:00,180.0
2021-09-07 20:00:00+10:00,BUY,Bull_BoS,bottom,with,with,1817.15,1809.16,1809.16,1797.16,1827.16,1.5,120.0,11,2021-09-02 20:00:00+10:00,LOSS,1797.16,2021-09-08 00:00:00+10:00,-120.0
2021-10-08 20:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,1773.83,1760.21,1773.83,1785.83,1755.83,1.5,120.0,66,2021-09-23 16:00:00+10:00,WIN,1755.83,2021-10-09 00:00:00+10:00,180.0
2021-11-05 20:00:00+10:00,SELL,Bear_BoS,bottom,counter,counter,1803.26,1794.2,1803.26,1815.26,1785.26,1.5,120.0,30,2021-10-28 12:00:00+10:00,WIN,1785.26,2021-11-05 20:00:00+10:00,180.0
2021-12-17 09:00:00+10:00,SELL,Bear_BoS,bottom,with,counter,1804.38,1789.13,1804.38,1816.38,1786.38,1.5,120.0,74,2021-11-30 21:00:00+10:00,WIN,1786.38,2021-12-22 01:00:00+10:00,180.0
2022-04-27 20:00:00+10:00,BUY,Bull_BoS,bottom,with,counter,1921.31,1885.04,1885.04,1873.04,1903.04,1.5,120.0,241,2022-02-25 21:00:00+10:00,WIN,1903.04,2022-04-27 20:00:00+10:00,180.0
2022-06-14 00:00:00+10:00,BUY,Bull_BoS,bottom,counter,counter,1847.63,1825.1,1825.1,1813.1,1843.1,1.5,120.0,6,2022-06-10 20:00:00+10:00,LOSS,1813.1,2022-06-14 08:00:00+10:00,-120.0
