time,open,high,low,close,Volume
1586890800,0.89511,0.89518,0.89371,0.89409,8598
1586898000,0.89399,0.8948,0.89314,0.89347,2422
1586905200,0.89345,0.89398,0.89243,0.89373,7664
1586912400,0.89374,0.89392,0.89081,0.89093,8648
1586919600,0.89092,0.8911,0.89009,0.89067,5314
1586926800,0.89066,0.89095,0.88694,0.88704,12098
1586934000,0.88707,0.88782,0.8846,0.88671,18263
1586941200,0.88668,0.89003,0.88661,0.88759,15148
1586948400,0.88759,0.8887,0.88539,0.88755,17665
1586955600,0.88762,0.89146,0.88499,0.89071,24193
1586962800,0.89071,0.8937,0.8903,0.89364,21784
1586970000,0.89367,0.89398,0.89106,0.89134,16175
1586977200,0.89136,0.89205,0.88956,0.89139,11542
1586984400,0.89103,0.89196,0.89042,0.89127,3167
1586991600,0.89129,0.89168,0.88806,0.88862,10095
1586998800,0.88866,0.89032,0.88585,0.88794,13196
1587006000,0.88798,0.888,0.88516,0.88674,9986
1587013200,0.88673,0.8886,0.88596,0.8877,15728
1587020400,0.88776,0.88954,0.88747,0.88894,20002
1587027600,0.88894,0.88914,0.88702,0.88907,17841
1587034800,0.88908,0.89156,0.8879,0.88888,17122
1587042000,0.88888,0.89282,0.88839,0.89118,24062
1587049200,0.89122,0.89181,0.88925,0.89008,21568
1587056400,0.89001,0.89117,0.88955,0.89074,17458
1587063600,0.89076,0.89183,0.88971,0.89113,13152
1587070800,0.89106,0.89406,0.88895,0.8922,7018
1587078000,0.89225,0.89542,0.89183,0.89273,12543
1587085200,0.89269,0.89433,0.89256,0.89365,11154
1587092400,0.89363,0.89399,0.89176,0.89243,8996
1587099600,0.89244,0.89311,0.89029,0.8927,13329
1587106800,0.89269,0.89371,0.89023,0.89155,23020
1587114000,0.89157,0.89314,0.89092,0.8925,18067
1587121200,0.89249,0.89687,0.89213,0.89544,19288
1587128400,0.89542,0.89549,0.89044,0.89277,24979
1587135600,0.89278,0.89281,0.89052,0.89161,15913
1587142800,0.89158,0.89225,0.89023,0.89089,12857
1587150000,0.89089,0.8933,0.89082,0.89121,10188
1587330000,0.89152,0.89289,0.89133,0.89177,3249
1587337200,0.89179,0.89207,0.89024,0.89154,9457
1587344400,0.89152,0.8932,0.89138,0.89238,11592
1587351600,0.89244,0.89451,0.89213,0.89429,9331
1587358800,0.89431,0.89477,0.89358,0.89404,11534
1587366000,0.89403,0.89724,0.89318,0.89719,15849
1587373200,0.89721,0.89878,0.89714,0.89797,15962
1587380400,0.898,0.89837,0.89644,0.89764,16645
1587387600,0.89759,0.89831,0.89541,0.89778,22807
1587394800,0.89772,0.89856,0.89623,0.898,16935
1587402000,0.89799,0.89831,0.89602,0.89682,17441
1587409200,0.89679,0.89714,0.89472,0.89643,12609
1587416400,0.89601,0.89653,0.89455,0.89574,4471
1587423600,0.89573,0.89669,0.89276,0.89373,11148
1587430800,0.8937,0.89377,0.89034,0.89177,15415
1587438000,0.89176,0.89309,0.89109,0.89235,11994
1587445200,0.89235,0.89551,0.89219,0.8952,12911
1587452400,0.89526,0.89654,0.89331,0.89519,18950
1587459600,0.89517,0.89598,0.89347,0.89418,28638
1587466800,0.8942,0.89466,0.89068,0.89112,20693
1587474000,0.89112,0.89456,0.88975,0.89356,29449
1587481200,0.89355,0.89431,0.89082,0.89288,25370
1587488400,0.89285,0.89436,0.89227,0.8926,25412
1587495600,0.89268,0.89342,0.89211,0.89263,12758
1587502800,0.89236,0.89286,0.89151,0.89185,3065
1587510000,0.89186,0.89424,0.89176,0.89278,9308
1587517200,0.8929,0.90021,0.89242,0.89604,12794
1587524400,0.89606,0.89699,0.89556,0.89606,10206
1587531600,0.8961,0.89878,0.89607,0.89739,15087
1587538800,0.89733,0.89797,0.89612,0.89708,16959
1587546000,0.89708,0.89816,0.89494,0.89617,12237
1587553200,0.89624,0.8966,0.89306,0.8937,15007
1587560400,0.89371,0.89416,0.8912,0.89361,19217
1587567600,0.89367,0.89458,0.89273,0.89381,13217
1587574800,0.89381,0.8971,0.89365,0.89682,12128
1587582000,0.89683,0.89733,0.89493,0.89507,8889
1587589200,0.89506,0.89548,0.89438,0.89459,2171
1587596400,0.8946,0.89478,0.89181,0.89417,9298
1587603600,0.89416,0.89473,0.89327,0.89465,10778
1587610800,0.89465,0.89471,0.89305,0.89355,9371
1587618000,0.89354,0.89957,0.89344,0.89773,15618
1587625200,0.89773,0.89848,0.89653,0.89681,16283
1587632400,0.89681,0.89835,0.89675,0.89787,13505
1587639600,0.89788,0.90118,0.89782,0.89859,18283
1587646800,0.89859,0.89915,0.89605,0.89628,24398
1587654000,0.8964,0.89804,0.89536,0.89674,17977
1587661200,0.89671,0.89723,0.89593,0.89711,17960
1587668400,0.89713,0.89756,0.89562,0.89648,8357
1587675600,0.89646,0.89733,0.89611,0.89681,2510
1587682800,0.8968,0.89737,0.8945,0.8959,9375
1587690000,0.89591,0.89593,0.89402,0.89513,10343
1587697200,0.8951,0.89522,0.89385,0.89458,8123
1587704400,0.89456,0.89517,0.89341,0.89471,11514
1587711600,0.89472,0.89674,0.89419,0.89624,14436
1587718800,0.89625,0.89695,0.89534,0.89576,11425
1587726000,0.89577,0.89635,0.89463,0.89621,14775
1587733200,0.89621,0.89882,0.89565,0.89825,19336
1587740400,0.89824,0.89975,0.89735,0.89889,14246
1587747600,0.89892,0.90039,0.89865,0.90014,12045
1587754800,0.90015,0.90231,0.89977,0.90154,8217
1587934800,0.8992,0.90187,0.89914,0.90163,2718
1587942000,0.90166,0.90444,0.9014,0.90372,8328
1587949200,0.9037,0.90648,0.90359,0.90471,11953
1587956400,0.90471,0.90728,0.90465,0.90697,8140
1587963600,0.90699,0.90964,0.90676,0.90912,12093
1587970800,0.90913,0.90916,0.9055,0.90659,13837
1587978000,0.90651,0.90822,0.90624,0.90784,10697
1587985200,0.90784,0.90905,0.90675,0.90834,13336
1587992400,0.9083,0.90977,0.9069,0.90791,19232
1587999600,0.90791,0.90871,0.90624,0.90729,12824
1588006800,0.90727,0.90803,0.90649,0.90762,10029
1588014000,0.90761,0.9079,0.90654,0.90724,7152
1588021200,0.90699,0.9073,0.90528,0.90582,3473
1588028400,0.90582,0.90635,0.90421,0.90629,9093
1588035600,0.90628,0.90689,0.90503,0.90546,12217
1588042800,0.90548,0.90631,0.90456,0.90603,8280
1588050000,0.90598,0.90809,0.90596,0.90722,10677
1588057200,0.9073,0.91008,0.90695,0.90831,16188
1588064400,0.9083,0.9089,0.90578,0.90702,17647
1588071600,0.90703,0.90881,0.90598,0.90692,15881
1588078800,0.90687,0.90864,0.90489,0.90821,20052
1588086000,0.90819,0.90958,0.90777,0.90911,16285
1588093200,0.90911,0.91082,0.90879,0.90899,10722
1588100400,0.90899,0.90921,0.90826,0.90873,8471
1588107600,0.90781,0.9091,0.90774,0.90899,2793
1588114800,0.90898,0.91051,0.90874,0.91009,7596
1588122000,0.91006,0.91071,0.9088,0.91043,11552
1588129200,0.91044,0.91137,0.91015,0.91071,8229
1588136400,0.91074,0.91218,0.91039,0.9115,12532
1588143600,0.91151,0.91215,0.90945,0.90947,15832
1588150800,0.90945,0.91005,0.90734,0.90848,10728
1588158000,0.90849,0.90993,0.90759,0.9088,14917
1588165200,0.90879,0.91045,0.90837,0.91043,20319
1588172400,0.91041,0.91134,0.90927,0.91013,14089
1588179600,0.91013,0.91081,0.90766,0.90911,14473
1588186800,0.90904,0.91,0.90852,0.90984,11058
1588194000,0.90986,0.91033,0.90891,0.90893,1956
1588201200,0.90893,0.90999,0.90723,0.90793,8013
1588208400,0.90792,0.90877,0.90704,0.90761,9213
1588215600,0.90762,0.91036,0.90734,0.91004,8970
1588222800,0.91007,0.91058,0.90898,0.90933,11893
1588230000,0.90933,0.9104,0.90676,0.9079,16273
1588237200,0.90795,0.90844,0.90663,0.90795,14240
1588244400,0.90794,0.90914,0.90451,0.90517,19404
1588251600,0.90522,0.91009,0.90266,0.90925,29253
1588258800,0.90925,0.9114,0.9067,0.90863,24238
1588266000,0.90861,0.90986,0.90761,0.90797,16027
1588273200,0.90798,0.90845,0.9067,0.90812,11726
1588280400,0.90756,0.90805,0.90529,0.90627,4934
1588287600,0.90631,0.90678,0.90434,0.90534,12083
1588294800,0.90529,0.90631,0.90434,0.90515,12026
1588302000,0.90515,0.90563,0.90397,0.90493,8335
1588309200,0.90494,0.9059,0.9041,0.90476,11109
1588316400,0.90474,0.90544,0.90338,0.905,15436
1588323600,0.90498,0.90561,0.90397,0.90422,11732
1588330800,0.90423,0.90497,0.90159,0.90259,15501
1588338000,0.90256,0.90875,0.90233,0.90777,20425
1588345200,0.90775,0.90792,0.90432,0.90464,17142
1588352400,0.90463,0.90474,0.90208,0.9024,11943
1588359600,0.90239,0.90441,0.90205,0.90427,8797
1588539600,0.90304,0.90372,0.90119,0.90164,6392
1588546800,0.90166,0.90286,0.90079,0.90243,10041
1588554000,0.9024,0.9038,0.90238,0.90329,10942
1588561200,0.90328,0.90385,0.9015,0.90215,10181
1588568400,0.90218,0.90319,0.90144,0.90287,13206
1588575600,0.90287,0.90622,0.90222,0.9044,18390
1588582800,0.9044,0.90491,0.90291,0.90302,14567
1588590000,0.90303,0.90493,0.90147,0.90261,15634
1588597200,0.90263,0.90355,0.90151,0.90302,22363
1588604400,0.90302,0.90443,0.90202,0.90397,14953
1588611600,0.90398,0.90563,0.9033,0.90447,11175
1588618800,0.90443,0.90615,0.90441,0.9053,11062
1588626000,0.9046,0.90552,0.90411,0.90468,2627
1588633200,0.90467,0.90705,0.90459,0.90643,7381
