time,open,high,low,close,Volume
1586206800,1.02606,1.02702,1.02401,1.02638,5293
1586214000,1.02638,1.02877,1.02617,1.02714,13090
1586221200,1.02715,1.02828,1.02564,1.02664,13970
1586228400,1.02663,1.02805,1.02591,1.02735,14292
1586235600,1.02737,1.02892,1.02585,1.0288,16835
1586242800,1.02881,1.03292,1.02829,1.03164,19821
1586250000,1.03162,1.03359,1.03072,1.03318,18374
1586257200,1.03315,1.03363,1.03229,1.03265,13879
1586264400,1.03265,1.03408,1.03144,1.03372,21648
1586271600,1.03372,1.03458,1.03278,1.03452,17020
1586278800,1.0345,1.03512,1.03388,1.03423,12928
1586286000,1.03386,1.03469,1.03182,1.03223,8514
1586293200,1.03198,1.03285,1.03168,1.03219,3833
1586300400,1.03219,1.03341,1.0305,1.03205,15044
1586307600,1.03197,1.03242,1.03051,1.03091,12546
1586314800,1.0309,1.03118,1.02906,1.02922,11342
1586322000,1.02922,1.03113,1.02868,1.03087,17684
1586329200,1.03086,1.03189,1.03059,1.03155,16189
1586336400,1.03154,1.03364,1.031,1.03313,14456
1586343600,1.03313,1.03458,1.03281,1.03344,14582
1586350800,1.03341,1.03498,1.03304,1.03361,17987
1586358000,1.03357,1.03525,1.03347,1.03456,15122
1586365200,1.03457,1.0355,1.03441,1.03526,8834
1586372400,1.03522,1.03734,1.03491,1.03656,7045
1586379600,1.03453,1.03774,1.03453,1.03625,4057
1586386800,1.0363,1.03751,1.03593,1.03715,8028
1586394000,1.03714,1.03715,1.03439,1.03694,11739
1586401200,1.03694,1.03695,1.03501,1.03543,10224
1586408400,1.03544,1.03624,1.03429,1.03608,11649
1586415600,1.03607,1.03632,1.03531,1.03572,12553
1586422800,1.03573,1.03765,1.03544,1.03737,9031
1586430000,1.03738,1.04001,1.03714,1.03943,13765
1586437200,1.03944,1.04027,1.0383,1.03957,22838
1586444400,1.03955,1.04096,1.03916,1.04053,13891
1586451600,1.04041,1.04369,1.04034,1.04289,13704
1586458800,1.04296,1.0439,1.04158,1.0417,8297
1586466000,1.04167,1.04249,1.04046,1.04164,3425
1586473200,1.04167,1.04377,1.04065,1.04212,6248
1586480400,1.04211,1.04315,1.04081,1.04292,5621
1586487600,1.04293,1.043,1.04188,1.04243,3485
1586494800,1.04243,1.04357,1.0421,1.04306,3678
1586502000,1.04306,1.04493,1.0425,1.04404,5858
1586509200,1.04402,1.04492,1.04271,1.04326,4631
1586516400,1.04326,1.04444,1.04237,1.04247,7074
1586523600,1.04247,1.04367,1.04189,1.04314,4799
1586530800,1.04312,1.04436,1.04267,1.04431,3337
1586538000,1.04422,1.04582,1.04378,1.04387,1981
1586545200,1.04387,1.04399,1.04099,1.04305,2632
1586725200,1.04269,1.04373,1.04168,1.0426,3106
1586732400,1.04257,1.04357,1.04217,1.04265,9906
