time,open,high,low,close
1672614000,0.6814,0.68145,0.68067,0.68141
1672617600,0.68154,0.68169,0.68024,0.68045
1672621200,0.68046,0.68074,0.68027,0.68028
1672624800,0.68027,0.68037,0.68026,0.68029
1672628400,0.6803,0.68033,0.68013,0.68028
1672632000,0.68027,0.68031,0.68007,0.68022
1672635600,0.68022,0.68024,0.68007,0.68009
1672639200,0.68009,0.68039,0.6797,0.67978
1672642800,0.67979,0.68036,0.6795,0.67982
1672646400,0.67981,0.68112,0.67978,0.68006
1672650000,0.68005,0.68012,0.67927,0.67948
1672653600,0.67949,0.68025,0.67938,0.67953
1672657200,0.67954,0.68061,0.67938,0.68042
1672660800,0.68042,0.68109,0.6798,0.68065
1672664400,0.6808,0.68082,0.67945,0.68037
1672668000,0.68039,0.68134,0.68038,0.68122
1672671600,0.68121,0.68179,0.68118,0.68179
1672675200,0.68177,0.6819,0.6813,0.68131
1672678800,0.68133,0.68148,0.68123,0.6813
1672682400,0.68131,0.68149,0.68066,0.68067
1672686000,0.68067,0.68126,0.68053,0.6807
1672689600,0.68069,0.68081,0.68047,0.68047
1672693200,0.68047,0.68047,0.67962,0.67973
1672696800,0.6797,0.68024,0.67874,0.67941
1672700400,0.6796,0.681,0.67944,0.68075
1672704000,0.68083,0.68105,0.67916,0.67957
1672707600,0.67956,0.67956,0.67725,0.67814
1672711200,0.67814,0.68144,0.67782,0.68112
1672714800,0.6811,0.68345,0.68101,0.68311
1672718400,0.68315,0.68342,0.68235,0.68269
1672722000,0.68271,0.68288,0.67877,0.67957
1672725600,0.67955,0.68027,0.67953,0.68006
1672729200,0.68006,0.68091,0.67832,0.67867
1672732800,0.67869,0.67877,0.67099,0.67124
1672736400,0.67125,0.6727,0.66939,0.67215
1672740000,0.67216,0.67217,0.67025,0.67036
1672743600,0.67037,0.67048,0.66878,0.6698
1672747200,0.66979,0.67093,0.6692,0.67056
1672750800,0.67058,0.674,0.66994,0.67376
1672754400,0.67375,0.67672,0.67281,0.67491
1672758000,0.67492,0.67533,0.67293,0.67432
1672761600,0.67434,0.67445,0.67217,0.67293
1672765200,0.67293,0.67365,0.67243,0.67279
1672768800,0.67276,0.67354,0.67199,0.67332
1672772400,0.67334,0.67421,0.67292,0.67359
1672776000,0.67361,0.67392,0.67256,0.67285
1672779600,0.67286,0.67301,0.67247,0.67265
1672783200,0.67215,0.67296,0.67215,0.67274
1672786800,0.67277,0.67278,0.67168,0.67252
1672790400,0.67252,0.67447,0.67233,0.67431
1672794000,0.67432,0.67677,0.67415,0.67642
1672797600,0.67643,0.67763,0.67636,0.67669
1672801200,0.6767,0.67829,0.67668,0.67824
1672804800,0.67825,0.68172,0.67721,0.68047
1672808400,0.68047,0.68167,0.67871,0.68012
1672812000,0.68011,0.68043,0.67905,0.68037
1672815600,0.6803,0.68491,0.6803,0.68417
1672819200,0.68418,0.68789,0.68374,0.68708
1672822800,0.68706,0.68846,0.68667,0.68708
1672826400,0.68709,0.68799,0.68659,0.68793
1672830000,0.68791,0.68858,0.68663,0.68717
1672833600,0.68718,0.68734,0.68532,0.68565
1672837200,0.68568,0.68777,0.68531,0.68747
1672840800,0.68747,0.68864,0.68671,0.68759
1672844400,0.68765,0.68811,0.68344,0.68535
1672848000,0.68533,0.68603,0.68386,0.68583
1672851600,0.68584,0.68637,0.68451,0.68451
1672855200,0.68451,0.68562,0.68329,0.68344
1672858800,0.68343,0.68479,0.68191,0.68394
1672862400,0.68393,0.68413,0.68322,0.68374
1672866000,0.68374,0.68422,0.68359,0.68376
1672869600,0.68288,0.68376,0.68277,0.68342
1672873200,0.68342,0.68364,0.68285,0.68285
1672876800,0.68285,0.68396,0.68213,0.68307
1672880400,0.68308,0.6845,0.68304,0.68385
1672884000,0.68386,0.68388,0.68094,0.68157
1672887600,0.68159,0.68209,0.68009,0.68021
1672891200,0.68023,0.68183,0.68007,0.68142
1672894800,0.68141,0.68227,0.68083,0.6822
1672898400,0.68219,0.68341,0.68159,0.6816
1672902000,0.68159,0.68259,0.68006,0.68091
1672905600,0.68092,0.68204,0.68001,0.68203
1672909200,0.68203,0.68288,0.68144,0.68251
1672912800,0.68253,0.68316,0.68196,0.68276
1672916400,0.6828,0.684,0.68277,0.68338
1672920000,0.68339,0.68419,0.68267,0.68291
1672923600,0.68292,0.68371,0.67727,0.67773
1672927200,0.67774,0.6781,0.67611,0.67645
1672930800,0.67648,0.67746,0.6735,0.67387
1672934400,0.67388,0.67551,0.67379,0.67426
1672938000,0.67427,0.67511,0.674,0.67452
1672941600,0.67452,0.67726,0.67424,0.6765
1672945200,0.67652,0.6768,0.67571,0.67575
1672948800,0.67576,0.67581,0.67508,0.67516
1672952400,0.67518,0.67526,0.67476,0.67515
1672956000,0.675,0.67606,0.67495,0.6751
1672959600,0.6751,0.6763,0.67485,0.67527
1672963200,0.67527,0.67716,0.67513,0.67712
1672966800,0.67713,0.67738,0.67546,0.67599
1672970400,0.67599,0.67681,0.67597,0.6762
1672974000,0.67622,0.6788,0.67607,0.67731
1672977600,0.67732,0.67781,0.67675,0.67678
1672981200,0.67679,0.67686,0.6749,0.67555
1672984800,0.67555,0.67685,0.67544,0.67601
1672988400,0.67603,0.67697,0.67398,0.67493
1672992000,0.67495,0.67593,0.67454,0.67517
1672995600,0.67516,0.67516,0.67318,0.67414
1672999200,0.67417,0.67461,0.67362,0.67395
1673002800,0.67396,0.67464,0.67239,0.6729
1673006400,0.6729,0.6733,0.6724,0.67291
1673010000,0.67293,0.6791,0.6722,0.67885
1673013600,0.67884,0.67896,0.6746,0.67487
1673017200,0.67488,0.68454,0.67488,0.68405
1673020800,0.68406,0.68696,0.68333,0.68631
1673024400,0.68632,0.68698,0.68566,0.68687
1673028000,0.68687,0.68788,0.6861,0.68748
1673031600,0.68749,0.68837,0.6874,0.68808
1673035200,0.68805,0.68868,0.68757,0.68838
1673038800,0.68835,0.68838,0.68739,0.68755
1673215200,0.68789,0.6879,0.6875,0.68752
1673218800,0.6875,0.68969,0.6875,0.68958
1673222400,0.68958,0.68998,0.68844,0.68996
1673226000,0.68993,0.69096,0.6887,0.69029
1673229600,0.69028,0.69262,0.68998,0.69255
1673233200,0.69255,0.69257,0.69115,0.69141
1673236800,0.69142,0.6931,0.69133,0.69276
1673240400,0.69276,0.69375,0.69224,0.69344
1673244000,0.69343,0.69398,0.69295,0.69339
1673247600,0.69349,0.69465,0.69109,0.69158
1673251200,0.69159,0.69414,0.69138,0.69263
1673254800,0.69264,0.69339,0.69216,0.69257
1673258400,0.69259,0.69285,0.69058,0.69086
1673262000,0.69089,0.69194,0.69074,0.69136
1673265600,0.69132,0.69265,0.69057,0.69209
1673269200,0.69209,0.69451,0.69191,0.69328
1673272800,0.69329,0.69395,0.69171,0.69368
1673276400,0.69368,0.69499,0.6932,0.69421
1673280000,0.69422,0.69491,0.69398,0.69473
1673283600,0.69472,0.69473,0.69273,0.69368
1673287200,0.69368,0.69393,0.69199,0.69256
1673290800,0.69255,0.69359,0.69238,0.69347
1673294400,0.69346,0.69346,0.69113,0.69123
1673298000,0.69121,0.69134,0.69084,0.69124
1673301600,0.69135,0.69135,0.69078,0.69084
1673305200,0.69086,0.69138,0.69066,0.69095
1673308800,0.69096,0.69163,0.69007,0.6911
1673312400,0.6911,0.69279,0.69082,0.69246
1673316000,0.69248,0.69267,0.68917,0.69034
1673319600,0.69036,0.69062,0.68946,0.69028
1673323200,0.69031,0.69072,0.68961,0.69039
1673326800,0.69038,0.69192,0.69029,0.69119
1673330400,0.6912,0.69157,0.69001,0.6908
1673334000,0.69079,0.69096,0.68854,0.68965
1673337600,0.6897,0.69109,0.6895,0.69056
1673341200,0.69057,0.69064,0.68914,0.68995
1673344800,0.68994,0.69028,0.68923,0.68935
1673348400,0.6894,0.68945,0.68821,0.68842
1673352000,0.68842,0.6885,0.686,0.68643
1673355600,0.68644,0.68748,0.68597,0.68737
1673359200,0.68738,0.69091,0.68736,0.6892
1673362800,0.68921,0.69012,0.68686,0.68812
1673366400,0.68811,0.68908,0.68753,0.68829
1673370000,0.68829,0.68925,0.68785,0.68846
1673373600,0.68845,0.68914,0.68792,0.68907
1673377200,0.68908,0.68947,0.68875,0.68943
1673380800,0.68945,0.68957,0.68887,0.68932
1673384400,0.68938,0.68947,0.6891,0.68924
1673388000,0.68885,0.68975,0.68835,0.6897
1673391600,0.6897,0.68977,0.68922,0.68929
1673395200,0.68928,0.69141,0.6892,0.68984
1673398800,0.68983,0.68992,0.68855,0.68902
1673402400,0.68902,0.69049,0.68873,0.68887
1673406000,0.68888,0.69048,0.68887,0.69016
1673409600,0.69018,0.69125,0.69013,0.6911
1673413200,0.69111,0.69255,0.691,0.69166
1673416800,0.69165,0.69213,0.69114,0.69115
1673420400,0.69112,0.69154,0.69018,0.69056
1673424000,0.69056,0.69074,0.68946,0.68971
1673427600,0.6897,0.69202,0.68949,0.69118
1673431200,0.69118,0.69157,0.68989,0.69042
1673434800,0.69042,0.69062,0.68922,0.6893
1673438400,0.6893,0.68943,0.6873,0.68861
1673442000,0.68864,0.69004,0.68849,0.68977
1673445600,0.68977,0.69096,0.6889,0.68978
1673449200,0.68979,0.6903,0.68904,0.69002
1673452800,0.69003,0.69066,0.68962,0.68979
1673456400,0.68979,0.69033,0.68927,0.68937
1673460000,0.68938,0.69099,0.68846,0.69071
1673463600,0.69072,0.69125,0.69025,0.69115
1673467200,0.69118,0.69124,0.69062,0.69066
1673470800,0.69064,0.69102,0.69047,0.69056
1673474400,0.69057,0.69074,0.68953,0.69027
1673478000,0.6904,0.69148,0.69026,0.6909
1673481600,0.6909,0.69207,0.69069,0.69126
1673485200,0.69127,0.69192,0.69095,0.69165
1673488800,0.69166,0.69201,0.69131,0.69161
1673492400,0.6916,0.69174,0.69099,0.69126
1673496000,0.69127,0.69244,0.69109,0.69227
1673499600,0.69225,0.69242,0.69153,0.6917
1673503200,0.6917,0.69199,0.69004,0.69026
1673506800,0.69019,0.69019,0.68897,0.69005
1673510400,0.69007,0.69024,0.68873,0.6895
1673514000,0.68951,0.69153,0.68919,0.69126
1673517600,0.69127,0.69129,0.69004,0.69049
1673521200,0.69049,0.69083,0.68997,0.6902
1673524800,0.69021,0.69083,0.68975,0.69083
1673528400,0.69084,0.6984,0.68723,0.6981
1673532000,0.69813,0.69822,0.68865,0.69045
1673535600,0.69048,0.69515,0.69005,0.69329
1673539200,0.6933,0.69484,0.6926,0.6945
1673542800,0.6945,0.69761,0.6943,0.69752
1673546400,0.69752,0.69847,0.69611,0.69788
1673550000,0.69789,0.6981,0.69667,0.69716
1673553600,0.69714,0.69716,0.69629,0.69683
1673557200,0.69684,0.69706,0.69663,0.69668
1673560800,0.69628,0.69687,0.69603,0.69628
1673564400,0.69627,0.69704,0.69604,0.69673
1673568000,0.69674,0.69827,0.69624,0.69656
1673571600,0.69657,0.69697,0.69585,0.69681
1673575200,0.69682,0.69687,0.69453,0.69565
1673578800,0.69565,0.69577,0.69501,0.69538
1673582400,0.69538,0.6955,0.69448,0.69547
1673586000,0.69547,0.69599,0.69444,0.69525
1673589600,0.69526,0.69772,0.69518,0.69754
1673593200,0.69755,0.69774,0.69605,0.69711
1673596800,0.69712,0.69942,0.69628,0.69845
1673600400,0.69845,0.6994,0.69661,0.69753
1673604000,0.69753,0.69844,0.69749,0.69784
1673607600,0.69784,0.69785,0.6945,0.69488
1673611200,0.69486,0.69566,0.69356,0.69382
1673614800,0.69383,0.69419,0.69192,0.69248
1673618400,0.69251,0.69497,0.69154,0.69434
1673622000,0.69435,0.69644,0.69362,0.69598
1673625600,0.69597,0.69614,0.6941,0.69492
1673629200,0.69491,0.69679,0.69463,0.69662
1673632800,0.69662,0.69757,0.69585,0.69749
1673636400,0.69751,0.69778,0.69712,0.69774
1673640000,0.69778,0.69816,0.69749,0.69779
1673643600,0.69781,0.69783,0.69735,0.6975
1673820000,0.6975,0.69753,0.69626,0.69715
1673823600,0.6971,0.69778,0.69678,0.69721
1673827200,0.69722,0.69914,0.69701,0.69866
1673830800,0.69865,0.7017,0.69849,0.70148
1673834400,0.7015,0.70191,0.70071,0.70153
1673838000,0.70153,0.70171,0.70051,0.70094
1673841600,0.70093,0.70116,0.69789,0.69873
1673845200,0.69877,0.6997,0.69859,0.69939
1673848800,0.6994,0.69942,0.69696,0.69798
