time,open,high,low,close
1589864400,1.09096,1.09428,1.09076,1.094
1589871600,1.09401,1.09534,1.09216,1.09514
1589878800,1.09512,1.09761,1.09438,1.09684
1589886000,1.09683,1.09688,1.09422,1.09506
1589893200,1.09505,1.09507,1.09262,1.0948
1589900400,1.09479,1.09488,1.09242,1.09295
1589907600,1.09295,1.09542,1.09265,1.09464
1589914800,1.09463,1.09477,1.09185,1.09229
1589922000,1.09229,1.09269,1.09187,1.09243
1589929200,1.09244,1.09395,1.09229,1.09382
1589936400,1.09383,1.09451,1.09358,1.09371
1589943600,1.09371,1.09469,1.09371,1.09411
1589950800,1.09411,1.09491,1.09381,1.09422
1589958000,1.09421,1.09601,1.0938,1.09422
1589965200,1.09421,1.09562,1.09381,1.09536
1589972400,1.09538,1.09667,1.09493,1.09651
1589979600,1.09652,1.0999,1.09623,1.09913
1589986800,1.09916,1.09958,1.09713,1.09757
1589994000,1.09758,1.09922,1.09733,1.09858
1590001200,1.09857,1.09876,1.09749,1.09786
1590008400,1.09793,1.09817,1.09758,1.09791
1590015600,1.09791,1.09809,1.09681,1.09684
1590022800,1.09682,1.09688,1.09567,1.09631
1590030000,1.0963,1.09641,1.09586,1.09607
1590037200,1.09606,1.09673,1.09523,1.09669
1590044400,1.09672,1.09789,1.09567,1.09722
1590051600,1.09723,1.09924,1.09603,1.09851
1590058800,1.09852,1.10083,1.09824,1.09955
1590066000,1.09954,1.09955,1.09374,1.09391
1590073200,1.0939,1.09589,1.09388,1.0955
1590080400,1.09552,1.09686,1.09505,1.09556
1590087600,1.09554,1.09617,1.09418,1.09492
1590094800,1.09492,1.09528,1.09468,1.09506
1590102000,1.09509,1.09537,1.09467,1.09477
1590109200,1.09477,1.09515,1.09364,1.09414
1590116400,1.09412,1.09431,1.09273,1.09295
1590123600,1.09294,1.09322,1.09192,1.09267
1590130800,1.09266,1.09285,1.08963,1.08994
1590138000,1.08992,1.09073,1.08872,1.09032
1590145200,1.09032,1.09133,1.08975,1.08983
1590152400,1.08982,1.09045,1.08853,1.08907
1590159600,1.08905,1.08995,1.08875,1.0888
1590166800,1.08881,1.09006,1.08879,1.08975
1590174000,1.08974,1.09056,1.08961,1.09023
1590354000,1.08954,1.09055,1.08949,1.0904
1590361200,1.09041,1.09086,1.09011,1.09017
1590368400,1.09018,1.09024,1.08873,1.08876
1590375600,1.08877,1.08923,1.08877,1.08906
1590382800,1.08907,1.08932,1.08743,1.08788
1590390000,1.08786,1.08911,1.08707,1.08891
1590397200,1.08892,1.09043,1.08885,1.09003
1590404400,1.09003,1.09145,1.0894,1.09043
1590411600,1.09039,1.09102,1.089,1.08926
1590418800,1.08925,1.08993,1.08917,1.08933
1590426000,1.08935,1.08986,1.08924,1.08982
1590433200,1.08981,1.08994,1.08938,1.08968
1590440400,1.08953,1.08969,1.08925,1.08948
1590447600,1.08949,1.09104,1.08947,1.09097
1590454800,1.09097,1.09143,1.09078,1.09119
1590462000,1.0912,1.09219,1.09107,1.09193
1590469200,1.09194,1.09296,1.09161,1.09185
1590476400,1.09185,1.09598,1.09147,1.09573
1590483600,1.09576,1.09732,1.09518,1.09538
1590490800,1.09536,1.09801,1.09522,1.09707
1590498000,1.09708,1.09898,1.09641,1.09868
1590505200,1.09867,1.09917,1.09679,1.09765
1590512400,1.09767,1.09947,1.09706,1.09938
1590519600,1.09942,1.09958,1.09786,1.09823
1590526800,1.09805,1.0983,1.09745,1.09819
1590534000,1.09819,1.09851,1.09689,1.09702
1590541200,1.09702,1.0975,1.09552,1.09597
1590548400,1.09598,1.0964,1.09539,1.09553
1590555600,1.0955,1.09656,1.09512,1.09573
1590562800,1.09573,1.09792,1.09523,1.09568
1590570000,1.09567,1.1031,1.0934,1.10163
1590577200,1.10164,1.10299,1.09783,1.09982
1590584400,1.09981,1.10165,1.09715,1.09733
1590591600,1.09731,1.09849,1.09554,1.09749
1590598800,1.09749,1.09933,1.09687,1.09901
1590606000,1.099,1.10095,1.09877,1.10092
1590613200,1.10008,1.10134,1.0999,1.10132
1590620400,1.1013,1.10268,1.10097,1.10232
1590627600,1.10235,1.10351,1.10147,1.10181
1590634800,1.10181,1.10212,1.10059,1.10081
1590642000,1.10081,1.10305,1.10057,1.10201
1590649200,1.102,1.10218,1.09917,1.09992
1590656400,1.0999,1.10152,1.09923,1.10072
1590663600,1.10072,1.10295,1.10002,1.10216
1590670800,1.10217,1.10597,1.10216,1.10551
1590678000,1.10552,1.10827,1.10503,1.10822
1590685200,1.1082,1.10899,1.1076,1.10887
1590692400,1.10887,1.10935,1.1067,1.10771
1590699600,1.1071,1.10813,1.10678,1.10741
1590706800,1.10738,1.10811,1.107,1.10766
1590714000,1.10767,1.1089,1.10742,1.10881
1590721200,1.10882,1.11003,1.1084,1.10994
1590728400,1.10995,1.11109,1.10896,1.10995
1590735600,1.10994,1.11199,1.10896,1.11171
1590742800,1.11171,1.11407,1.11128,1.11305
1590750000,1.11305,1.1145,1.11294,1.11298
1590757200,1.11297,1.11329,1.11014,1.11257
1590764400,1.11255,1.11285,1.10895,1.10979
1590771600,1.10978,1.11007,1.10811,1.10995
1590778800,1.10998,1.1108,1.1086,1.11076
1590958800,1.11164,1.11192,1.11026,1.11119
1590966000,1.1112,1.11261,1.11116,1.11217
1590973200,1.11216,1.11403,1.11164,1.11375
1590980400,1.11373,1.11382,1.11327,1.11335
1590987600,1.11334,1.11505,1.11306,1.11371
1590994800,1.11372,1.11538,1.11162,1.11397
1591002000,1.11398,1.11413,1.11005,1.1106
1591009200,1.11059,1.11208,1.1101,1.11101
1591016400,1.111,1.11384,1.11035,1.11371
1591023600,1.11372,1.11403,1.11132,1.11298
1591030800,1.11297,1.11329,1.11226,1.11325
1591038000,1.11324,1.11365,1.11291,1.11338
1591045200,1.11347,1.11364,1.11301,1.11323
1591052400,1.11321,1.11384,1.11242,1.11318
1591059600,1.1132,1.1133,1.11191,1.11239
1591066800,1.11239,1.11277,1.11232,1.11258
1591074000,1.11259,1.11379,1.11152,1.11186
1591081200,1.11185,1.11714,1.11165,1.11703
1591088400,1.11702,1.11877,1.11643,1.11685
1591095600,1.11686,1.11795,1.11551,1.11652
1591102800,1.11649,1.11959,1.11635,1.11835
1591110000,1.11837,1.1188,1.11636,1.11739
1591117200,1.1174,1.11813,1.11641,1.11723
1591124400,1.11722,1.11732,1.11611,1.11689
1591131600,1.11695,1.11745,1.11668,1.11732
1591138800,1.11732,1.12011,1.11691,1.11929
1591146000,1.1193,1.12007,1.11828,1.11954
1591153200,1.11953,1.12112,1.11938,1.12033
1591160400,1.12032,1.12138,1.11997,1.12092
1591167600,1.12091,1.12276,1.11911,1.12106
1591174800,1.12104,1.12269,1.11999,1.12
