time,open,high,low,close
1603702800,1.30163,1.30743,1.301,1.30237
1603717200,1.30237,1.30363,1.29947,1.30228
1603731600,1.30227,1.30311,1.30148,1.30234
1603746000,1.30207,1.30257,1.30061,1.30254
1603760400,1.30256,1.30394,1.30229,1.30337
1603774800,1.30338,1.30445,1.30011,1.30166
1603789200,1.30165,1.30581,1.30098,1.30298
1603803600,1.30297,1.30794,1.30276,1.30719
1603818000,1.30722,1.30765,1.30468,1.30471
1603832400,1.30422,1.30442,1.30205,1.30327
1603846800,1.30327,1.30427,1.30258,1.30411
1603861200,1.30409,1.30637,1.29877,1.30004
1603875600,1.30006,1.30035,1.29163,1.29411
1603890000,1.29408,1.30133,1.29301,1.29808
1603904400,1.29806,1.30002,1.2977,1.29827
1603918800,1.29816,1.29974,1.2979,1.29897
1603933200,1.299,1.30079,1.29881,1.30017
1603947600,1.3002,1.30252,1.29817,1.29922
1603962000,1.29922,1.30252,1.29299,1.29353
1603976400,1.29351,1.2949,1.28808,1.29152
1603990800,1.29151,1.29362,1.29017,1.29282
1604005200,1.29214,1.29364,1.29091,1.29262
1604019600,1.29272,1.29393,1.29168,1.2917
1604034000,1.29171,1.2939,1.28989,1.29279
1604048400,1.29271,1.29878,1.29267,1.29727
1604062800,1.29728,1.29877,1.29238,1.29532
1604077200,1.29531,1.2965,1.29378,1.29501
1604268000,1.29219,1.29389,1.29158,1.29279
1604282400,1.29278,1.29392,1.28993,1.29033
1604296800,1.29034,1.29154,1.28543,1.29095
1604311200,1.29104,1.29426,1.28991,1.2935
1604325600,1.29347,1.29355,1.28902,1.29051
1604340000,1.29051,1.29197,1.28903,1.29186
1604354400,1.29133,1.29286,1.29074,1.29275
1604368800,1.29274,1.29365,1.29153,1.29237
1604383200,1.29238,1.29964,1.2923,1.29914
1604397600,1.29915,1.30115,1.29719,1.30035
1604412000,1.30035,1.30785,1.30017,1.30411
1604426400,1.30409,1.30681,1.30111,1.30634
1604440800,1.30544,1.31397,1.2999,1.30278
1604455200,1.30279,1.30412,1.29339,1.2989
1604469600,1.29878,1.30019,1.29142,1.29719
1604484000,1.29726,1.30504,1.29665,1.29773
1604498400,1.29772,1.30227,1.29503,1.29968
1604512800,1.29969,1.30066,1.29694,1.29853
1604527200,1.29873,1.29925,1.29303,1.29553
1604541600,1.29552,1.29742,1.29455,1.29666
1604556000,1.29667,1.30508,1.29388,1.30476
1604570400,1.30482,1.31092,1.30315,1.30874
1604584800,1.30868,1.31351,1.3066,1.31002
1604599200,1.31007,1.31549,1.30897,1.31509
1604613600,1.31465,1.31565,1.3112,1.31287
1604628000,1.31286,1.31435,1.31186,1.31227
1604642400,1.31226,1.31537,1.31008,1.31412
1604656800,1.31403,1.31564,1.31079,1.31473
1604671200,1.31478,1.3177,1.30926,1.31542
1604685600,1.31538,1.31683,1.31375,1.31487
1604872800,1.3157,1.3193,1.31466,1.31816
1604887200,1.31815,1.31916,1.31748,1.31792
1604901600,1.31793,1.31989,1.31237,1.31279
1604916000,1.31279,1.31899,1.31199,1.31813
1604930400,1.31811,1.32078,1.31185,1.31413
1604944800,1.31413,1.31773,1.31201,1.31634
1604959200,1.31636,1.31861,1.31566,1.31825
1604973600,1.31826,1.31986,1.3176,1.31847
1604988000,1.31847,1.32541,1.31671,1.32489
1605002400,1.32485,1.32722,1.32223,1.32389
1605016800,1.32384,1.32781,1.32147,1.32367
1605031200,1.32367,1.32777,1.32367,1.32736
1605045600,1.32682,1.32746,1.32532,1.32658
1605060000,1.32655,1.32797,1.32588,1.32608
1605074400,1.32615,1.33137,1.32398,1.32617
1605088800,1.32613,1.32814,1.32156,1.32451
1605103200,1.32454,1.3253,1.31914,1.32015
1605117600,1.32016,1.32242,1.32005,1.32239
1605132000,1.32145,1.32282,1.32095,1.32196
1605146400,1.32196,1.32222,1.32039,1.32067
1605160800,1.32065,1.3208,1.31609,1.31817
1605175200,1.31819,1.32001,1.31322,1.31772
1605189600,1.31775,1.3183,1.31145,1.31152
1605204000,1.31154,1.31244,1.31062,1.31223
1605218400,1.3121,1.31262,1.31099,1.31181
1605232800,1.31181,1.31295,1.3109,1.31258
1605247200,1.31263,1.31749,1.31219,1.31722
