time,open,high,low,close,Volume
1584392400,0.60441,0.60599,0.60317,0.6051,5757
1584399600,0.6051,0.60573,0.60351,0.60526,11952
1584406800,0.60525,0.6096,0.60405,0.60567,12762
1584414000,0.60567,0.60676,0.60457,0.60505,6110
1584421200,0.60505,0.60572,0.60184,0.60297,7381
1584428400,0.60295,0.60512,0.6016,0.60183,13951
1584435600,0.60183,0.60262,0.59459,0.59512,14698
1584442800,0.59511,0.59661,0.59324,0.59631,15352
1584450000,0.59632,0.60041,0.59532,0.59652,18118
1584457200,0.59652,0.59782,0.59155,0.59219,20257
1584464400,0.59216,0.59648,0.59188,0.59431,12177
1584471600,0.5943,0.59465,0.59196,0.59404,6894
1584478800,0.59376,0.59654,0.59356,0.59426,6683
1584486000,0.59426,0.59594,0.59393,0.5946,12319
1584493200,0.59459,0.59675,0.59365,0.59598,11373
1584500400,0.59591,0.59673,0.59538,0.59576,7459
1584507600,0.59577,0.59661,0.59369,0.59406,9823
1584514800,0.59405,0.5949,0.58516,0.58596,18271
1584522000,0.58596,0.58862,0.58394,0.58613,17705
1584529200,0.58612,0.58813,0.58423,0.58424,14510
1584536400,0.58424,0.58662,0.58026,0.58026,22082
1584543600,0.58026,0.58183,0.57442,0.57499,26040
1584550800,0.575,0.57704,0.56947,0.57528,21627
1584558000,0.57531,0.57613,0.57346,0.57409,10510
1584565200,0.57358,0.57483,0.57151,0.57321,4940
1584572400,0.57335,0.57464,0.5631,0.56313,19988
1584579600,0.56313,0.56449,0.54731,0.54976,18820
1584586800,0.54975,0.5585,0.54692,0.55453,10065
1584594000,0.55454,0.5722,0.55384,0.56937,10847
1584601200,0.56931,0.56968,0.55815,0.56488,25982
1584608400,0.56485,0.56747,0.56262,0.56681,20282
1584615600,0.56682,0.56965,0.56473,0.5683,26563
1584622800,0.56831,0.58262,0.5681,0.58152,28477
1584630000,0.58151,0.59157,0.58101,0.58178,23445
1584637200,0.58181,0.58201,0.57274,0.57303,16998
1584644400,0.57305,0.57357,0.56621,0.56647,7470
1584651600,0.56684,0.56822,0.56068,0.56136,6945
1584658800,0.56137,0.57393,0.56119,0.5721,17740
1584666000,0.57211,0.58059,0.57151,0.57574,12428
1584673200,0.57576,0.57623,0.57165,0.5752,8355
