time,open,high,low,close,Volume
1585731600,1.4194,1.42717,1.41825,1.42484,31834
1585746000,1.42484,1.42484,1.41326,1.42176,42077
1585760400,1.4218,1.42491,1.41599,1.41916,33491
1585774800,1.41915,1.41928,1.4147,1.41814,8967
1585789200,1.41819,1.41959,1.41653,1.41668,11148
1585803600,1.41666,1.41727,1.40786,1.41245,25225
1585818000,1.41247,1.42381,1.40946,1.42359,31687
1585832400,1.4235,1.42983,1.40813,1.41407,58522
1585846800,1.41399,1.42272,1.41326,1.41442,28276
1585861200,1.41378,1.41692,1.41158,1.41643,10501
1585875600,1.41644,1.41724,1.41473,1.41666,10343
1585890000,1.41666,1.41973,1.41326,1.41553,27714
1585904400,1.41552,1.42242,1.41228,1.41366,40583
1585918800,1.41368,1.41638,1.40943,1.41425,39108
1585933200,1.41417,1.42062,1.41255,1.42029,27786
1586120400,1.42205,1.42614,1.41852,1.42097,15865
1586134800,1.42098,1.42124,1.41719,1.41827,17959
1586149200,1.41826,1.41837,1.40823,1.41261,34433
1586163600,1.41257,1.41632,1.40893,1.41384,30612
1586178000,1.41386,1.41745,1.41059,1.41094,36922
1586192400,1.4109,1.41242,1.40951,1.41108,21137
1586206800,1.41109,1.41434,1.40965,1.41126,12401
1586221200,1.41123,1.41175,1.4054,1.4059,15685
1586235600,1.4059,1.40701,1.40125,1.40375,31785
1586250000,1.40376,1.40376,1.39636,1.39727,36563
1586264400,1.39728,1.40284,1.39451,1.39569,43062
1586278800,1.39565,1.40027,1.3951,1.39901,29689
1586293200,1.3993,1.4041,1.39804,1.40382,12965
1586307600,1.40387,1.40484,1.40159,1.4039,14587
1586322000,1.40391,1.40814,1.40275,1.40351,31926
1586336400,1.40346,1.40537,1.39908,1.40301,30050
1586350800,1.40306,1.4072,1.3995,1.40235,34576
1586365200,1.40234,1.40759,1.40067,1.40076,22228
1586379600,1.40138,1.40241,1.40003,1.40065,8914
1586394000,1.40064,1.40361,1.40034,1.40332,13609
1586408400,1.40332,1.40548,1.40091,1.40456,20856
1586422800,1.40457,1.40771,1.40033,1.40115,31719
1586437200,1.4011,1.40278,1.39313,1.39685,51641
1586451600,1.39683,1.40373,1.39345,1.39736,37202
1586466000,1.39721,1.40086,1.39674,1.40063,2581
1586480400,1.40062,1.40078,1.39516,1.39529,5065
1586494800,1.39527,1.39589,1.39449,1.39489,4112
1586509200,1.3949,1.39745,1.39479,1.39719,6085
1586523600,1.39717,1.39815,1.39591,1.39661,8665
1586538000,1.3966,1.39701,1.39521,1.39527,3787
1586725200,1.39236,1.40006,1.39236,1.39553,10301
1586739600,1.39554,1.39584,1.39409,1.39464,9684
1586754000,1.39462,1.39737,1.39232,1.39653,15563
1586768400,1.39654,1.3985,1.39531,1.39739,20895
1586782800,1.39739,1.39872,1.39197,1.39317,32309
1586797200,1.3932,1.39372,1.38554,1.39031,21483
1586811600,1.38913,1.3907,1.38679,1.38912,9225
1586826000,1.38913,1.39005,1.38641,1.38719,14018
1586840400,1.38719,1.39087,1.38628,1.38988,18842
1586854800,1.38988,1.3925,1.38946,1.3907,22802
1586869200,1.3907,1.39214,1.38672,1.39064,31633
1586883600,1.39066,1.39193,1.38765,1.38803,17565
1586898000,1.38861,1.38985,1.38764,1.38955,6948
1586912400,1.38956,1.39121,1.38935,1.39052,7801
1586926800,1.39054,1.40174,1.39031,1.40051,21865
1586941200,1.40043,1.41115,1.40009,1.41097,28969
1586955600,1.41097,1.41323,1.40516,1.40934,43691
1586970000,1.40939,1.41137,1.40523,1.41103,24121
1586984400,1.41074,1.41325,1.41022,1.41276,10525
1586998800,1.41286,1.41369,1.41083,1.41186,14922
1587013200,1.41185,1.41281,1.40882,1.40961,23831
1587027600,1.4096,1.41241,1.40662,1.4068,27066
1587042000,1.40684,1.41823,1.40629,1.41614,39130
1587056400,1.41613,1.41649,1.40916,1.40921,24565
1587070800,1.40856,1.40884,1.40151,1.40402,13744
1587085200,1.40401,1.40412,1.40052,1.40228,12902
1587099600,1.40227,1.41084,1.40182,1.40939,27012
1587114000,1.40937,1.41178,1.405,1.40592,31636
1587128400,1.40591,1.40698,1.40223,1.40365,36947
1587142800,1.40373,1.40475,1.4005,1.40088,19795
1587330000,1.40144,1.40539,1.40144,1.40526,8959
1587344400,1.40525,1.40783,1.40519,1.40672,12217
1587358800,1.40674,1.41031,1.40499,1.40624,19858
1587373200,1.40622,1.41325,1.40503,1.41032,23679
1587387600,1.41029,1.41208,1.40318,1.4095,38018
1587402000,1.40943,1.41505,1.40669,1.41492,30345
1587416400,1.41371,1.41536,1.41178,1.41277,11499
1587430800,1.41271,1.41777,1.41136,1.41627,19480
1587445200,1.41626,1.4218,1.41425,1.42103,28093
1587459600,1.42099,1.4265,1.41998,1.42302,48680
1587474000,1.42301,1.4243,1.41676,1.421,56644
1587488400,1.42099,1.42261,1.41611,1.42099,41556
1587502800,1.42105,1.42105,1.41838,1.41948,10544
1587517200,1.41943,1.4234,1.41699,1.42332,18720
1587531600,1.42338,1.42377,1.4139,1.41496,32832
1587546000,1.41491,1.41626,1.41212,1.41279,27060
1587560400,1.41282,1.41749,1.41152,1.41607,39343
1587574800,1.41602,1.41958,1.41519,1.41599,23466
1587589200,1.41616,1.4198,1.41595,1.41943,8285
1587603600,1.41942,1.41944,1.41519,1.4153,13986
1587618000,1.4153,1.41795,1.4115,1.41527,30750
1587632400,1.41528,1.41614,1.40803,1.40953,29245
1587646800,1.40961,1.41082,1.40002,1.40529,42238
1587661200,1.40525,1.40809,1.40444,1.40747,27897
1587675600,1.40743,1.40887,1.40536,1.40839,9566
1587690000,1.40841,1.40888,1.40608,1.4076,14729
1587704400,1.40759,1.4115,1.40749,1.40977,27730
1587718800,1.40974,1.40993,1.40238,1.40569,27334
1587733200,1.4057,1.41147,1.4053,1.41034,38423
1587747600,1.41036,1.41196,1.40809,1.4095,24258
1587934800,1.40963,1.41169,1.40903,1.40964,9811
1587949200,1.40964,1.40987,1.40562,1.4062,18893
1587963600,1.40624,1.40707,1.40395,1.40415,29400
1587978000,1.40414,1.40733,1.40412,1.40631,25872
1587992400,1.40624,1.40833,1.40313,1.40601,33272
1588006800,1.40599,1.40603,1.40292,1.40368,19175
1588021200,1.40321,1.40416,1.40149,1.40287,9362
1588035600,1.40287,1.4069,1.40285,1.40626,15967
1588050000,1.40627,1.40726,1.40071,1.40121,23537
1588064400,1.4012,1.40151,1.39393,1.39532,28344
1588078800,1.39532,1.40057,1.39359,1.39942,35970
1588093200,1.39943,1.40003,1.3973,1.39995,19084
1588107600,1.39942,1.40032,1.39595,1.39605,7274
1588122000,1.39605,1.39626,1.3941,1.39464,12587
1588136400,1.39462,1.39584,1.39307,1.39352,24213
1588150800,1.3935,1.39622,1.39275,1.39275,20961
1588165200,1.39277,1.3944,1.39118,1.39268,32223
1588179600,1.3927,1.39274,1.38756,1.38761,24122
1588194000,1.38787,1.38981,1.38746,1.38883,6779
1588208400,1.38885,1.38949,1.38652,1.38653,13241
1588222800,1.38654,1.38952,1.38588,1.3874,23635
1588237200,1.38741,1.38893,1.38501,1.38828,29142
1588251600,1.38827,1.39451,1.3873,1.39283,46859
1588266000,1.39287,1.39586,1.39092,1.39451,24533
1588280400,1.394,1.39817,1.393,1.39678,14003
1588294800,1.39678,1.40068,1.39636,1.39985,16456
1588309200,1.39985,1.40429,1.39955,1.40192,24773
1588323600,1.40193,1.40444,1.40088,1.40114,26910
1588338000,1.40112,1.41094,1.40097,1.40854,35255
1588352400,1.40853,1.40909,1.40502,1.4085,21450
1588539600,1.40828,1.41522,1.40774,1.41507,12489
1588554000,1.41507,1.41507,1.41017,1.41214,14923
1588568400,1.41215,1.41399,1.40932,1.41013,28451
1588582800,1.41014,1.41257,1.40512,1.40916,28244
1588597200,1.40916,1.41122,1.40728,1.40966,34921
1588611600,1.40965,1.41023,1.40683,1.40892,21777
1588626000,1.40867,1.40925,1.40647,1.40651,7857
1588640400,1.40653,1.40726,1.40552,1.40651,12997
1588654800,1.40652,1.40945,1.40316,1.40887,27371
1588669200,1.40886,1.40948,1.40183,1.4044,28566
1588683600,1.40442,1.40653,1.40082,1.40303,33896
1588698000,1.40301,1.40546,1.40215,1.40443,21052
1588712400,1.40503,1.40747,1.40321,1.40694,9791
1588726800,1.40695,1.40772,1.40464,1.40474,17915
