time,open,high,low,close,Volume
1672614000,130.781,130.887,130.693,130.887,270
1672617600,130.888,131.041,130.862,130.879,392
1672621200,130.88,130.931,130.828,130.9,1821
1672624800,130.898,130.997,130.898,130.973,280
1672628400,130.972,130.974,130.886,130.925,260
1672632000,130.925,130.934,130.878,130.918,470
1672635600,130.916,130.961,130.893,130.908,1433
1672639200,130.93,130.963,130.898,130.929,759
1672642800,130.954,130.977,130.921,130.939,1346
1672646400,130.937,130.964,130.912,130.946,2016
1672650000,130.933,130.954,130.857,130.874,1973
1672653600,130.873,130.876,130.759,130.788,2678
1672657200,130.788,130.877,130.763,130.775,2101
1672660800,130.775,130.799,130.702,130.731,2256
1672664400,130.732,130.742,130.616,130.637,3234
1672668000,130.636,130.78,130.616,130.712,7177
1672671600,130.698,130.825,130.678,130.789,11455
1672675200,130.79,130.826,130.655,130.754,12775
1672678800,130.753,130.812,130.73,130.775,8824
1672682400,130.779,130.783,130.721,130.777,4450
1672686000,130.778,130.78,130.729,130.736,234
1672689600,130.737,130.738,130.699,130.699,107
1672693200,130.7,130.745,130.599,130.599,608
1672696800,130.599,130.778,130.599,130.711,166
1672700400,130.752,131.403,130.533,130.795,10268
1672704000,130.791,130.902,130.574,130.609,9326
1672707600,130.615,130.717,129.808,130.151,17561
1672711200,130.156,130.305,129.783,129.923,11982
1672714800,129.924,129.982,129.68,129.783,9900
1672718400,129.78,129.801,129.507,129.593,8664
1672722000,129.597,129.953,129.551,129.815,9973
1672725600,129.812,130.062,129.615,129.843,11038
1672729200,129.84,130.252,129.78,130.109,12117
1672732800,130.109,130.963,130.099,130.784,22798
1672736400,130.784,130.801,130.31,130.416,19284
1672740000,130.413,130.733,130.362,130.692,13106
1672743600,130.694,130.888,130.627,130.875,9476
1672747200,130.876,131.198,130.832,130.974,12137
1672750800,130.971,131.004,130.589,130.655,15502
1672754400,130.66,130.795,130.054,130.188,15338
1672758000,130.184,130.934,130.184,130.743,19894
1672761600,130.745,131.107,130.622,130.833,14511
1672765200,130.832,130.883,130.725,130.794,7152
1672768800,130.791,130.813,130.602,130.621,5942
1672772400,130.622,130.789,130.575,130.78,4740
1672776000,130.772,130.966,130.751,130.962,5083
1672779600,130.964,131.036,130.885,130.985,4743
1672783200,131.022,131.035,130.957,130.984,6796
1672786800,130.989,131.463,130.972,131.296,10302
1672790400,131.298,131.306,130.817,131.017,12275
1672794000,131.008,131.221,130.58,130.646,11894
1672797600,130.646,130.936,130.63,130.815,8725
1672801200,130.816,130.859,130.617,130.647,5540
1672804800,130.643,130.952,130.642,130.828,5024
1672808400,130.83,130.996,130.752,130.853,7775
1672812000,130.852,130.878,130.681,130.729,8439
1672815600,130.736,130.755,130.115,130.246,15493
