time,open,high,low,close,Volume
1582527600,1666.19,1689.34,1665.59,1686.93,71619
1582542000,1686.9,1687.77,1672.39,1674.61,73698
1582556400,1674.75,1679.55,1669.71,1672.06,77032
1582570800,1672.07,1672.46,1650.91,1658.72,45537
1582585200,1658.93,1663.68,1642.83,1657.64,57339
1582599600,1657.65,1658.48,1633.08,1637.08,45540
1582614000,1637.11,1657.23,1634.38,1653.14,70592
1582628400,1653.02,1654.85,1641.47,1651.27,70316
1582642800,1651.75,1658.48,1643.13,1645.01,92530
1582657200,1644.94,1653.64,1625.34,1634.89,52551
1582671600,1635.18,1646.26,1634.35,1640.25,54641
1582686000,1640.25,1646.23,1638.09,1645.29,42463
1582700400,1645.37,1655,1643.88,1649.34,72112
1582714800,1649.32,1649.32,1624.96,1635.12,70914
1582729200,1635.14,1648.94,1631.78,1646.15,80689
1582743600,1646.24,1649.98,1636.13,1640.82,40359
1582758000,1640.95,1651.41,1638.44,1648.93,54076
1582772400,1648.91,1652.66,1646.47,1648.08,39892
1582786800,1648.05,1650.95,1641.35,1648.09,64799
1582801200,1648.09,1657.79,1646.07,1652.95,68214
1582815600,1652.89,1660.35,1638.16,1645.35,93474
1582830000,1645.38,1647.07,1635.32,1644.41,42733
1582844400,1644.12,1649.49,1639.88,1642.84,56736
1582858800,1642.84,1645.72,1626.69,1633.08,67030
1582873200,1633.06,1641.37,1621.22,1630.13,82449
1582887600,1630.14,1632.81,1613.86,1615.8,78170
1582902000,1615.82,1617.02,1562.95,1574.13,80797
1582916400,1574.13,1592.86,1565.05,1584.77,34128
1583103600,1591.6,1606.58,1575.39,1595.47,68220
1583118000,1595.45,1605.41,1592.66,1602.23,56240
1583132400,1602.21,1610.98,1596,1609.45,73614
1583146800,1609.45,1610.76,1591.83,1598.89,81803
1583161200,1598.96,1601.55,1590.46,1593.11,68133
1583175600,1593.11,1597.47,1584,1589.54,25103
1583190000,1585.13,1600.27,1584.95,1598.75,42470
1583204400,1598.71,1601.2,1593.51,1595.13,42096
1583218800,1595.07,1599.86,1593.5,1599.65,51012
1583233200,1599.63,1606.83,1599.12,1606.71,64551
1583247600,1608.01,1649.33,1607.17,1644.82,84115
1583262000,1644.91,1646.78,1626.54,1640.76,35276
1583276400,1639.85,1652.68,1637.59,1645.13,53981
1583290800,1645.12,1646.27,1640.43,1642.14,34912
1583305200,1642.18,1645.12,1631.87,1641.73,53445
1583319600,1641.7,1649.36,1637.03,1645.85,50835
1583334000,1645.85,1645.85,1633.95,1636.23,50996
1583348400,1636.23,1641.28,1634.15,1636.89,20053
1583362800,1637.5,1640.84,1635.02,1638.58,29961
1583377200,1638.57,1641.86,1637.74,1641.75,21087
1583391600,1641.72,1648.69,1637.2,1647.27,47187
1583406000,1647.26,1662.59,1645.31,1658.43,61577
1583420400,1658.24,1668.92,1655.35,1667.73,66695
1583434800,1667.69,1674.64,1667.09,1672.27,35342
1583449200,1672.41,1676.52,1667.64,1670.49,45183
1583463600,1670.5,1681.02,1667.65,1674.36,42245
1583478000,1674.33,1689.95,1667.87,1682.18,65975
1583492400,1682.18,1689.59,1668.56,1684.66,70496
1583506800,1684.64,1686.31,1641.88,1672.31,86314
1583521200,1672.31,1692.07,1665.89,1674.3,39750
1583704800,1691.79,1703.3,1679.36,1700.9,51877
1583719200,1700.9,1701.44,1657.48,1663.22,59349
1583733600,1663.1,1685.26,1661.77,1665.14,54887
1583748000,1665.13,1685.76,1662.8,1671.74,56498
1583762400,1671.99,1677.35,1661.74,1672.65,69124
1583776800,1672.73,1681.57,1671.2,1679.76,31591
1583791200,1679.86,1680.38,1661.73,1669.4,36265
1583805600,1669.38,1670.6,1651.33,1651.71,44012
1583820000,1651.74,1667.5,1649.44,1658.58,68375
1583834400,1658.52,1667.57,1651.29,1653.61,68539
1583848800,1653.69,1661.83,1650.02,1657.9,88345
1583863200,1657.88,1659.99,1641.73,1649.39,36283
1583877600,1649.19,1660.13,1649.04,1658.31,34940
1583892000,1658.36,1665.38,1655.73,1661.65,40608
1583906400,1661.65,1666.65,1656.43,1660.51,53079
1583920800,1660.53,1671.25,1658.56,1662.75,65312
1583935200,1662.8,1663.11,1639.79,1643.46,86167
1583949600,1643.48,1646.31,1633.04,1635.12,41380
1583964000,1634.12,1650.28,1633.47,1636.17,39162
1583978400,1636.17,1638.79,1630.79,1633.91,42651
1583992800,1633.92,1645.53,1633.43,1634.06,54876
1584007200,1634.03,1643,1586.33,1596.99,70680
1584021600,1596.94,1609.82,1560.74,1594.95,95151
1584036000,1595.32,1595.41,1566.02,1577.07,38016
1584050400,1578.53,1584.3,1552.77,1554.9,34115
1584064800,1554.92,1591.28,1551.33,1586.51,52679
1584079200,1586.49,1594.28,1578.95,1582.52,53285
1584093600,1582.53,1597.93,1566.38,1574.77,67319
1584108000,1574.79,1582,1504.53,1522.2,95186
1584122400,1522.22,1537.08,1509.31,1529.69,43012
1584309600,1563.99,1575.26,1523.94,1534.65,51770
1584324000,1534.41,1550.47,1530.39,1540.62,42505
1584338400,1540.66,1547.51,1512.65,1527.16,49958
1584352800,1527.15,1528.4,1451.19,1470.75,83821
1584367200,1470.85,1519.22,1464.5,1492.19,87193
1584381600,1492.23,1517.59,1487.5,1514.85,31821
1584396000,1511.52,1519.33,1490.92,1492.43,34470
1584410400,1492.47,1505.09,1485.54,1492.71,36288
1584424800,1492.68,1493.02,1467.94,1470.87,53178
1584439200,1470.91,1503.69,1465.59,1493.34,63005
1584453600,1493.2,1554,1491.74,1534.77,91017
1584468000,1534.73,1537.42,1520.89,1528,32675
1584482400,1527.22,1546.32,1527.21,1534.63,32036
1584496800,1534.54,1535.78,1511.78,1518.8,35813
1584511200,1518.79,1519.55,1487.36,1493.98,52902
1584525600,1494,1522.81,1492.8,1508.49,68408
1584540000,1508.55,1518.39,1472.76,1488.15,81804
1584554400,1488.2,1502.71,1482.49,1485.82,34731
1584568800,1485.17,1500.87,1473.66,1484.69,31865
1584583200,1484.74,1486.35,1464.12,1471.2,40728
1584597600,1471.18,1496.02,1468.88,1478.9,40273
