pair,tf,filter,sl_buffer,rr,entry,trades,wins,losses,win_rate,profit_factor,total_pips,net_return,max_dd,avg_zone_age,wt_trades,wt_wr,wt_pf,wt_pips,ct_trades,ct_wr,ct_pf,ct_pips,bars,csv
AUDCAD,2H,none,10,1.5,bottom,42,30,12,71.4,3.37,429.2,38.5,2.0,27.9,33,78.8,4.87,424.2,9,44.4,1.07,5.0,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,2H,origination,10,1.5,bottom,46,37,9,80.4,5.46,616.0,58.5,2.0,30.0,46,80.4,5.46,616.0,0,0.0,999.0,0.0,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,2H,none,10,1.8,bottom,42,26,16,61.9,2.75,406.1,35.4,2.0,27.9,33,66.7,3.39,385.9,9,44.4,1.28,20.2,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,2H,origination,10,1.8,bottom,46,31,15,67.4,3.57,552.3,49.5,2.0,30.0,46,67.4,3.57,552.3,0,0.0,999.0,0.0,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,2H,none,10,2.0,bottom,42,24,18,57.1,2.65,417.1,34.2,3.0,27.9,33,60.6,3.13,386.7,9,44.4,1.43,30.4,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,2H,origination,10,2.0,bottom,46,29,17,63.0,3.46,577.4,49.7,3.0,30.0,46,63.0,3.46,577.4,0,0.0,999.0,0.0,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,2H,none,15,1.5,bottom,42,27,15,64.3,2.73,488.5,28.6,2.5,27.9,33,69.7,3.56,478.6,9,44.4,1.1,9.9,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,2H,origination,15,1.5,bottom,46,33,13,71.7,3.83,693.4,43.5,3.0,30.0,46,71.7,3.83,693.4,0,0.0,999.0,0.0,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,2H,none,15,1.8,bottom,42,19,23,45.2,1.49,215.1,11.4,5.9,27.9,33,45.5,1.54,183.9,9,44.4,1.32,31.2,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,2H,origination,15,1.8,bottom,46,22,24,47.8,1.74,327.3,16.4,4.9,30.0,46,47.8,1.74,327.3,0,0.0,999.0,0.0,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,2H,none,15,2.0,bottom,42,17,25,40.5,1.35,166.5,8.9,8.7,27.9,33,39.4,1.32,121.1,9,44.4,1.47,45.4,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,2H,origination,15,2.0,bottom,46,18,28,39.1,1.32,168.7,7.8,6.9,30.0,46,39.1,1.32,168.7,0,0.0,999.0,0.0,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,2H,none,20,1.5,bottom,40,18,22,45.0,1.21,109.6,4.8,6.8,24.8,31,45.2,1.24,94.6,9,44.4,1.12,15.0,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,2H,origination,20,1.5,bottom,41,19,22,46.3,1.28,143.4,6.4,4.9,28.3,41,46.3,1.28,143.4,0,0.0,999.0,0.0,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,2H,none,20,1.8,bottom,40,15,25,37.5,1.12,68.2,1.7,10.5,24.8,31,35.5,1.06,26.0,9,44.4,1.35,42.2,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,2H,origination,20,1.8,bottom,41,16,25,39.0,1.19,106.2,3.5,8.6,28.3,41,39.0,1.19,106.2,0,0.0,999.0,0.0,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,2H,none,20,2.0,bottom,40,13,27,32.5,1.03,20.5,,12.3,24.8,31,32.3,1.04,20.1,9,33.3,1.0,0.4,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,2H,origination,20,2.0,bottom,41,15,26,36.6,1.21,121.3,3.6,9.6,28.3,41,36.6,1.21,121.3,0,0.0,999.0,0.0,19283,PEPPERSTONE_AUDCAD__120.csv
AUDCAD,4H,none,10,1.5,bottom,38,27,11,71.1,3.48,453.5,33.8,3.0,73.9,29,75.9,5.19,412.1,9,55.6,1.49,41.4,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,4H,origination,10,1.5,bottom,31,23,8,74.2,4.52,424.7,29.9,2.0,82.5,31,74.2,4.52,424.7,0,0.0,999.0,0.0,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,4H,none,10,1.8,bottom,38,26,12,68.4,3.53,518.9,40.9,3.0,73.9,29,72.4,4.76,452.3,9,55.6,1.79,66.6,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,4H,origination,10,1.8,bottom,31,22,9,71.0,4.31,471.9,35.2,2.0,82.5,31,71.0,4.31,471.9,0,0.0,999.0,0.0,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,4H,none,10,2.0,bottom,38,23,15,60.5,2.63,427.2,35.6,3.0,73.9,29,65.5,3.56,403.5,9,44.4,1.23,23.7,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,4H,origination,10,2.0,bottom,31,20,11,64.5,3.38,427.8,33.0,2.0,82.5,31,64.5,3.38,427.8,0,0.0,999.0,0.0,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,4H,none,15,1.5,bottom,38,24,14,63.2,2.46,440.4,24.2,3.0,73.9,29,65.5,2.93,381.5,9,55.6,1.56,58.9,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,4H,origination,15,1.5,bottom,31,20,11,64.5,2.76,396.6,20.6,2.0,82.5,31,64.5,2.76,396.6,0,0.0,999.0,0.0,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,4H,none,15,1.8,bottom,38,22,16,57.9,2.27,448.2,26.1,3.0,73.9,29,62.1,2.91,426.3,9,44.4,1.17,21.9,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,4H,origination,15,1.8,bottom,31,19,12,61.3,2.8,449.9,24.4,2.0,82.5,31,61.3,2.8,449.9,0,0.0,999.0,0.0,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,4H,none,15,2.0,bottom,38,20,18,52.6,2.17,447.1,24.0,3.9,73.9,29,55.2,2.61,408.4,9,44.4,1.3,38.7,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,4H,origination,15,2.0,bottom,31,17,14,54.8,2.56,437.6,21.6,3.0,82.5,31,54.8,2.56,437.6,0,0.0,999.0,0.0,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,4H,none,20,1.5,bottom,38,23,15,60.5,2.15,467.6,21.1,3.0,73.9,29,65.5,2.86,466.0,9,44.4,1.01,1.6,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,4H,origination,20,1.5,bottom,31,20,11,64.5,2.71,483.6,20.6,2.0,82.5,31,64.5,2.71,483.6,0,0.0,999.0,0.0,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,4H,none,20,1.8,bottom,38,21,17,55.3,2.19,530.2,22.6,3.0,73.9,29,58.6,2.71,497.3,9,44.4,1.21,32.9,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,4H,origination,20,1.8,bottom,31,18,13,58.1,2.63,524.9,21.0,2.0,82.5,31,58.1,2.63,524.9,0,0.0,999.0,0.0,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,4H,none,20,2.0,bottom,38,19,19,50.0,2.07,518.7,20.4,3.9,73.9,29,51.7,2.41,465.0,9,44.4,1.35,53.7,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,4H,origination,20,2.0,bottom,31,16,15,51.6,2.38,499.3,18.1,3.0,82.5,31,51.6,2.38,499.3,0,0.0,999.0,0.0,9748,PEPPERSTONE_AUDCAD__240.csv
AUDCAD,1H,none,10,1.5,bottom,34,23,11,67.6,2.85,268.1,26.1,3.9,161.1,28,67.9,2.82,218.0,6,66.7,3.01,50.1,21646,PEPPERSTONE_AUDCAD__60.csv
AUDCAD,1H,origination,10,1.5,bottom,33,23,10,69.7,3.01,268.7,27.4,3.0,178.1,33,69.7,3.01,268.7,0,0.0,999.0,0.0,21646,PEPPERSTONE_AUDCAD__60.csv
AUDCAD,1H,none,10,1.8,bottom,34,21,13,61.8,2.66,281.7,27.6,5.9,161.1,28,64.3,2.82,244.6,6,50.0,2.06,37.1,21646,PEPPERSTONE_AUDCAD__60.csv
AUDCAD,1H,origination,10,1.8,bottom,33,22,11,66.7,3.07,308.2,32.6,3.9,178.1,33,66.7,3.07,308.2,0,0.0,999.0,0.0,21646,PEPPERSTONE_AUDCAD__60.csv
AUDCAD,1H,none,10,2.0,bottom,34,19,15,55.9,2.35,260.1,25.3,5.9,161.1,28,57.1,2.36,215.0,6,50.0,2.29,45.1,21646,PEPPERSTONE_AUDCAD__60.csv
AUDCAD,1H,origination,10,2.0,bottom,33,19,14,57.6,2.41,257.3,26.6,3.9,178.1,33,57.6,2.41,257.3,0,0.0,999.0,0.0,21646,PEPPERSTONE_AUDCAD__60.csv
