entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2024-10-25 21:00:00+10:00,SELL,Supply,mid,with,with,0.91925,0.91838,0.91882,0.92075,0.91494,2.0,19.4,6,0.2,2024-10-25 13:00:00+10:00,LOSS,0.92075,2024-10-26 00:00:00+10:00,-19.3
2024-12-12 10:00:00+10:00,SELL,Supply,bottom,with,counter,0.90627,0.90509,0.90627,0.90777,0.90327,2.0,15.0,33,1.4,2024-12-11 01:00:00+10:00,WIN,0.90327,2024-12-12 10:00:00+10:00,30.0
2025-01-03 01:00:00+10:00,SELL,Supply,mid,with,counter,0.89748,0.89653,0.897,0.89898,0.89306,2.0,19.7,1,0.0,2024-12-30 23:00:00+10:00,WIN,0.89306,2025-01-03 03:00:00+10:00,39.4
2025-01-21 10:00:00+10:00,SELL,Supply,mid,with,counter,0.90356,0.9029,0.90323,0.90506,0.89957,2.0,18.3,505,21.0,2024-12-19 05:00:00+10:00,WIN,0.89957,2025-01-21 10:00:00+10:00,36.6
2025-02-10 17:00:00+10:00,SELL,Supply,bottom,with,counter,0.90064,0.89985,0.90064,0.90214,0.89764,2.0,15.0,18,0.8,2025-02-07 23:00:00+10:00,WIN,0.89764,2025-02-11 08:00:00+10:00,30.0
2025-02-11 09:00:00+10:00,BUY,Demand,bottom,with,with,0.89872,0.89824,0.89824,0.89674,0.90124,2.0,15.0,1,0.0,2025-02-11 08:00:00+10:00,LOSS,0.89674,2025-02-12 23:00:00+10:00,-15.0
2025-03-26 12:00:00+10:00,SELL,Supply,bottom,with,with,0.90026,0.8995,0.90026,0.90176,0.89726,2.0,15.0,2,0.1,2025-03-26 10:00:00+10:00,LOSS,0.90176,2025-03-26 16:00:00+10:00,-15.0
2025-04-25 18:00:00+10:00,BUY,Demand,bottom,with,with,0.88805,0.88662,0.88662,0.88512,0.88962,2.0,15.0,5,0.2,2025-04-25 13:00:00+10:00,LOSS,0.88512,2025-04-25 21:00:00+10:00,-15.0
2025-05-31 02:00:00+10:00,BUY,Demand,bottom,with,counter,0.8846,0.88378,0.88378,0.88228,0.88678,2.0,15.0,496,20.7,2025-05-02 10:00:00+10:00,WIN,0.88678,2025-06-02 11:00:00+10:00,30.0
2025-07-08 14:00:00+10:00,SELL,Supply,bottom,with,counter,0.89388,0.89304,0.89388,0.89538,0.89088,2.0,15.0,64,2.7,2025-07-03 22:00:00+10:00,WIN,0.89088,2025-07-08 14:00:00+10:00,30.0
2025-07-11 04:00:00+10:00,SELL,Supply,mid,with,counter,0.90026,0.89934,0.8998,0.90176,0.89588,2.0,19.6,900,37.5,2025-05-20 14:00:00+10:00,LOSS,0.90176,2025-07-11 11:00:00+10:00,-19.6
2025-07-29 07:00:00+10:00,SELL,Supply,mid,with,with,0.89627,0.89546,0.89586,0.89777,0.89206,2.0,19.0,1,0.0,2025-07-28 23:00:00+10:00,LOSS,0.89777,2025-07-30 10:00:00+10:00,-19.1
2025-07-29 19:00:00+10:00,SELL,Supply,mid,with,with,0.89626,0.89534,0.8958,0.89776,0.89188,2.0,19.6,2,0.1,2025-07-29 16:00:00+10:00,LOSS,0.89776,2025-07-30 10:00:00+10:00,-19.6
2025-09-24 12:00:00+10:00,SELL,Supply,mid,with,counter,0.9168,0.91588,0.91634,0.9183,0.91242,2.0,19.6,86,3.6,2025-09-18 22:00:00+10:00,WIN,0.91242,2025-09-25 22:00:00+10:00,39.2
2025-10-29 03:00:00+10:00,SELL,Supply,mid,with,counter,0.91923,0.91823,0.91873,0.92073,0.91473,2.0,20.0,290,12.1,2025-10-10 22:00:00+10:00,LOSS,0.92073,2025-10-29 16:00:00+10:00,-20.0
2025-11-14 08:00:00+10:00,BUY,Demand,bottom,with,with,0.91615,0.91531,0.91531,0.91381,0.91831,2.0,15.0,22,0.9,2025-11-13 10:00:00+10:00,LOSS,0.91381,2025-11-14 21:00:00+10:00,-15.0
2025-12-29 09:00:00+10:00,BUY,Demand,bottom,with,with,0.91784,0.91735,0.91735,0.91585,0.92035,2.0,15.0,1,0.0,2025-12-29 08:00:00+10:00,LOSS,0.91585,2025-12-29 22:00:00+10:00,-15.0
2026-01-27 08:00:00+10:00,BUY,Demand,bottom,with,with,0.94792,0.94675,0.94675,0.94525,0.94975,2.0,15.0,8,0.3,2026-01-27 00:00:00+10:00,WIN,0.94975,2026-01-27 12:00:00+10:00,30.0
2026-02-06 00:00:00+10:00,BUY,Demand,bottom,with,counter,0.95331,0.95159,0.95159,0.95009,0.95459,2.0,15.0,59,2.5,2026-02-03 13:00:00+10:00,LOSS,0.95009,2026-02-06 01:00:00+10:00,-15.0
2026-02-19 05:00:00+10:00,BUY,Demand,bottom,with,counter,0.96477,0.9637,0.9637,0.9622,0.9667,2.0,15.0,25,1.0,2026-02-18 04:00:00+10:00,WIN,0.9667,2026-02-19 11:00:00+10:00,30.0
2026-02-20 18:00:00+10:00,SELL,Supply,mid,with,counter,0.96613,0.9653,0.96572,0.96763,0.96189,2.0,19.1,7,0.3,2026-02-20 11:00:00+10:00,LOSS,0.96763,2026-02-21 01:00:00+10:00,-19.1
2026-03-17 13:00:00+10:00,BUY,Demand,bottom,with,with,0.96746,0.96636,0.96636,0.96486,0.96936,2.0,15.0,2,0.1,2026-03-17 11:00:00+10:00,LOSS,0.96486,2026-03-17 13:00:00+10:00,-15.0
2026-04-02 07:00:00+10:00,BUY,Demand,bottom,with,with,0.9612,0.95954,0.95954,0.95804,0.96254,2.0,15.0,15,0.6,2026-04-01 16:00:00+10:00,LOSS,0.95804,2026-04-02 11:00:00+10:00,-15.0
2026-05-21 19:00:00+10:00,SELL,Supply,mid,with,counter,0.98304,0.98226,0.98265,0.98454,0.97887,2.0,18.9,7,0.3,2026-05-21 11:00:00+10:00,LOSS,0.98454,2026-05-22 03:00:00+10:00,-18.9
2026-06-03 16:00:00+10:00,BUY,Demand,bottom,with,with,0.99196,0.99106,0.99106,0.98956,0.99406,2.0,15.0,24,1.0,2026-06-02 16:00:00+10:00,LOSS,0.98956,2026-06-05 11:00:00+10:00,-15.0
2026-06-06 04:00:00+10:00,BUY,Demand,bottom,with,counter,0.98409,0.98238,0.98238,0.98088,0.98538,2.0,15.0,265,11.0,2026-05-22 03:00:00+10:00,LOSS,0.98088,2026-06-08 08:00:00+10:00,-15.0
2026-06-22 07:00:00+10:00,BUY,Demand,bottom,with,with,0.99239,0.99155,0.99155,0.99005,0.99455,2.0,15.0,9,0.4,2026-06-19 22:00:00+10:00,LOSS,0.99005,2026-06-23 10:00:00+10:00,-15.0
