entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2024-01-12 10:00:00+10:00,SELL,Supply,mid,with,counter,0.89809,0.8966,0.89734,0.90009,0.8924,1.8,27.4,6,0.5,2024-01-11 22:00:00+10:00,WIN,0.8924,2024-01-16 10:00:00+10:00,49.4
2024-02-14 00:00:00+10:00,SELL,Supply,mid,with,with,0.87725,0.87608,0.87666,0.87925,0.87201,1.8,25.8,1,0.1,2024-02-13 22:00:00+10:00,LOSS,0.87925,2024-02-15 02:00:00+10:00,-25.9
2024-02-22 16:00:00+10:00,SELL,Supply,mid,counter,counter,0.88692,0.88606,0.88649,0.88892,0.88212,1.8,24.3,8,0.7,2024-02-22 00:00:00+10:00,WIN,0.88212,2024-02-27 12:00:00+10:00,43.7
2024-03-25 11:00:00+10:00,SELL,Supply,mid,with,counter,0.88917,0.88812,0.88864,0.89117,0.8841,1.8,25.2,12,1.0,2024-03-22 11:00:00+10:00,WIN,0.8841,2024-03-28 17:00:00+10:00,45.4
2024-05-03 03:00:00+10:00,SELL,Supply,mid,counter,counter,0.89899,0.89779,0.89839,0.90099,0.89371,1.8,26.0,152,12.7,2024-04-10 21:00:00+10:00,LOSS,0.90099,2024-05-03 21:00:00+10:00,-26.0
2024-05-21 21:00:00+10:00,SELL,Supply,mid,counter,counter,0.91186,0.91056,0.91121,0.91386,0.90644,1.8,26.5,12,1.0,2024-05-20 21:00:00+10:00,WIN,0.90644,2024-05-23 03:00:00+10:00,47.7
2024-09-04 17:00:00+10:00,SELL,Supply,bottom,with,with,0.90976,0.90842,0.90976,0.91176,0.90616,1.8,20.0,4,0.3,2024-09-04 09:00:00+10:00,LOSS,0.91176,2024-09-04 23:00:00+10:00,-20.0
2024-09-04 23:00:00+10:00,SELL,Supply,mid,with,with,0.91271,0.91118,0.91194,0.91471,0.90697,1.8,27.7,11,0.9,2024-09-03 23:00:00+10:00,WIN,0.90697,2024-09-05 07:00:00+10:00,49.7
2024-09-26 15:00:00+10:00,SELL,Supply,mid,with,counter,0.92465,0.9231,0.92388,0.92665,0.91888,1.8,27.7,7,0.6,2024-09-26 01:00:00+10:00,LOSS,0.92665,2024-09-26 19:00:00+10:00,-27.7
2024-10-11 11:00:00+10:00,SELL,Supply,mid,with,counter,0.92822,0.92709,0.92766,0.93022,0.92304,1.8,25.7,55,4.6,2024-10-04 21:00:00+10:00,LOSS,0.93022,2024-10-12 01:00:00+10:00,-25.6
