entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2023-11-07 14:00:00+10:00,BUY,Demand,bottom,with,with,0.64482,0.64337,0.64337,0.64137,0.64737,2.0,20.0,20,1.7,2023-11-03 21:00:00+10:00,LOSS,0.64137,2023-11-07 20:00:00+10:00,-20.0
2024-01-12 10:00:00+10:00,SELL,Supply,mid,with,with,0.67208,0.67045,0.67126,0.67408,0.66564,2.0,28.2,6,0.5,2024-01-11 22:00:00+10:00,WIN,0.66564,2024-01-15 18:00:00+10:00,56.2
2024-01-17 12:00:00+10:00,BUY,Demand,bottom,with,counter,0.6585,0.65674,0.65674,0.65474,0.66074,2.0,20.0,268,22.3,2023-12-14 04:00:00+10:00,LOSS,0.65474,2024-01-17 18:00:00+10:00,-20.0
2024-03-07 20:00:00+10:00,SELL,Supply,mid,with,counter,0.66086,0.65891,0.65988,0.66286,0.65394,2.0,29.7,165,13.8,2024-02-02 22:00:00+10:00,LOSS,0.66286,2024-03-08 10:00:00+10:00,-29.8
2024-03-28 19:00:00+10:00,BUY,Demand,bottom,with,counter,0.64979,0.64854,0.64854,0.64654,0.65254,2.0,20.0,202,16.8,2024-03-06 00:00:00+10:00,WIN,0.65254,2024-03-29 01:00:00+10:00,40.0
2024-05-02 03:00:00+10:00,SELL,Supply,bottom,with,counter,0.65365,0.65211,0.65365,0.65565,0.64965,2.0,20.0,15,1.2,2024-04-30 21:00:00+10:00,WIN,0.64965,2024-05-02 03:00:00+10:00,40.0
2024-05-15 23:00:00+10:00,BUY,Demand,bottom,with,with,0.66484,0.6636,0.6636,0.6616,0.6676,2.0,20.0,1,0.1,2024-05-15 21:00:00+10:00,WIN,0.6676,2024-05-16 01:00:00+10:00,40.0
2024-05-21 11:00:00+10:00,BUY,Demand,bottom,with,with,0.6663,0.66486,0.66486,0.66286,0.66886,2.0,20.0,18,1.5,2024-05-17 23:00:00+10:00,LOSS,0.66286,2024-05-23 03:00:00+10:00,-20.0
2024-06-14 19:00:00+10:00,BUY,Demand,bottom,with,counter,0.6618,0.66076,0.66076,0.65876,0.66476,2.0,20.0,23,1.9,2024-06-12 21:00:00+10:00,LOSS,0.65876,2024-06-17 21:00:00+10:00,-20.0
2024-07-16 03:00:00+10:00,BUY,Demand,bottom,with,with,0.67618,0.67529,0.67529,0.67329,0.67929,2.0,20.0,27,2.2,2024-07-11 21:00:00+10:00,LOSS,0.67329,2024-07-16 17:00:00+10:00,-20.0
2024-07-22 11:00:00+10:00,BUY,Demand,bottom,with,counter,0.66833,0.66694,0.66694,0.66494,0.67094,2.0,20.0,150,12.5,2024-07-03 23:00:00+10:00,LOSS,0.66494,2024-07-22 21:00:00+10:00,-20.0
2024-07-31 11:00:00+10:00,BUY,Demand,bottom,with,counter,0.64975,0.6483,0.6483,0.6463,0.6523,2.0,20.0,772,64.3,2024-05-02 03:00:00+10:00,WIN,0.6523,2024-07-31 11:00:00+10:00,40.0
2024-08-05 23:00:00+10:00,SELL,Supply,bottom,with,with,0.65117,0.64823,0.65117,0.65317,0.64717,2.0,20.0,4,0.3,2024-08-05 15:00:00+10:00,WIN,0.64717,2024-08-05 23:00:00+10:00,40.0
2024-09-04 15:00:00+10:00,SELL,Supply,mid,with,with,0.67172,0.6706,0.67116,0.67372,0.66604,2.0,25.6,1,0.1,2024-09-04 09:00:00+10:00,LOSS,0.67372,2024-09-04 23:00:00+10:00,-25.6
2024-10-01 23:00:00+10:00,BUY,Demand,bottom,with,with,0.68945,0.68764,0.68764,0.68564,0.69164,2.0,20.0,25,2.1,2024-09-27 21:00:00+10:00,LOSS,0.68564,2024-10-02 03:00:00+10:00,-20.0
2024-10-28 13:00:00+10:00,BUY,Demand,bottom,with,counter,0.66011,0.65889,0.65889,0.65689,0.66289,2.0,20.0,625,52.1,2024-08-15 11:00:00+10:00,LOSS,0.65689,2024-10-29 13:00:00+10:00,-20.0
2024-11-09 02:00:00+10:00,BUY,Demand,bottom,with,counter,0.6584,0.65641,0.65641,0.65441,0.66041,2.0,20.0,19,1.6,2024-11-07 12:00:00+10:00,LOSS,0.65441,2024-11-12 18:00:00+10:00,-20.0
2024-11-22 18:00:00+10:00,SELL,Supply,mid,with,with,0.65216,0.65089,0.65152,0.65416,0.64625,2.0,26.4,2,0.2,2024-11-22 14:00:00+10:00,LOSS,0.65416,2024-11-25 08:00:00+10:00,-26.4
2024-11-26 14:00:00+10:00,SELL,Supply,mid,with,with,0.65061,0.64908,0.64984,0.65261,0.64432,2.0,27.7,2,0.2,2024-11-26 08:00:00+10:00,LOSS,0.65261,2024-11-29 16:00:00+10:00,-27.7
2024-12-09 20:00:00+10:00,SELL,Supply,mid,with,with,0.64561,0.64421,0.64491,0.64761,0.63951,2.0,27.0,6,0.5,2024-12-06 10:00:00+10:00,WIN,0.63951,2024-12-10 12:00:00+10:00,54.0
2025-01-14 08:00:00+10:00,SELL,Supply,bottom,with,with,0.61963,0.61805,0.61963,0.62163,0.61563,2.0,20.0,17,1.4,2025-01-10 22:00:00+10:00,LOSS,0.62163,2025-01-15 22:00:00+10:00,-20.0
2025-01-16 14:00:00+10:00,BUY,Demand,bottom,with,counter,0.62117,0.61952,0.61952,0.61752,0.62352,2.0,20.0,8,0.7,2025-01-15 22:00:00+10:00,LOSS,0.61752,2025-01-17 22:00:00+10:00,-20.0
2025-01-27 16:00:00+10:00,BUY,Demand,bottom,with,with,0.62867,0.62783,0.62783,0.62583,0.63183,2.0,20.0,14,1.2,2025-01-24 12:00:00+10:00,LOSS,0.62583,2025-01-28 08:00:00+10:00,-20.0
2025-01-31 16:00:00+10:00,SELL,Supply,mid,with,with,0.62395,0.62242,0.62318,0.62595,0.61765,2.0,27.7,3,0.2,2025-01-31 06:00:00+10:00,LOSS,0.62595,2025-02-01 02:00:00+10:00,-27.7
