entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2022-10-13 23:00:00+10:00,SELL,Supply,bottom,with,with,0.62901,0.62651,0.62901,0.63101,0.62601,1.5,20.0,1,0.2,2022-10-13 19:00:00+10:00,WIN,0.62601,2022-10-13 23:00:00+10:00,30.0
2022-12-14 00:00:00+10:00,SELL,Supply,mid,with,counter,0.68988,0.68631,0.6881,0.69188,0.68242,1.5,37.9,390,65.0,2022-09-13 19:00:00+10:00,WIN,0.68242,2022-12-14 12:00:00+10:00,56.8
2023-01-13 00:00:00+10:00,BUY,Demand,bottom,with,with,0.69244,0.68873,0.68873,0.68673,0.69173,1.5,20.0,1,0.2,2023-01-12 20:00:00+10:00,WIN,0.69173,2023-01-13 00:00:00+10:00,30.0
2023-02-03 12:00:00+10:00,BUY,Demand,bottom,with,with,0.70929,0.70603,0.70603,0.70403,0.70903,1.5,20.0,8,1.3,2023-02-02 04:00:00+10:00,LOSS,0.70403,2023-02-03 20:00:00+10:00,-20.0
2023-04-11 11:00:00+10:00,SELL,Supply,bottom,with,with,0.66739,0.66527,0.66739,0.66939,0.66439,1.5,20.0,4,0.7,2023-04-10 19:00:00+10:00,WIN,0.66439,2023-04-11 11:00:00+10:00,30.0
2023-05-11 03:00:00+10:00,BUY,Demand,bottom,with,with,0.67741,0.67497,0.67497,0.67297,0.67797,1.5,20.0,2,0.3,2023-05-10 19:00:00+10:00,WIN,0.67797,2023-05-11 03:00:00+10:00,30.0
2023-05-18 19:00:00+10:00,BUY,Demand,bottom,with,counter,0.66375,0.66207,0.66207,0.66007,0.66507,1.5,20.0,74,12.3,2023-05-02 11:00:00+10:00,WIN,0.66507,2023-05-19 15:00:00+10:00,30.0
2023-06-28 07:00:00+10:00,BUY,Demand,bottom,counter,counter,0.66862,0.6665,0.6665,0.6645,0.6695,1.5,20.0,5,0.8,2023-06-27 11:00:00+10:00,LOSS,0.6645,2023-06-28 11:00:00+10:00,-20.0
2023-07-13 15:00:00+10:00,SELL,Supply,mid,counter,counter,0.68553,0.68407,0.6848,0.68753,0.6807,1.5,27.3,103,17.2,2023-06-20 11:00:00+10:00,WIN,0.6807,2023-07-13 15:00:00+10:00,41.0
2023-10-05 11:00:00+10:00,SELL,Supply,bottom,with,with,0.6376,0.63537,0.6376,0.6396,0.6346,1.5,20.0,12,2.0,2023-10-03 11:00:00+10:00,WIN,0.6346,2023-10-05 11:00:00+10:00,30.0
2023-12-16 00:00:00+10:00,SELL,Supply,bottom,counter,counter,0.67246,0.66942,0.67246,0.67446,0.66946,1.5,20.0,1,0.2,2023-12-15 20:00:00+10:00,WIN,0.66946,2023-12-16 00:00:00+10:00,30.0
2023-12-30 00:00:00+10:00,SELL,Supply,mid,counter,counter,0.68462,0.68226,0.68344,0.68662,0.67867,1.5,31.8,2,0.3,2023-12-29 16:00:00+10:00,WIN,0.67867,2023-12-30 00:00:00+10:00,47.7
2024-01-12 20:00:00+10:00,SELL,Supply,mid,with,with,0.67259,0.67071,0.67165,0.67459,0.66724,1.5,29.4,3,0.5,2024-01-11 20:00:00+10:00,WIN,0.66724,2024-01-15 16:00:00+10:00,44.1
2024-02-15 20:00:00+10:00,SELL,Supply,bottom,with,with,0.65277,0.65094,0.65277,0.65477,0.64977,1.5,20.0,12,2.0,2024-02-13 20:00:00+10:00,WIN,0.64977,2024-02-15 20:00:00+10:00,30.0
2024-03-07 16:00:00+10:00,SELL,Supply,mid,with,counter,0.6604,0.65867,0.65954,0.6624,0.65524,1.5,28.7,83,13.8,2024-02-02 20:00:00+10:00,LOSS,0.6624,2024-03-08 00:00:00+10:00,-28.6
