entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2024-05-22 21:00:00+10:00,BUY,Demand,bottom,with,counter,1.08346,1.08234,1.08234,1.08034,1.08594,1.8,20.0,60,5.0,2024-05-15 21:00:00+10:00,WIN,1.08594,2024-05-23 23:00:00+10:00,36.0
2024-07-19 03:00:00+10:00,BUY,Demand,bottom,with,with,1.0907,1.08975,1.08975,1.08775,1.09335,1.8,20.0,17,1.4,2024-07-17 17:00:00+10:00,LOSS,1.08775,2024-07-19 17:00:00+10:00,-20.0
2024-08-28 21:00:00+10:00,BUY,Demand,bottom,with,counter,1.11272,1.11104,1.11104,1.10904,1.11464,1.8,20.0,35,2.9,2024-08-23 23:00:00+10:00,LOSS,1.10904,2024-08-29 17:00:00+10:00,-20.0
2024-09-04 03:00:00+10:00,BUY,Demand,bottom,with,counter,1.10444,1.1031,1.1031,1.1011,1.1067,1.8,20.0,134,11.2,2024-08-19 23:00:00+10:00,WIN,1.1067,2024-09-04 23:00:00+10:00,36.0
2024-09-06 21:00:00+10:00,SELL,Supply,bottom,with,counter,1.11402,1.11256,1.11402,1.11602,1.11042,1.8,20.0,74,6.2,2024-08-29 17:00:00+10:00,WIN,1.11042,2024-09-06 21:00:00+10:00,36.0
2024-09-12 23:00:00+10:00,SELL,Supply,mid,with,with,1.10521,1.10364,1.10442,1.10721,1.09941,1.8,27.9,13,1.1,2024-09-11 21:00:00+10:00,LOSS,1.10721,2024-09-13 05:00:00+10:00,-27.9
2024-09-17 21:00:00+10:00,BUY,Demand,bottom,with,with,1.11334,1.11211,1.11211,1.11011,1.11571,1.8,20.0,2,0.2,2024-09-17 17:00:00+10:00,WIN,1.11571,2024-09-19 03:00:00+10:00,36.0
2024-09-24 23:00:00+10:00,SELL,Supply,mid,with,counter,1.11674,1.11552,1.11613,1.11874,1.11143,1.8,26.1,15,1.2,2024-09-23 17:00:00+10:00,LOSS,1.11874,2024-09-25 07:00:00+10:00,-26.1
2024-09-30 23:00:00+10:00,BUY,Demand,bottom,with,with,1.11694,1.11562,1.11562,1.11362,1.11922,1.8,20.0,3,0.2,2024-09-30 17:00:00+10:00,LOSS,1.11362,2024-10-01 01:00:00+10:00,-20.0
2024-11-25 08:00:00+10:00,SELL,Supply,bottom,with,with,1.04893,1.04616,1.04893,1.05093,1.04533,1.8,20.0,7,0.6,2024-11-22 18:00:00+10:00,WIN,1.04533,2024-11-25 16:00:00+10:00,36.0
2025-01-15 02:00:00+10:00,SELL,Supply,mid,with,with,1.0312,1.02928,1.03024,1.0332,1.02491,1.8,29.6,25,2.1,2025-01-10 22:00:00+10:00,LOSS,1.0332,2025-01-15 22:00:00+10:00,-29.6
2025-02-14 18:00:00+10:00,SELL,Supply,mid,counter,counter,1.04945,1.04788,1.04866,1.05145,1.04365,1.8,27.9,161,13.4,2025-01-28 08:00:00+10:00,WIN,1.04365,2025-02-19 04:00:00+10:00,50.1
