entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2023-08-11 19:00:00+10:00,BUY,Demand,bottom,with,counter,1.09882,1.09674,1.09674,1.09474,1.10034,1.8,20.0,7,1.2,2023-08-10 15:00:00+10:00,WIN,1.10034,2023-08-11 19:00:00+10:00,36.0
2023-09-05 19:00:00+10:00,BUY,Demand,bottom,with,counter,1.07515,1.07332,1.07332,1.07132,1.07692,1.8,20.0,367,61.2,2023-06-12 15:00:00+10:00,LOSS,1.07132,2023-09-05 23:00:00+10:00,-20.0
2023-10-26 19:00:00+10:00,BUY,Demand,bottom,with,counter,1.05482,1.05282,1.05282,1.05082,1.05642,1.8,20.0,30,5.0,2023-10-19 19:00:00+10:00,WIN,1.05642,2023-10-27 03:00:00+10:00,36.0
2023-11-04 03:00:00+10:00,SELL,Supply,mid,with,counter,1.07522,1.07318,1.0742,1.07722,1.06876,1.8,30.2,25,4.2,2023-09-14 19:00:00+10:00,WIN,1.06876,2023-11-07 16:00:00+10:00,54.4
2023-11-14 20:00:00+10:00,SELL,Supply,bottom,with,counter,1.07984,1.0781,1.07984,1.08184,1.07624,1.8,20.0,301,50.2,2023-09-05 15:00:00+10:00,WIN,1.07624,2023-11-14 20:00:00+10:00,36.0
2024-01-03 16:00:00+10:00,BUY,Demand,bottom,with,counter,1.09559,1.09353,1.09353,1.09153,1.09713,1.8,20.0,41,6.8,2023-12-21 20:00:00+10:00,LOSS,1.09153,2024-01-03 20:00:00+10:00,-20.0
2024-02-09 04:00:00+10:00,SELL,Supply,mid,with,with,1.07889,1.07685,1.07787,1.08089,1.07243,1.8,30.2,1,0.2,2024-02-08 20:00:00+10:00,WIN,1.07243,2024-02-13 20:00:00+10:00,54.4
2024-02-15 20:00:00+10:00,SELL,Supply,mid,with,with,1.07778,1.07569,1.07674,1.07978,1.07125,1.8,30.4,12,2.0,2024-02-13 20:00:00+10:00,LOSS,1.07978,2024-02-20 16:00:00+10:00,-30.4
2024-02-22 16:00:00+10:00,SELL,Supply,mid,with,counter,1.08976,1.08714,1.08845,1.09176,1.08249,1.8,33.1,83,13.8,2024-02-02 20:00:00+10:00,WIN,1.08249,2024-02-22 20:00:00+10:00,59.6
2024-04-03 19:00:00+10:00,SELL,Supply,mid,with,with,1.07921,1.07771,1.07846,1.08121,1.07351,1.8,27.5,6,1.0,2024-04-01 23:00:00+10:00,LOSS,1.08121,2024-04-03 23:00:00+10:00,-27.5
