entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2024-04-27 01:00:00+10:00,BUY,Demand,bottom,with,with,1.24685,1.24541,1.24541,1.24341,1.24841,1.5,20.0,17,1.4,2024-04-25 15:00:00+10:00,WIN,1.24841,2024-04-27 01:00:00+10:00,30.0
2024-05-02 23:00:00+10:00,BUY,Demand,bottom,with,counter,1.24994,1.24772,1.24772,1.24572,1.25072,1.5,20.0,10,0.8,2024-05-02 03:00:00+10:00,WIN,1.25072,2024-05-02 23:00:00+10:00,30.0
2024-05-09 21:00:00+10:00,BUY,Demand,bottom,with,counter,1.24825,1.24662,1.24662,1.24462,1.24962,1.5,20.0,74,6.2,2024-05-01 17:00:00+10:00,LOSS,1.24462,2024-05-09 21:00:00+10:00,-20.0
2024-05-22 21:00:00+10:00,BUY,Demand,bottom,with,with,1.27229,1.27088,1.27088,1.26888,1.27388,1.5,20.0,3,0.2,2024-05-22 15:00:00+10:00,WIN,1.27388,2024-05-22 23:00:00+10:00,30.0
2024-06-21 17:00:00+10:00,BUY,Demand,bottom,with,counter,1.26615,1.26454,1.26454,1.26254,1.26754,1.5,20.0,297,24.8,2024-05-17 23:00:00+10:00,LOSS,1.26254,2024-06-21 23:00:00+10:00,-20.0
2024-07-19 19:00:00+10:00,BUY,Demand,bottom,with,counter,1.29173,1.29026,1.29026,1.28826,1.29326,1.5,20.0,61,5.1,2024-07-12 17:00:00+10:00,WIN,1.29326,2024-07-22 07:00:00+10:00,30.0
2024-07-23 01:00:00+10:00,BUY,Demand,bottom,with,counter,1.29185,1.29065,1.29065,1.28865,1.29365,1.5,20.0,9,0.8,2024-07-22 07:00:00+10:00,LOSS,1.28865,2024-07-24 13:00:00+10:00,-20.0
2024-08-05 17:00:00+10:00,SELL,Supply,bottom,with,with,1.28051,1.27781,1.28051,1.28251,1.27751,1.5,20.0,1,0.1,2024-08-05 15:00:00+10:00,WIN,1.27751,2024-08-05 17:00:00+10:00,30.0
2024-10-18 15:00:00+10:00,SELL,Supply,mid,with,with,1.30772,1.30632,1.30702,1.30972,1.30297,1.5,27.0,24,2.0,2024-10-16 15:00:00+10:00,WIN,1.30297,2024-10-18 15:00:00+10:00,40.5
2024-10-21 17:00:00+10:00,BUY,Demand,bottom,counter,counter,1.30263,1.30136,1.30136,1.29936,1.30436,1.5,20.0,13,1.1,2024-10-18 15:00:00+10:00,LOSS,1.29936,2024-10-22 01:00:00+10:00,-20.0
2024-12-11 22:00:00+10:00,SELL,Supply,mid,counter,counter,1.27818,1.27627,1.27722,1.28018,1.27279,1.5,29.6,3,0.2,2024-12-11 16:00:00+10:00,WIN,1.27279,2024-12-12 22:00:00+10:00,44.3
2024-12-13 22:00:00+10:00,SELL,Supply,mid,with,with,1.26696,1.26571,1.26634,1.26896,1.2624,1.5,26.3,3,0.2,2024-12-13 16:00:00+10:00,WIN,1.2624,2024-12-14 00:00:00+10:00,39.4
2025-03-21 15:00:00+10:00,BUY,Demand,bottom,with,counter,1.29464,1.2928,1.2928,1.2908,1.2958,1.5,20.0,46,3.8,2025-03-17 19:00:00+10:00,LOSS,1.2908,2025-03-22 01:00:00+10:00,-20.0
2025-04-16 09:00:00+10:00,SELL,Supply,mid,with,counter,1.32631,1.32433,1.32532,1.32831,1.32084,1.5,29.9,1632,136.0,2024-10-03 15:00:00+10:00,LOSS,1.32831,2025-04-16 15:00:00+10:00,-29.9
2025-04-30 23:00:00+10:00,BUY,Demand,bottom,with,with,1.33547,1.3329,1.3329,1.3309,1.3359,1.5,20.0,24,2.0,2025-04-28 23:00:00+10:00,LOSS,1.3309,2025-04-30 23:00:00+10:00,-20.0
2025-05-14 23:00:00+10:00,BUY,Demand,bottom,with,with,1.33125,1.32906,1.32906,1.32706,1.33206,1.5,20.0,3,0.2,2025-05-14 17:00:00+10:00,WIN,1.33206,2025-05-14 23:00:00+10:00,30.0
2025-05-29 17:00:00+10:00,SELL,Supply,bottom,with,counter,1.34713,1.34625,1.34713,1.34913,1.34413,1.5,20.0,4,0.3,2025-05-29 09:00:00+10:00,LOSS,1.34913,2025-05-29 21:00:00+10:00,-20.0
