entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2022-01-18 12:00:00+10:00,BUY,Demand,bottom,with,with,1.36458,1.36228,1.36228,1.36028,1.36588,1.8,20.0,22,3.7,2022-01-12 20:00:00+10:00,WIN,1.36588,2022-01-18 12:00:00+10:00,36.0
2022-02-25 00:00:00+10:00,BUY,Demand,bottom,with,counter,1.33604,1.33409,1.33409,1.33209,1.33769,1.8,20.0,272,45.3,2021-12-23 16:00:00+10:00,LOSS,1.33209,2022-02-25 00:00:00+10:00,-20.0
2022-06-07 15:00:00+10:00,BUY,Demand,bottom,with,counter,1.25024,1.24765,1.24765,1.24565,1.25125,1.8,20.0,6,1.0,2022-06-06 15:00:00+10:00,LOSS,1.24565,2022-06-07 15:00:00+10:00,-20.0
2022-07-21 15:00:00+10:00,BUY,Demand,bottom,with,counter,1.19585,1.19253,1.19253,1.19053,1.19613,1.8,20.0,12,2.0,2022-07-19 15:00:00+10:00,WIN,1.19613,2022-07-21 15:00:00+10:00,36.0
2022-08-15 19:00:00+10:00,BUY,Demand,bottom,with,counter,1.21057,1.20658,1.20658,1.20458,1.21018,1.8,20.0,18,3.0,2022-08-10 19:00:00+10:00,WIN,1.21018,2022-08-15 19:00:00+10:00,36.0
2023-04-07 19:00:00+10:00,BUY,Demand,bottom,with,with,1.24253,1.23986,1.23986,1.23786,1.24346,1.8,20.0,19,3.2,2023-04-04 15:00:00+10:00,WIN,1.24346,2023-04-07 19:00:00+10:00,36.0
2023-08-04 23:00:00+10:00,SELL,Supply,mid,with,with,1.27989,1.27605,1.27797,1.28189,1.27091,1.8,39.2,13,2.2,2023-08-02 19:00:00+10:00,WIN,1.27091,2023-08-08 19:00:00+10:00,70.6
2023-08-18 15:00:00+10:00,BUY,Demand,bottom,with,counter,1.27436,1.27095,1.27095,1.26895,1.27455,1.8,20.0,5,0.8,2023-08-17 19:00:00+10:00,WIN,1.27455,2023-08-18 15:00:00+10:00,36.0
2023-08-30 19:00:00+10:00,SELL,Supply,mid,with,counter,1.27287,1.26917,1.27102,1.27487,1.26409,1.8,38.5,24,4.0,2023-08-24 19:00:00+10:00,WIN,1.26409,2023-08-30 19:00:00+10:00,69.3
2023-08-30 23:00:00+10:00,SELL,Supply,mid,with,counter,1.27508,1.27244,1.27376,1.27708,1.26778,1.8,33.2,2,0.3,2023-08-23 15:00:00+10:00,WIN,1.26778,2023-08-31 19:00:00+10:00,59.8
2023-11-27 16:00:00+10:00,SELL,Supply,mid,with,counter,1.26317,1.26125,1.26221,1.26517,1.25688,1.8,29.6,350,58.3,2023-09-05 15:00:00+10:00,LOSS,1.26517,2023-11-29 00:00:00+10:00,-29.6
2023-12-28 16:00:00+10:00,SELL,Supply,mid,with,counter,1.28386,1.28127,1.28256,1.28586,1.27663,1.8,33.0,42,7.0,2023-08-01 19:00:00+10:00,WIN,1.27663,2023-12-28 20:00:00+10:00,59.3
2024-02-09 04:00:00+10:00,SELL,Supply,mid,with,with,1.26387,1.26126,1.26256,1.26587,1.25662,1.8,33.1,1,0.2,2024-02-08 20:00:00+10:00,LOSS,1.26587,2024-02-13 20:00:00+10:00,-33.1
2024-02-16 00:00:00+10:00,SELL,Supply,mid,with,with,1.26053,1.25777,1.25915,1.26253,1.25307,1.8,33.8,8,1.3,2024-02-14 16:00:00+10:00,LOSS,1.26253,2024-02-19 08:00:00+10:00,-33.8
