entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2024-02-09 22:00:00+10:00,SELL,Supply,mid,with,counter,0.61603,0.61446,0.61525,0.61803,0.61023,1.8,27.8,58,4.8,2024-02-02 22:00:00+10:00,WIN,0.61023,2024-02-13 12:00:00+10:00,50.2
2024-02-16 00:00:00+10:00,SELL,Supply,mid,with,counter,0.613,0.61201,0.61251,0.615,0.60801,1.8,24.9,5,0.4,2024-02-13 12:00:00+10:00,LOSS,0.615,2024-02-19 16:00:00+10:00,-24.9
2024-03-07 22:00:00+10:00,SELL,Supply,mid,with,counter,0.61742,0.61643,0.61692,0.61942,0.61243,1.8,25.0,78,6.5,2024-02-28 10:00:00+10:00,LOSS,0.61942,2024-03-08 22:00:00+10:00,-25.0
2024-04-06 01:00:00+10:00,SELL,Supply,mid,with,counter,0.60234,0.60124,0.60179,0.60434,0.5972,1.8,25.5,1,0.1,2024-04-05 21:00:00+10:00,LOSS,0.60434,2024-04-09 09:00:00+10:00,-25.5
2024-04-19 21:00:00+10:00,SELL,Supply,mid,with,with,0.59043,0.58941,0.58992,0.59243,0.5854,1.8,25.1,3,0.2,2024-04-19 11:00:00+10:00,LOSS,0.59243,2024-04-22 11:00:00+10:00,-25.1
2024-05-20 21:00:00+10:00,BUY,Demand,bottom,with,with,0.61128,0.61009,0.61009,0.60809,0.61369,1.8,20.0,11,0.9,2024-05-17 23:00:00+10:00,WIN,0.61369,2024-05-22 11:00:00+10:00,36.0
2024-06-14 15:00:00+10:00,BUY,Demand,bottom,with,counter,0.61474,0.61373,0.61373,0.61173,0.61733,1.8,20.0,21,1.8,2024-06-12 21:00:00+10:00,LOSS,0.61173,2024-06-14 23:00:00+10:00,-20.0
2024-06-20 11:00:00+10:00,BUY,Demand,bottom,with,counter,0.61314,0.61281,0.61281,0.61081,0.61641,1.8,20.0,2,0.2,2024-06-20 07:00:00+10:00,LOSS,0.61081,2024-06-21 23:00:00+10:00,-20.0
2024-07-12 07:00:00+10:00,BUY,Demand,bottom,with,counter,0.60941,0.60843,0.60843,0.60643,0.61203,1.8,20.0,5,0.4,2024-07-11 21:00:00+10:00,WIN,0.61203,2024-07-12 23:00:00+10:00,36.0
2024-07-30 11:00:00+10:00,BUY,Demand,bottom,counter,counter,0.58795,0.58716,0.58716,0.58516,0.59076,1.8,20.0,2,0.2,2024-07-30 07:00:00+10:00,WIN,0.59076,2024-07-31 09:00:00+10:00,36.0
2024-09-09 15:00:00+10:00,BUY,Demand,bottom,with,counter,0.61608,0.61525,0.61525,0.61325,0.61885,1.8,20.0,128,10.7,2024-08-23 23:00:00+10:00,LOSS,0.61325,2024-09-09 19:00:00+10:00,-20.0
2024-10-30 13:00:00+10:00,BUY,Demand,bottom,with,counter,0.59637,0.59518,0.59518,0.59318,0.59878,1.8,20.0,723,60.2,2024-08-07 07:00:00+10:00,WIN,0.59878,2024-10-30 17:00:00+10:00,36.0
2024-11-02 03:00:00+10:00,BUY,Demand,bottom,counter,counter,0.59739,0.5963,0.5963,0.5943,0.5999,1.8,20.0,3,0.2,2024-11-01 21:00:00+10:00,WIN,0.5999,2024-11-04 08:00:00+10:00,36.0
2024-11-26 14:00:00+10:00,SELL,Supply,mid,with,with,0.58522,0.58398,0.5846,0.58722,0.57988,1.8,26.2,3,0.2,2024-11-26 08:00:00+10:00,LOSS,0.58722,2024-11-27 10:00:00+10:00,-26.2
2024-12-07 02:00:00+10:00,BUY,Demand,bottom,with,counter,0.58374,0.58231,0.58231,0.58031,0.58591,1.8,20.0,92,7.7,2024-11-27 10:00:00+10:00,WIN,0.58591,2024-12-09 18:00:00+10:00,36.0
2025-01-09 22:00:00+10:00,SELL,Supply,mid,with,with,0.56052,0.55929,0.5599,0.56252,0.5552,1.8,26.2,1,0.1,2025-01-09 16:00:00+10:00,WIN,0.5552,2025-01-10 22:00:00+10:00,47.0
2025-01-16 02:00:00+10:00,BUY,Demand,bottom,with,with,0.56254,0.5609,0.5609,0.5589,0.5645,1.8,20.0,2,0.2,2025-01-15 22:00:00+10:00,LOSS,0.5589,2025-01-16 22:00:00+10:00,-20.0
2025-01-18 00:00:00+10:00,SELL,Supply,bottom,with,with,0.56038,0.55936,0.56038,0.56238,0.55678,1.8,20.0,1,0.1,2025-01-17 22:00:00+10:00,WIN,0.55678,2025-01-18 00:00:00+10:00,36.0
2025-01-22 06:00:00+10:00,SELL,Supply,mid,counter,counter,0.56841,0.56673,0.56757,0.57041,0.56246,1.8,28.4,1,0.1,2025-01-21 10:00:00+10:00,LOSS,0.57041,2025-01-24 12:00:00+10:00,-28.4
2025-03-05 18:00:00+10:00,SELL,Supply,mid,with,counter,0.56877,0.56792,0.56834,0.57077,0.56398,1.8,24.3,46,3.8,2025-02-27 22:00:00+10:00,LOSS,0.57077,2025-03-06 00:00:00+10:00,-24.3
2025-03-20 05:00:00+10:00,SELL,Supply,mid,counter,counter,0.58169,0.58066,0.58118,0.58369,0.57665,1.8,25.2,5,0.4,2025-03-19 17:00:00+10:00,WIN,0.57665,2025-03-20 17:00:00+10:00,45.3
2025-03-27 05:00:00+10:00,BUY,Demand,bottom,with,counter,0.5735,0.57213,0.57213,0.57013,0.57573,1.8,20.0,9,0.8,2025-03-26 11:00:00+10:00,LOSS,0.57013,2025-03-31 07:00:00+10:00,-20.0
2025-04-11 11:00:00+10:00,SELL,Supply,mid,counter,counter,0.57972,0.57813,0.57892,0.58172,0.57389,1.8,27.9,60,5.0,2025-04-04 11:00:00+10:00,LOSS,0.58172,2025-04-11 19:00:00+10:00,-28.0
2025-04-28 17:00:00+10:00,BUY,Demand,bottom,with,counter,0.59399,0.59308,0.59308,0.59108,0.59668,1.8,20.0,65,5.4,2025-04-21 07:00:00+10:00,WIN,0.59668,2025-04-28 23:00:00+10:00,36.0
2025-05-13 23:00:00+10:00,SELL,Supply,mid,with,counter,0.59346,0.59208,0.59277,0.59546,0.58793,1.8,26.9,15,1.2,2025-05-12 17:00:00+10:00,LOSS,0.59546,2025-05-14 17:00:00+10:00,-26.9
2025-06-23 17:00:00+10:00,BUY,Demand,bottom,with,counter,0.59219,0.59121,0.59121,0.58921,0.59481,1.8,20.0,252,21.0,2025-05-23 17:00:00+10:00,LOSS,0.58921,2025-06-23 19:00:00+10:00,-20.0
2025-07-03 23:00:00+10:00,SELL,Supply,mid,with,with,0.60823,0.60696,0.6076,0.61023,0.60285,1.8,26.3,1,0.1,2025-07-03 21:00:00+10:00,WIN,0.60285,2025-07-07 11:00:00+10:00,47.5
2025-08-29 11:00:00+10:00,SELL,Supply,mid,with,counter,0.5898,0.5889,0.58935,0.5918,0.58494,1.8,24.5,79,6.6,2025-08-20 11:00:00+10:00,WIN,0.58494,2025-09-02 17:00:00+10:00,44.1
2025-11-13 16:00:00+10:00,BUY,Demand,bottom,counter,with,0.56472,0.56379,0.56379,0.56179,0.56739,1.8,20.0,21,1.8,2025-11-11 22:00:00+10:00,WIN,0.56739,2025-11-13 18:00:00+10:00,36.0
2025-12-04 02:00:00+10:00,SELL,Supply,mid,with,counter,0.57769,0.57628,0.57699,0.57969,0.57212,1.8,27.0,289,24.1,2025-10-30 21:00:00+10:00,LOSS,0.57969,2025-12-11 04:00:00+10:00,-27.0
2026-01-28 12:00:00+10:00,BUY,Demand,bottom,with,with,0.60224,0.6008,0.6008,0.5988,0.6044,1.8,20.0,3,0.2,2026-01-28 06:00:00+10:00,WIN,0.6044,2026-01-28 16:00:00+10:00,36.0
2026-02-23 20:00:00+10:00,BUY,Demand,bottom,with,counter,0.59839,0.59661,0.59661,0.59461,0.60021,1.8,20.0,6,0.5,2026-02-23 08:00:00+10:00,LOSS,0.59461,2026-02-25 00:00:00+10:00,-20.0
2026-03-07 04:00:00+10:00,SELL,Supply,mid,with,with,0.59156,0.59007,0.59082,0.59356,0.58587,1.8,27.4,4,0.3,2026-03-06 18:00:00+10:00,WIN,0.58587,2026-03-09 07:00:00+10:00,49.5
