entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2023-06-16 11:00:00+10:00,SELL,Supply,mid,with,counter,0.6255,0.6235,0.6245,0.6275,0.62,1.5,30.0,187,15.6,2023-05-24 11:00:00+10:00,WIN,0.62,2023-06-19 19:00:00+10:00,45.0
2023-07-03 13:00:00+10:00,SELL,Supply,mid,with,counter,0.61651,0.61487,0.61569,0.61851,0.61146,1.5,28.2,37,3.1,2023-06-28 11:00:00+10:00,LOSS,0.61851,2023-07-04 19:00:00+10:00,-28.2
2023-09-26 17:00:00+10:00,BUY,Demand,bottom,with,with,0.59552,0.5943,0.5943,0.5923,0.5973,1.5,20.0,11,0.9,2023-09-25 19:00:00+10:00,LOSS,0.5923,2023-09-27 13:00:00+10:00,-20.0
2024-01-17 18:00:00+10:00,BUY,Demand,bottom,with,counter,0.61272,0.61103,0.61103,0.60903,0.61403,1.5,20.0,271,22.6,2023-12-14 04:00:00+10:00,LOSS,0.60903,2024-01-18 00:00:00+10:00,-20.0
2024-02-09 22:00:00+10:00,SELL,Supply,mid,with,counter,0.61603,0.61446,0.61525,0.61803,0.61107,1.5,27.8,58,4.8,2024-02-02 22:00:00+10:00,WIN,0.61107,2024-02-13 12:00:00+10:00,41.8
2024-02-16 00:00:00+10:00,SELL,Supply,mid,with,counter,0.613,0.61201,0.61251,0.615,0.60876,1.5,24.9,5,0.4,2024-02-13 12:00:00+10:00,WIN,0.60876,2024-02-16 22:00:00+10:00,37.5
2024-03-07 22:00:00+10:00,SELL,Supply,mid,with,counter,0.61742,0.61643,0.61692,0.61942,0.61318,1.5,25.0,78,6.5,2024-02-28 10:00:00+10:00,LOSS,0.61942,2024-03-08 22:00:00+10:00,-25.0
2024-04-06 01:00:00+10:00,SELL,Supply,mid,with,counter,0.60234,0.60124,0.60179,0.60434,0.59797,1.5,25.5,1,0.1,2024-04-05 21:00:00+10:00,LOSS,0.60434,2024-04-09 09:00:00+10:00,-25.5
2024-04-17 07:00:00+10:00,BUY,Demand,bottom,with,counter,0.58796,0.58636,0.58636,0.58436,0.58936,1.5,20.0,1301,108.4,2023-11-14 22:00:00+10:00,WIN,0.58936,2024-04-17 07:00:00+10:00,30.0
2024-04-19 21:00:00+10:00,SELL,Supply,mid,with,with,0.59043,0.58941,0.58992,0.59243,0.58616,1.5,25.1,3,0.2,2024-04-19 11:00:00+10:00,LOSS,0.59243,2024-04-22 11:00:00+10:00,-25.1
