entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2024-04-05 02:00:00+10:00,SELL,Supply,mid,with,with,1.35039,1.34981,1.3501,1.35189,1.34652,2.0,17.9,4,0.2,2024-04-04 22:00:00+10:00,LOSS,1.35189,2024-04-05 04:00:00+10:00,-17.9
2024-05-21 23:00:00+10:00,SELL,Supply,bottom,with,counter,1.36719,1.36638,1.36719,1.36869,1.36419,2.0,15.0,121,5.0,2024-05-14 22:00:00+10:00,WIN,1.36419,2024-05-22 00:00:00+10:00,30.0
2024-05-24 03:00:00+10:00,SELL,Supply,bottom,with,counter,1.37295,1.37215,1.37295,1.37445,1.36995,2.0,15.0,245,10.2,2024-05-09 22:00:00+10:00,WIN,1.36995,2024-05-24 23:00:00+10:00,30.0
2024-06-13 16:00:00+10:00,SELL,Supply,mid,with,counter,1.37515,1.37424,1.3747,1.37665,1.37078,2.0,19.6,16,0.7,2024-06-12 22:00:00+10:00,LOSS,1.37665,2024-06-14 19:00:00+10:00,-19.5
2024-08-16 01:00:00+10:00,BUY,Demand,bottom,with,counter,1.37097,1.37011,1.37011,1.36861,1.37311,2.0,15.0,3,0.1,2024-08-15 22:00:00+10:00,WIN,1.37311,2024-08-16 05:00:00+10:00,30.0
2024-09-20 23:00:00+10:00,SELL,Supply,bottom,with,with,1.35768,1.35662,1.35768,1.35918,1.35468,2.0,15.0,1,0.0,2024-09-20 22:00:00+10:00,WIN,1.35468,2024-09-20 23:00:00+10:00,30.0
2024-10-10 22:00:00+10:00,BUY,Demand,bottom,with,with,1.37385,1.37305,1.37305,1.37155,1.37605,2.0,15.0,1,0.0,2024-10-10 21:00:00+10:00,WIN,1.37605,2024-10-10 23:00:00+10:00,30.0
2024-12-11 23:00:00+10:00,BUY,Demand,bottom,with,with,1.41696,1.41632,1.41632,1.41482,1.41932,2.0,15.0,6,0.2,2024-12-11 17:00:00+10:00,LOSS,1.41482,2024-12-12 00:00:00+10:00,-15.0
2025-01-08 21:00:00+10:00,SELL,Supply,bottom,with,counter,1.43996,1.43851,1.43996,1.44146,1.43696,2.0,15.0,51,2.1,2025-01-06 18:00:00+10:00,WIN,1.43696,2025-01-09 08:00:00+10:00,30.0
2025-01-21 10:00:00+10:00,SELL,Supply,bottom,with,counter,1.44706,1.44532,1.44706,1.44856,1.44406,2.0,15.0,11,0.5,2025-01-20 23:00:00+10:00,LOSS,1.44856,2025-01-21 10:00:00+10:00,-15.0
2025-02-01 03:00:00+10:00,BUY,Demand,bottom,with,counter,1.44162,1.44001,1.44001,1.43851,1.44301,2.0,15.0,21,0.9,2025-01-31 06:00:00+10:00,LOSS,1.43851,2025-02-01 03:00:00+10:00,-15.0
2025-02-05 00:00:00+10:00,BUY,Demand,bottom,with,counter,1.43766,1.43662,1.43662,1.43512,1.43962,2.0,15.0,135,5.6,2025-01-28 09:00:00+10:00,LOSS,1.43512,2025-02-05 01:00:00+10:00,-15.0
2025-03-07 02:00:00+10:00,BUY,Demand,bottom,with,counter,1.4269,1.42515,1.42515,1.42365,1.42815,2.0,15.0,169,7.0,2025-02-26 01:00:00+10:00,WIN,1.42815,2025-03-07 02:00:00+10:00,30.0
2025-03-12 05:00:00+10:00,BUY,Demand,bottom,with,with,1.44185,1.43934,1.43934,1.43784,1.44234,2.0,15.0,5,0.2,2025-03-12 00:00:00+10:00,WIN,1.44234,2025-03-12 06:00:00+10:00,30.0
2025-05-14 01:00:00+10:00,BUY,Demand,bottom,with,with,1.39702,1.39593,1.39593,1.39443,1.39893,2.0,15.0,8,0.3,2025-05-13 17:00:00+10:00,LOSS,1.39443,2025-05-14 04:00:00+10:00,-15.0
2025-05-29 16:00:00+10:00,BUY,Demand,bottom,with,with,1.38359,1.38313,1.38313,1.38163,1.38613,2.0,15.0,7,0.3,2025-05-29 09:00:00+10:00,LOSS,1.38163,2025-05-29 22:00:00+10:00,-15.0
2025-06-16 23:00:00+10:00,BUY,Demand,bottom,with,counter,1.35616,1.35506,1.35506,1.35356,1.35806,2.0,15.0,4292,178.8,2024-10-04 22:00:00+10:00,WIN,1.35806,2025-06-17 10:00:00+10:00,30.0
2025-07-11 22:00:00+10:00,BUY,Demand,bottom,with,with,1.36573,1.3652,1.3652,1.3637,1.3682,2.0,15.0,12,0.5,2025-07-11 10:00:00+10:00,WIN,1.3682,2025-07-11 22:00:00+10:00,30.0
2025-08-29 19:00:00+10:00,SELL,Supply,mid,with,with,1.37574,1.37496,1.37535,1.37724,1.37157,2.0,18.9,2,0.1,2025-08-29 17:00:00+10:00,LOSS,1.37724,2025-08-29 22:00:00+10:00,-18.9
2025-10-29 06:00:00+10:00,BUY,Demand,bottom,with,counter,1.39419,1.39336,1.39336,1.39186,1.39636,2.0,15.0,326,13.6,2025-10-09 16:00:00+10:00,LOSS,1.39186,2025-10-29 23:00:00+10:00,-15.0
2025-11-14 00:00:00+10:00,SELL,Supply,mid,with,with,1.40132,1.40058,1.40095,1.40282,1.39721,2.0,18.7,6,0.2,2025-11-13 17:00:00+10:00,LOSS,1.40282,2025-11-14 04:00:00+10:00,-18.7
2025-12-10 03:00:00+10:00,SELL,Supply,bottom,with,with,1.38577,1.38523,1.38577,1.38727,1.38277,2.0,15.0,8,0.3,2025-12-09 19:00:00+10:00,WIN,1.38277,2025-12-11 03:00:00+10:00,30.0
2025-12-17 14:00:00+10:00,SELL,Supply,mid,with,with,1.378,1.37713,1.37756,1.3795,1.3737,2.0,19.4,15,0.6,2025-12-16 22:00:00+10:00,LOSS,1.3795,2025-12-17 21:00:00+10:00,-19.4
2025-12-29 16:00:00+10:00,SELL,Supply,mid,with,with,1.3685,1.36784,1.36817,1.37,1.36451,2.0,18.3,17,0.7,2025-12-26 23:00:00+10:00,LOSS,1.37,2025-12-29 22:00:00+10:00,-18.3
2026-02-06 07:00:00+10:00,SELL,Supply,mid,with,counter,1.37142,1.37052,1.37097,1.37292,1.36707,2.0,19.5,177,7.4,2026-01-27 22:00:00+10:00,WIN,1.36707,2026-02-06 22:00:00+10:00,39.0
2026-04-06 17:00:00+10:00,BUY,Demand,bottom,with,with,1.39267,1.39198,1.39198,1.39048,1.39498,2.0,15.0,19,0.8,2026-04-03 22:00:00+10:00,LOSS,1.39048,2026-04-06 23:00:00+10:00,-15.0
2026-05-28 17:00:00+10:00,BUY,Demand,bottom,with,with,1.38554,1.38466,1.38466,1.38316,1.38766,2.0,15.0,4,0.2,2026-05-28 13:00:00+10:00,LOSS,1.38316,2026-05-29 00:00:00+10:00,-15.0
2026-05-29 01:00:00+10:00,BUY,Demand,bottom,with,counter,1.38062,1.37992,1.37992,1.37842,1.38292,2.0,15.0,52,2.2,2026-05-26 21:00:00+10:00,LOSS,1.37842,2026-05-29 03:00:00+10:00,-15.0
