entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2023-08-11 03:00:00+10:00,SELL,Supply,bottom,with,counter,0.87714,0.87587,0.87714,0.87914,0.87354,1.8,20.0,5,0.4,2023-08-10 17:00:00+10:00,WIN,0.87354,2023-08-11 21:00:00+10:00,36.0
2024-04-23 01:00:00+10:00,SELL,Supply,mid,with,counter,0.91309,0.91154,0.91232,0.91509,0.90732,1.8,27.7,13,1.1,2024-04-19 11:00:00+10:00,LOSS,0.91509,2024-04-24 21:00:00+10:00,-27.7
2024-05-01 15:00:00+10:00,SELL,Supply,mid,counter,counter,0.92323,0.92134,0.92228,0.92523,0.91698,1.8,29.4,1774,147.8,2023-10-04 17:00:00+10:00,WIN,0.91698,2024-05-02 03:00:00+10:00,53.0
2024-09-02 23:00:00+10:00,SELL,Supply,bottom,with,counter,0.85272,0.85165,0.85272,0.85472,0.84912,1.8,20.0,72,6.0,2024-08-23 23:00:00+10:00,WIN,0.84912,2024-09-03 23:00:00+10:00,36.0
2024-11-22 22:00:00+10:00,SELL,Supply,mid,with,counter,0.89412,0.89316,0.89364,0.89612,0.88918,1.8,24.8,1106,92.2,2024-07-17 17:00:00+10:00,WIN,0.88918,2024-11-22 22:00:00+10:00,44.6
2024-12-12 18:00:00+10:00,SELL,Supply,bottom,with,counter,0.88747,0.8857,0.88747,0.88947,0.88387,1.8,20.0,69,5.8,2024-12-05 00:00:00+10:00,WIN,0.88387,2024-12-12 18:00:00+10:00,36.0
2025-01-10 22:00:00+10:00,SELL,Supply,bottom,with,counter,0.91735,0.91619,0.91735,0.91935,0.91375,1.8,20.0,2149,179.1,2024-05-02 15:00:00+10:00,WIN,0.91375,2025-01-10 22:00:00+10:00,36.0
2025-01-14 00:00:00+10:00,SELL,Supply,mid,counter,counter,0.92022,0.9187,0.91946,0.92222,0.91449,1.8,27.6,1,0.1,2024-05-02 03:00:00+10:00,WIN,0.91449,2025-01-14 18:00:00+10:00,49.7
2025-01-16 00:00:00+10:00,SELL,Supply,mid,with,counter,0.91244,0.91093,0.91169,0.91444,0.90673,1.8,27.5,1,0.1,2025-01-15 22:00:00+10:00,LOSS,0.91444,2025-01-16 02:00:00+10:00,-27.5
2025-01-28 16:00:00+10:00,SELL,Supply,mid,with,with,0.90732,0.90594,0.90663,0.90932,0.90179,1.8,26.9,10,0.8,2025-01-27 18:00:00+10:00,LOSS,0.90932,2025-01-30 04:00:00+10:00,-26.9
2025-02-05 20:00:00+10:00,BUY,Demand,bottom,counter,counter,0.90227,0.90101,0.90101,0.89901,0.90461,1.8,20.0,78,6.5,2025-01-28 08:00:00+10:00,WIN,0.90461,2025-02-06 18:00:00+10:00,36.0
2025-02-19 10:00:00+10:00,SELL,Supply,mid,with,with,0.9049,0.90338,0.90414,0.9069,0.89917,1.8,27.6,22,1.8,2025-02-14 18:00:00+10:00,WIN,0.89917,2025-02-21 02:00:00+10:00,49.7
2025-03-22 01:00:00+10:00,SELL,Supply,mid,with,counter,0.88403,0.88272,0.88338,0.88603,0.8786,1.8,26.5,3,0.2,2025-03-21 19:00:00+10:00,WIN,0.8786,2025-03-31 11:00:00+10:00,47.8
2025-04-03 13:00:00+10:00,BUY,Demand,bottom,counter,counter,0.87722,0.87558,0.87558,0.87358,0.87918,1.8,20.0,118,9.8,2025-03-20 17:00:00+10:00,LOSS,0.87358,2025-04-03 15:00:00+10:00,-20.0
2025-05-14 19:00:00+10:00,BUY,Demand,bottom,with,with,0.83496,0.83325,0.83325,0.83125,0.83685,1.8,20.0,25,2.1,2025-05-12 17:00:00+10:00,WIN,0.83685,2025-05-14 21:00:00+10:00,36.0
2025-05-14 23:00:00+10:00,SELL,Supply,bottom,counter,counter,0.83992,0.83802,0.83992,0.84192,0.83632,1.8,20.0,3,0.2,2025-05-14 17:00:00+10:00,LOSS,0.84192,2025-05-15 01:00:00+10:00,-20.0
2025-06-02 19:00:00+10:00,BUY,Demand,bottom,with,counter,0.81916,0.81577,0.81577,0.81377,0.81937,1.8,20.0,342,28.5,2025-04-23 07:00:00+10:00,WIN,0.81937,2025-06-03 19:00:00+10:00,36.0
2025-08-14 15:00:00+10:00,SELL,Supply,mid,with,with,0.80688,0.80551,0.8062,0.80888,0.80136,1.8,26.9,5,0.4,2025-08-13 17:00:00+10:00,LOSS,0.80888,2025-08-15 01:00:00+10:00,-26.8
2025-09-01 15:00:00+10:00,BUY,Demand,bottom,counter,counter,0.80079,0.79915,0.79915,0.79715,0.80275,1.8,20.0,4,0.3,2025-09-01 07:00:00+10:00,WIN,0.80275,2025-09-02 17:00:00+10:00,36.0
2025-10-11 01:00:00+10:00,BUY,Demand,bottom,with,with,0.80107,0.80024,0.80024,0.79824,0.80384,1.8,20.0,17,1.4,2025-10-09 15:00:00+10:00,WIN,0.80384,2025-10-11 01:00:00+10:00,36.0
2025-10-15 07:00:00+10:00,BUY,Demand,bottom,with,with,0.80154,0.80001,0.80001,0.79801,0.80361,1.8,20.0,19,1.6,2025-10-13 17:00:00+10:00,LOSS,0.79801,2025-10-16 01:00:00+10:00,-20.0
2025-11-17 12:00:00+10:00,SELL,Supply,mid,with,with,0.79617,0.7949,0.79554,0.79817,0.79079,1.8,26.3,18,1.5,2025-11-14 00:00:00+10:00,LOSS,0.79817,2025-11-19 00:00:00+10:00,-26.3
2026-02-09 10:00:00+10:00,BUY,Demand,bottom,counter,counter,0.77597,0.77509,0.77509,0.77309,0.77869,1.8,20.0,1,0.1,2026-02-09 08:00:00+10:00,LOSS,0.77309,2026-02-09 16:00:00+10:00,-20.0
