entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2021-05-07 19:00:00+10:00,BUY,Demand,bottom,with,counter,108.67,108.435,108.435,108.235,108.735,1.5,20.0,37,6.2,2021-04-29 15:00:00+10:00,WIN,108.735,2021-05-07 19:00:00+10:00,30.0
2021-12-22 00:00:00+10:00,SELL,Supply,bottom,with,counter,114.214,114.054,114.214,114.414,113.914,1.5,20.0,18,3.0,2021-12-17 00:00:00+10:00,WIN,113.914,2021-12-22 00:00:00+10:00,30.0
2022-01-14 20:00:00+10:00,BUY,Demand,bottom,with,counter,113.778,113.555,113.555,113.355,113.855,1.5,20.0,107,17.8,2021-12-22 00:00:00+10:00,WIN,113.855,2022-01-14 20:00:00+10:00,30.0
2022-03-08 00:00:00+10:00,SELL,Supply,mid,with,counter,115.534,115.305,115.4195,115.734,114.94775,1.5,31.5,5,0.8,2022-03-05 00:00:00+10:00,LOSS,115.734,2022-03-08 20:00:00+10:00,-31.5
2022-07-29 23:00:00+10:00,SELL,Supply,mid,with,with,134.674,134.199,134.4365,134.874,133.78025,1.5,43.7,2,0.3,2022-07-29 11:00:00+10:00,WIN,133.78025,2022-07-29 23:00:00+10:00,65.6
2022-08-02 11:00:00+10:00,BUY,Demand,bottom,with,counter,130.865,130.468,130.468,130.268,130.768,1.5,20.0,243,40.5,2022-06-06 23:00:00+10:00,WIN,130.768,2022-08-02 11:00:00+10:00,30.0
2022-08-17 19:00:00+10:00,SELL,Supply,bottom,with,counter,135.243,134.89,135.243,135.443,134.943,1.5,20.0,30,5.0,2022-08-10 19:00:00+10:00,WIN,134.943,2022-08-17 19:00:00+10:00,30.0
2022-09-22 15:00:00+10:00,BUY,Demand,bottom,with,counter,142.724,142.041,142.041,141.841,142.341,1.5,20.0,41,6.8,2022-09-13 19:00:00+10:00,LOSS,141.841,2022-09-22 15:00:00+10:00,-20.0
2022-11-11 04:00:00+10:00,BUY,Demand,bottom,with,counter,140.592,140.249,140.249,140.049,140.549,1.5,20.0,286,47.7,2022-09-06 11:00:00+10:00,WIN,140.549,2022-11-11 04:00:00+10:00,30.0
2023-01-13 04:00:00+10:00,BUY,Demand,bottom,with,counter,129.613,129.159,129.159,128.959,129.459,1.5,20.0,961,160.2,2022-06-01 23:00:00+10:00,LOSS,128.959,2023-01-13 04:00:00+10:00,-20.0
2023-01-16 12:00:00+10:00,BUY,Demand,bottom,with,counter,127.77,127.434,127.434,127.234,127.734,1.5,20.0,979,163.2,2022-05-31 07:00:00+10:00,LOSS,127.234,2023-01-16 12:00:00+10:00,-20.0
2023-07-27 11:00:00+10:00,BUY,Demand,bottom,with,counter,140.305,139.75,139.75,139.55,140.05,1.5,20.0,23,3.8,2023-07-21 15:00:00+10:00,LOSS,139.55,2023-07-27 11:00:00+10:00,-20.0
2023-08-10 11:00:00+10:00,SELL,Supply,mid,with,counter,144.202,143.799,144.0005,144.402,143.39825,1.5,40.1,114,19.0,2023-07-07 15:00:00+10:00,WIN,143.39825,2023-08-10 19:00:00+10:00,60.2
2023-08-17 03:00:00+10:00,SELL,Supply,mid,with,counter,146.445,146.052,146.2485,146.645,145.65375,1.5,39.7,1190,198.3,2022-11-10 20:00:00+10:00,WIN,145.65375,2023-08-17 23:00:00+10:00,59.5
2023-11-07 16:00:00+10:00,SELL,Supply,bottom,with,counter,150.468,150.233,150.468,150.668,150.168,1.5,20.0,11,1.8,2023-11-03 19:00:00+10:00,LOSS,150.668,2023-11-08 00:00:00+10:00,-20.0
2024-03-01 00:00:00+10:00,BUY,Demand,bottom,with,with,149.695,149.359,149.359,149.159,149.659,1.5,20.0,73,12.2,2024-02-13 20:00:00+10:00,WIN,149.659,2024-03-01 00:00:00+10:00,30.0
2024-04-26 15:00:00+10:00,BUY,Demand,bottom,with,with,155.653,155.473,155.473,155.273,155.773,1.5,20.0,1,0.2,2024-04-26 11:00:00+10:00,LOSS,155.273,2024-04-26 15:00:00+10:00,-20.0
2024-06-13 15:00:00+10:00,SELL,Supply,mid,with,counter,157.356,157.043,157.1995,157.556,156.66475,1.5,35.6,4,0.7,2024-06-12 19:00:00+10:00,WIN,156.66475,2024-06-13 19:00:00+10:00,53.5
2024-07-31 11:00:00+10:00,BUY,Demand,bottom,with,counter,151.885,151.697,151.697,151.497,151.997,1.5,20.0,478,79.7,2024-04-10 19:00:00+10:00,WIN,151.997,2024-07-31 11:00:00+10:00,30.0
2024-08-01 11:00:00+10:00,BUY,Demand,bottom,with,counter,149.22,148.919,148.919,148.719,149.219,1.5,20.0,582,97.0,2024-03-19 11:00:00+10:00,LOSS,148.719,2024-08-01 11:00:00+10:00,-20.0
2024-11-14 08:00:00+10:00,SELL,Supply,mid,with,counter,155.991,155.519,155.755,156.191,155.101,1.5,43.6,484,80.7,2024-07-24 11:00:00+10:00,LOSS,156.191,2024-11-14 20:00:00+10:00,-43.6
2024-12-10 08:00:00+10:00,SELL,Supply,mid,with,with,151.605,151.404,151.5045,151.805,151.05375,1.5,30.0,42,7.0,2024-11-29 08:00:00+10:00,WIN,151.05375,2024-12-10 12:00:00+10:00,45.1
2025-01-08 00:00:00+10:00,SELL,Supply,mid,with,counter,158.624,158.217,158.4205,158.824,157.81525,1.5,40.3,730,121.7,2024-07-17 15:00:00+10:00,WIN,157.81525,2025-01-08 00:00:00+10:00,60.5
2025-02-07 04:00:00+10:00,BUY,Demand,bottom,with,counter,151.949,151.414,151.414,151.214,151.714,1.5,20.0,237,39.5,2024-12-11 16:00:00+10:00,WIN,151.714,2025-02-07 04:00:00+10:00,30.0
2025-02-28 16:00:00+10:00,SELL,Supply,bottom,with,with,150.658,150.187,150.658,150.858,150.358,1.5,20.0,28,4.7,2025-02-22 00:00:00+10:00,WIN,150.358,2025-02-28 16:00:00+10:00,30.0
2025-04-23 07:00:00+10:00,SELL,Supply,bottom,with,with,142.359,142.115,142.359,142.559,142.059,1.5,20.0,12,2.0,2025-04-21 07:00:00+10:00,LOSS,142.559,2025-04-23 07:00:00+10:00,-20.0
2025-05-14 19:00:00+10:00,BUY,Demand,bottom,with,with,146.287,145.7,145.7,145.5,146.0,1.5,20.0,13,2.2,2025-05-12 15:00:00+10:00,WIN,146.0,2025-05-14 19:00:00+10:00,30.0
2025-05-22 03:00:00+10:00,BUY,Demand,bottom,with,counter,143.956,143.439,143.439,143.239,143.739,1.5,20.0,57,9.5,2025-05-08 15:00:00+10:00,WIN,143.739,2025-05-22 03:00:00+10:00,30.0
2025-08-01 23:00:00+10:00,BUY,Demand,bottom,with,counter,148.174,147.803,147.803,147.603,148.103,1.5,20.0,13,2.2,2025-07-30 19:00:00+10:00,LOSS,147.603,2025-08-01 23:00:00+10:00,-20.0
2025-09-02 15:00:00+10:00,SELL,Supply,bottom,with,counter,148.778,148.408,148.778,148.978,148.478,1.5,20.0,40,6.7,2025-08-22 23:00:00+10:00,WIN,148.478,2025-09-02 15:00:00+10:00,30.0
2025-11-18 00:00:00+10:00,SELL,Supply,mid,with,counter,155.527,155.07,155.2985,155.727,154.65575,1.5,42.8,1224,204.0,2025-02-05 00:00:00+10:00,LOSS,155.727,2025-11-19 04:00:00+10:00,-42.8
2026-05-12 15:00:00+10:00,SELL,Supply,mid,with,with,157.936,157.539,157.7375,158.136,157.13975,1.5,39.8,24,4.0,2026-05-06 11:00:00+10:00,WIN,157.13975,2026-05-12 15:00:00+10:00,59.8
2026-06-19 03:00:00+10:00,SELL,Supply,bottom,with,counter,161.761,161.501,161.761,161.961,161.461,1.5,20.0,3008,501.3,2024-07-11 19:00:00+10:00,WIN,161.461,2026-06-19 03:00:00+10:00,30.0
