entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2024-11-12 19:00:00+10:00,BUY,Demand,bottom,with,counter,2595.16,2591.45,2591.45,2589.45,2594.45,1.5,20.0,853,35.5,2024-09-20 16:00:00+10:00,WIN,2594.45,2024-11-12 19:00:00+10:00,30.0
2024-12-02 10:00:00+10:00,BUY,Demand,bottom,with,counter,2639.3,2635.62,2635.62,2633.62,2638.62,1.5,20.0,20,0.8,2024-11-29 11:00:00+10:00,LOSS,2633.62,2024-12-02 10:00:00+10:00,-20.0
2024-12-13 23:00:00+10:00,BUY,Demand,bottom,with,counter,2667.0,2661.14,2661.14,2659.14,2664.14,1.5,20.0,72,3.0,2024-12-10 20:00:00+10:00,WIN,2664.14,2024-12-13 23:00:00+10:00,30.0
2025-05-08 16:00:00+10:00,BUY,Demand,bottom,with,counter,3334.93,3323.09,3323.09,3321.09,3326.09,1.5,20.0,51,2.1,2025-05-06 11:00:00+10:00,LOSS,3321.09,2025-05-08 16:00:00+10:00,-20.0
2025-05-26 19:00:00+10:00,BUY,Demand,bottom,with,with,3334.06,3323.57,3323.57,3321.57,3326.57,1.5,20.0,21,0.9,2025-05-23 21:00:00+10:00,WIN,3326.57,2025-05-26 19:00:00+10:00,30.0
2025-07-24 02:00:00+10:00,BUY,Demand,bottom,with,counter,3391.59,3385.91,3385.91,3383.91,3388.91,1.5,20.0,27,1.1,2025-07-22 22:00:00+10:00,LOSS,3383.91,2025-07-24 02:00:00+10:00,-20.0
2025-08-14 19:00:00+10:00,SELL,Supply,mid,with,with,3362.51,3355.78,3359.145,3364.51,3351.0975,1.5,53.6,2,0.1,2025-08-14 17:00:00+10:00,WIN,3351.0975,2025-08-14 19:00:00+10:00,80.5
2025-08-21 22:00:00+10:00,SELL,Supply,bottom,with,counter,3342.23,3337.63,3342.23,3344.23,3339.23,1.5,20.0,2,0.1,2025-08-21 20:00:00+10:00,LOSS,3344.23,2025-08-21 22:00:00+10:00,-20.0
2025-09-18 04:00:00+10:00,SELL,Supply,bottom,counter,with,3695.24,3691.04,3695.24,3697.24,3692.24,1.5,20.0,17,0.7,2025-09-17 11:00:00+10:00,LOSS,3697.24,2025-09-18 04:00:00+10:00,-20.0
2025-09-20 00:00:00+10:00,SELL,Supply,mid,with,counter,3672.34,3662.78,3667.56,3674.34,3657.39,1.5,67.8,23,1.0,2025-09-18 23:00:00+10:00,WIN,3657.39,2025-09-20 00:00:00+10:00,101.7
2025-09-20 04:00:00+10:00,SELL,Supply,mid,with,counter,3688.52,3678.72,3683.62,3690.52,3673.27,1.5,69.0,45,1.9,2025-09-18 04:00:00+10:00,LOSS,3690.52,2025-09-22 08:00:00+10:00,-69.0
2025-10-16 18:00:00+10:00,SELL,Supply,mid,counter,counter,4242.13,4228.02,4235.075,4244.13,4221.4925,1.5,90.5,2,0.1,2025-10-16 15:00:00+10:00,LOSS,4244.13,2025-10-16 20:00:00+10:00,-90.6
2025-11-03 15:00:00+10:00,SELL,Supply,mid,with,counter,4027.34,4009.64,4018.49,4029.34,4002.215,1.5,108.5,2,0.1,2025-11-01 02:00:00+10:00,WIN,4002.215,2025-11-03 15:00:00+10:00,162.8
2025-11-14 12:00:00+10:00,SELL,Supply,mid,counter,counter,4210.84,4193.11,4201.975,4212.84,4185.6775,1.5,108.6,6,0.2,2025-11-14 04:00:00+10:00,WIN,4185.6775,2025-11-14 15:00:00+10:00,163.0
2025-11-19 00:00:00+10:00,SELL,Supply,bottom,with,with,4080.88,4062.17,4080.88,4082.88,4077.88,1.5,20.0,18,0.8,2025-11-18 05:00:00+10:00,WIN,4077.88,2025-11-19 00:00:00+10:00,30.0
2025-11-28 18:00:00+10:00,BUY,Demand,bottom,with,with,4163.99,4157.02,4157.02,4155.02,4160.02,1.5,20.0,8,0.3,2025-11-28 10:00:00+10:00,LOSS,4155.02,2025-11-28 18:00:00+10:00,-20.0
2025-12-18 23:00:00+10:00,BUY,Demand,bottom,with,with,4323.19,4314.79,4314.79,4312.79,4317.79,1.5,20.0,23,1.0,2025-12-17 23:00:00+10:00,WIN,4317.79,2025-12-18 23:00:00+10:00,30.0
2026-01-05 10:00:00+10:00,SELL,Supply,mid,with,counter,4399.38,4385.14,4392.26,4401.38,4378.58,1.5,91.2,10,0.4,2026-01-02 23:00:00+10:00,WIN,4378.58,2026-01-05 10:00:00+10:00,136.8
2026-01-10 01:00:00+10:00,SELL,Supply,mid,counter,counter,4519.64,4505.36,4512.5,4521.64,4498.79,1.5,91.4,191,8.0,2025-12-29 16:00:00+10:00,WIN,4498.79,2026-01-10 01:00:00+10:00,137.1
2026-01-16 01:00:00+10:00,SELL,Supply,mid,counter,counter,4623.11,4611.48,4617.295,4625.11,4605.5725,1.5,78.1,1,0.0,2026-01-15 23:00:00+10:00,WIN,4605.5725,2026-01-16 01:00:00+10:00,117.2
2026-01-30 18:00:00+10:00,BUY,Demand,bottom,with,counter,5100.04,5076.17,5076.17,5074.17,5079.17,1.5,20.0,57,2.4,2026-01-28 06:00:00+10:00,LOSS,5074.17,2026-01-30 18:00:00+10:00,-20.0
2026-02-18 23:00:00+10:00,SELL,Supply,mid,with,with,4970.18,4946.57,4958.375,4972.18,4937.6675,1.5,138.1,30,1.2,2026-02-17 15:00:00+10:00,LOSS,4972.18,2026-02-19 00:00:00+10:00,-138.1
2026-02-19 00:00:00+10:00,SELL,Supply,mid,with,counter,5000.87,4985.28,4993.075,5002.87,4978.3825,1.5,98.0,37,1.5,2026-02-17 10:00:00+10:00,WIN,4978.3825,2026-02-19 00:00:00+10:00,146.9
2026-02-26 15:00:00+10:00,SELL,Supply,mid,counter,counter,5208.52,5191.7,5200.11,5210.52,5184.495,1.5,104.1,3,0.1,2026-02-26 06:00:00+10:00,WIN,5184.495,2026-02-26 17:00:00+10:00,156.1
2026-03-06 21:00:00+10:00,BUY,Demand,bottom,counter,counter,5101.65,5074.14,5074.14,5072.14,5077.14,1.5,20.0,10,0.4,2026-03-06 11:00:00+10:00,LOSS,5072.14,2026-03-06 21:00:00+10:00,-20.0
2026-03-12 17:00:00+10:00,SELL,Supply,bottom,with,counter,5183.64,5169.28,5183.64,5185.64,5180.64,1.5,20.0,9,0.4,2026-03-12 08:00:00+10:00,WIN,5180.64,2026-03-12 17:00:00+10:00,30.0
2026-03-13 01:00:00+10:00,BUY,Demand,bottom,with,counter,5156.1,5124.95,5124.95,5122.95,5127.95,1.5,20.0,60,2.5,2026-03-10 11:00:00+10:00,LOSS,5122.95,2026-03-13 01:00:00+10:00,-20.0
2026-03-28 00:00:00+10:00,SELL,Supply,mid,with,counter,4524.28,4499.91,4512.095,4526.28,4490.8175,1.5,141.9,32,1.3,2026-03-26 15:00:00+10:00,WIN,4490.8175,2026-03-28 00:00:00+10:00,212.8
2026-05-08 03:00:00+10:00,BUY,Demand,bottom,with,with,4706.53,4692.17,4692.17,4690.17,4695.17,1.5,20.0,11,0.5,2026-05-07 16:00:00+10:00,LOSS,4690.17,2026-05-08 03:00:00+10:00,-20.0
2026-05-27 23:00:00+10:00,BUY,Demand,bottom,with,counter,4445.21,4412.54,4412.54,4410.54,4415.54,1.5,20.0,963,40.1,2026-03-28 00:00:00+10:00,LOSS,4410.54,2026-05-27 23:00:00+10:00,-20.0
2026-06-05 00:00:00+10:00,BUY,Demand,bottom,with,counter,4475.64,4461.09,4461.09,4459.09,4464.09,1.5,20.0,3,0.1,2026-06-04 21:00:00+10:00,LOSS,4459.09,2026-06-05 00:00:00+10:00,-20.0
