entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2021-08-13 20:00:00+10:00,SELL,Supply,mid,with,with,1768.14,1758.73,1763.435,1770.14,1750.025,2.0,67.1,26,4.3,2021-08-09 08:00:00+10:00,LOSS,1770.14,2021-08-14 00:00:00+10:00,-67.1
2021-11-02 00:00:00+10:00,SELL,Supply,mid,with,counter,1799.12,1790.93,1795.025,1801.12,1782.835,2.0,60.9,6,1.0,2021-10-29 20:00:00+10:00,WIN,1782.835,2021-11-03 08:00:00+10:00,121.9
2021-11-10 21:00:00+10:00,SELL,Supply,bottom,with,counter,1863.04,1852.82,1863.04,1865.04,1859.04,2.0,20.0,626,104.3,2021-06-17 04:00:00+10:00,LOSS,1865.04,2021-11-10 21:00:00+10:00,-20.0
2021-12-30 21:00:00+10:00,SELL,Supply,bottom,with,counter,1807.66,1804.08,1807.66,1809.66,1803.66,2.0,20.0,7,1.2,2021-12-29 17:00:00+10:00,WIN,1803.66,2021-12-30 21:00:00+10:00,40.0
2022-02-04 01:00:00+10:00,SELL,Supply,mid,with,with,1807.75,1802.22,1804.985,1809.75,1795.455,2.0,47.6,1,0.2,2022-02-03 21:00:00+10:00,WIN,1795.455,2022-02-04 01:00:00+10:00,95.3
2022-09-06 08:00:00+10:00,SELL,Supply,bottom,with,with,1726.5,1720.59,1726.5,1728.5,1722.5,2.0,20.0,22,3.7,2022-08-31 16:00:00+10:00,WIN,1722.5,2022-09-06 08:00:00+10:00,40.0
2022-10-05 00:00:00+10:00,SELL,Supply,bottom,with,counter,1728.18,1720.03,1728.18,1730.18,1724.18,2.0,20.0,91,15.2,2022-09-13 20:00:00+10:00,WIN,1724.18,2022-10-05 00:00:00+10:00,40.0
2022-10-14 00:00:00+10:00,SELL,Supply,mid,with,with,1677.97,1667.0,1672.485,1679.97,1657.515,2.0,74.8,1,0.2,2022-10-13 20:00:00+10:00,WIN,1657.515,2022-10-14 00:00:00+10:00,149.7
2023-03-14 04:00:00+10:00,SELL,Supply,mid,with,counter,1918.16,1909.53,1913.845,1920.16,1901.215,2.0,63.2,156,26.0,2023-02-03 21:00:00+10:00,WIN,1901.215,2023-03-14 16:00:00+10:00,126.3
2023-04-20 20:00:00+10:00,SELL,Supply,bottom,with,counter,2008.1,1999.4,2008.1,2010.1,2004.1,2.0,20.0,7,1.2,2023-04-19 16:00:00+10:00,LOSS,2010.1,2023-04-20 20:00:00+10:00,-20.0
2023-07-19 00:00:00+10:00,SELL,Supply,bottom,with,counter,1983.39,1974.98,1983.39,1985.39,1979.39,2.0,20.0,193,32.2,2023-06-02 20:00:00+10:00,WIN,1979.39,2023-07-19 00:00:00+10:00,40.0
2023-10-20 08:00:00+10:00,SELL,Supply,bottom,with,counter,1982.15,1973.57,1982.15,1984.15,1978.15,2.0,20.0,363,60.5,2023-07-27 20:00:00+10:00,WIN,1978.15,2023-10-20 08:00:00+10:00,40.0
2023-12-06 01:00:00+10:00,BUY,Demand,bottom,with,with,2017.15,2011.94,2011.94,2009.94,2015.94,2.0,20.0,31,5.2,2023-11-28 21:00:00+10:00,LOSS,2009.94,2023-12-06 01:00:00+10:00,-20.0
2023-12-14 09:00:00+10:00,SELL,Supply,bottom,with,counter,2034.05,2026.5,2034.05,2036.05,2030.05,2.0,20.0,21,3.5,2023-12-08 21:00:00+10:00,LOSS,2036.05,2023-12-14 09:00:00+10:00,-20.0
2024-01-08 21:00:00+10:00,BUY,Demand,bottom,with,counter,2028.43,2021.69,2021.69,2019.69,2025.69,2.0,20.0,72,12.0,2023-12-19 21:00:00+10:00,LOSS,2019.69,2024-01-08 21:00:00+10:00,-20.0
2024-02-01 05:00:00+10:00,BUY,Demand,bottom,with,with,2040.45,2033.04,2033.04,2031.04,2037.04,2.0,20.0,2,0.3,2024-01-31 21:00:00+10:00,LOSS,2031.04,2024-02-01 05:00:00+10:00,-20.0
2024-07-25 08:00:00+10:00,BUY,Demand,bottom,with,counter,2384.57,2374.32,2374.32,2372.32,2378.32,2.0,20.0,57,9.5,2024-07-11 20:00:00+10:00,LOSS,2372.32,2024-07-25 08:00:00+10:00,-20.0
2024-08-03 00:00:00+10:00,BUY,Demand,bottom,with,with,2429.0,2417.31,2417.31,2415.31,2421.31,2.0,20.0,11,1.8,2024-08-01 04:00:00+10:00,LOSS,2415.31,2024-08-03 00:00:00+10:00,-20.0
2024-08-21 20:00:00+10:00,BUY,Demand,bottom,with,with,2508.14,2498.63,2498.63,2496.63,2502.63,2.0,20.0,7,1.2,2024-08-20 16:00:00+10:00,WIN,2502.63,2024-08-21 20:00:00+10:00,40.0
2024-11-21 17:00:00+10:00,SELL,Supply,mid,with,counter,2675.2,2661.0,2668.1,2677.2,2649.9,2.0,91.0,46,7.7,2024-11-11 21:00:00+10:00,LOSS,2677.2,2024-11-22 09:00:00+10:00,-91.0
2024-12-03 21:00:00+10:00,SELL,Supply,mid,with,with,2662.31,2648.59,2655.45,2664.31,2637.73,2.0,88.6,3,0.5,2024-12-02 09:00:00+10:00,WIN,2637.73,2024-12-04 01:00:00+10:00,177.2
2025-03-11 04:00:00+10:00,BUY,Demand,bottom,with,counter,2894.3,2881.87,2881.87,2879.87,2885.87,2.0,20.0,27,4.5,2025-03-04 17:00:00+10:00,WIN,2885.87,2025-03-11 04:00:00+10:00,40.0
